DIRECTORATE,PAYMENT DATE,PAYMENT AMOUNT,PAYEE,SUPPLIER NO,ACTIVITY
Adult Social Services Directorate,01-Feb-24,"27,425.51",Accomplish Group Contract Mana,INVOICE,Residentl Care Conts
Children's Services Directorate,01-Feb-24,"73,589.12",Acorn Care and Education Limit,INVOICE,External Residential Care
Children's Services Directorate,01-Feb-24,"2,888.05",Active Recruitment SEN,INVOICE,Preventing Accom
Adult Social Services Directorate,01-Feb-24,"3,430.23",ALPHA CARE AND SUPPORT SERVICE,INVOICE,Supported Living
Adult Social Services Directorate,01-Feb-24,"1,096.50",Areli Care Ltd t/a Caremark (B,INVOICE,External Homecare
Children's Services Directorate,01-Feb-24,"6,399.33",ASCENT FOSTERING AGENCY,INVOICE,External Fostering
Children's Services Directorate,01-Feb-24,"25,628.40",Ascent Fostering Agency T/As A,INVOICE,External Residential Care
Chief Executives Directorate,01-Feb-24,"1,596.00",Caff Pictures,INVOICE,Wandsworth Grant Fund Was Bsf
Housing & Regeneration Directorate,01-Feb-24,"1,896.80",CAPHALL LTD,INVOICE,Fixtures & Fittings
Adult Social Services Directorate,01-Feb-24,"66,513.96",CARE UK COMMUNITY PARTNERSHIP,INVOICE,External Residential Care
Children's Services Directorate,01-Feb-24,"2,655.63",Careoline Carers Services Ltd,INVOICE,Preventing Accom
Children's Services Directorate,01-Feb-24,"2,142.00",Castlebridge Finance SPV Ltd,INVOICE,Transport
Children's Services Directorate,01-Feb-24,674.63,CENTREPOINT,INVOICE,External Lodgings
Chief Executives Directorate,01-Feb-24,"3,900.00",Chocolate Films Workshops,INVOICE,Project Work
Housing & Regeneration Directorate,01-Feb-24,544.81,CONVENT CO-OP LTD,INVOICE,Sib's
Adult Social Services Directorate,01-Feb-24,"12,383.16",CRAWFORD HOMES LIMITED,INVOICE,Residentl Care Conts
Children's Services Directorate,01-Feb-24,532.00,Duncan Lewis Solicitors Ltd,INVOICE,APC - Other Cla Services
Children's Services Directorate,01-Feb-24,"84,157.14",ELITE SUPPORT PROVIDER'S LTD,INVOICE,External Lodgings
Children's Services Directorate,01-Feb-24,"7,129.25",Emezzions Limited,INVOICE,Preventing Accom
Adult Social Services Directorate,01-Feb-24,"2,444.00",EVERSHED BROS LTD,INVOICE,APC - Funerals
Adult Social Services Directorate,01-Feb-24,"4,850.00",FAVOURED HEALTH CIC,INVOICE,External Homecare
Adult Social Services Directorate,01-Feb-24,"4,707.52",Fortis Care,INVOICE,Supported Living
Children's Services Directorate,01-Feb-24,"21,969.89",GENERATE,INVOICE,Other Minor Contract Payments
Adult Social Services Directorate,01-Feb-24,750.25,Glide Care Ltd,INVOICE,Supported Living
Capital Expenditure,01-Feb-24,"2,310.00",Greenhatch Group Ltd,INVOICE,CAPEXP Surveys and Comms Costs
Chief Executives Directorate,01-Feb-24,"1,598.40",GROUP 64 & PUTNEY ARTS THEATRE,INVOICE,Wandsworth Grant Fund Was Bsf
Adult Social Services Directorate,01-Feb-24,"1,159.92",Hays Specialist Recruitment Group,INVOICE,Agency Staff
Children's Services Directorate,01-Feb-24,"10,886.00",KINGSWOOD HOUSE SCHOOL TRUST L,INVOICE,Independent Fees
Housing & Regeneration Directorate,01-Feb-24,"2,636.40",KNIGHT FRANK LLP,INVOICE,Property Services Contracts
Chief Executives Directorate,01-Feb-24,780.00,Leoprinting Limited,INVOICE,Project Work
Resources Directorate,01-Feb-24,"2,154.00",LG Futures Ltd,INVOICE,Materials
Adult Social Services Directorate,01-Feb-24,"1,492.56",Medisort Ltd,INVOICE,Materials
