Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,03-Jan-23,51301910420,"-£8,114.40",EQUITIX EDUCATION (CAMBRIDGESHIRE) LIMITED,EDUCATION,Buildings and Capital,BSF New Projects / Follow On Waves,Building Repair and Maintenance
Cambridgeshire County Council,03-Jan-23,51301893784,"-£5,210.59",FOSTER BUILDING SERVICES LTD,COMPANY,County Farms,County Farms,County Farms Maintenance
Cambridgeshire County Council,03-Jan-23,51301899116,£502.87,Team Q Maintenance Ltd,COMPANY,BM - Corporate Offices,Building Maintenance,Building Stuctural Maintenance - Planned
Cambridgeshire County Council,03-Jan-23,51301906137,£508.62,Pathfinder Legal Services Limited,TRADE SUPPLIER,School Organisation and Planning - Attendance and Behaviour,Attendance and Behaviour,External Legal Fees
Cambridgeshire County Council,03-Jan-23,51301907647,£510.00,Randstad Solutions Limited,COMPANY,EY - Oasis,Trumpington Park Early Years,Agency Staff
Cambridgeshire County Council,03-Jan-23,51301910506,£511.00,CAMBRIDGE CITY COUNCIL,OTHER PUBLIC BODIES,Corporate Offices,Cherry Hinton Library,Business rates
Cambridgeshire County Council,03-Jan-23,51301910537,£511.00,EAST CAMBRIDGESHIRE DISTRICT COUNCIL,OTHER PUBLIC BODIES,Capital Receipts Expenses,Capital Receipts Expenses,Business rates
Cambridgeshire County Council,03-Jan-23,51301898185,£515.03,SKAT Limited,COMPANY,EY - Oasis,Trumpington Park Early Years,Agency Staff
Cambridgeshire County Council,03-Jan-23,51301899481,£525.60,PITNEY BOWES FINANCE PLC,TRADE SUPPLIER,Information Management,Resources Franking Machine,Postage & Carriage
Cambridgeshire County Council,03-Jan-23,51301899301,£525.60,PITNEY BOWES FINANCE PLC,TRADE SUPPLIER,Information Management,Resources Franking Machine,Postage & Carriage
Cambridgeshire County Council,03-Jan-23,51301897680,£528.00,Jackson Environmental Ltd,COMPANY,County Farms,County Farms,County Farms Maintenance unplanned
Cambridgeshire County Council,03-Jan-23,51301910574,£537.00,SOUTH CAMBRIDGESHIRE DISTRICT COUNCIL,OTHER PUBLIC BODIES,Corporate Offices,12 London Road CB22 7QH,Council Tax
Cambridgeshire County Council,03-Jan-23,51301906079,£539.87,CUSTOM GROUP LTD,COMPANY,Investment in the CCC Asset Portfolio,Spokes - Roger Ascham,"New Construction, Conversion and Renovation"
Cambridgeshire County Council,03-Jan-23,51301896985,£540.00,S. P. LANDSCAPES & TREE CONTRACTORS  LTD,COMPANY,Park & Ride Parking,Guided Busway,Grounds Maintenance
Cambridgeshire County Council,03-Jan-23,51301897722,£547.80,TEACHING PERSONNEL LTD,TRADE SUPPLIER,Schools Partnership Service,Virtual School LACPP Financing,Mandatory Student Awards
Cambridgeshire County Council,03-Jan-23,51301910532,£549.00,EAST CAMBRIDGESHIRE DISTRICT COUNCIL,OTHER PUBLIC BODIES,Corporate Offices,Littleport Children's Centre,Business rates
