Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
Cambridgeshire County Council,02-Apr-24,51302179502,"-£2,795.45",Fidelis Healthcare LTD,COMPANY,LAC Placements,Placements - residential homes,Agency Placements - Out of  County
Cambridgeshire County Council,02-Apr-24,51302170476,-£900.00,MARSHLAND HIGH SCHOOL,EDUCATION,Cambridgeshire Alternative Education Service (SchFin),Alternative Education Service & EIO's,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179192,-£618.10,Fidelis Healthcare LTD,COMPANY,LAC Placements,Placements - supported accommodation,Agency Placements - In County
Cambridgeshire County Council,02-Apr-24,51302180078,£535.92,BUSY FINGERS PRE-SCHOOL,NURSERY,Nursery Schools,Early Years - Funded 3s/4s,Care & Ed Childcare Settings
Cambridgeshire County Council,02-Apr-24,51302141793,£537.84,Sugarman Group,EDUCATION,Out of School Tuition,Out of School Provision EHCPs,Independent School Placements
Cambridgeshire County Council,02-Apr-24,51302179581,£540.00,Redacted Personal Data ,INDIVIDUAL,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179543,£562.50,Achieve Occupational Therapy Ltd,EDUCATION,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179598,£570.00,Redacted Personal Data ,INDIVIDUAL,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302141792,£573.70,Sugarman Group,EDUCATION,Out of School Tuition,Out of School Provision EHCPs,Independent School Placements
Cambridgeshire County Council,02-Apr-24,51302180158,£575.00,NCFE,EDUCATION,Cambridgeshire Skills HoS,Cambridgeshire Skills Management Team,Exam Fees
Cambridgeshire County Council,02-Apr-24,51302180037,£579.60,Redlynch Leisure Installations Ltd,COMPANY,Wisbech Adenture Playground,Adventure Playground,Grounds Maintenance
Cambridgeshire County Council,02-Apr-24,51302179792,£585.00,Redacted Personal Data ,INDIVIDUAL,Regional Adoption Agency,Regional Adoption Agency,Staff Training & Development
Cambridgeshire County Council,02-Apr-24,51302168199,£593.21,UNIVERSITY OF CAMBRIDGE,EDUCATION,Community Support Service,Community Support Service ECF,Childcare Costs
Cambridgeshire County Council,02-Apr-24,51302168201,£593.21,UNIVERSITY OF CAMBRIDGE,EDUCATION,Community Support Service,Community Support Service ECF,Childcare Costs
Cambridgeshire County Council,02-Apr-24,51302179762,£595.00,Redacted Personal Data ,INDIVIDUAL,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302170375,£595.50,OVER COMMUNITY ENTERPRISES LTD,LOCAL CLUBS & GROUPS,Education Safeguarding,Education Safeguarding,Casual hire of facilities
Cambridgeshire County Council,02-Apr-24,51302170510,£600.00,DONNA THOMPSON,SOLETRADER,Youth and Community Services,YS - National Citizen Service,Educational Materials
Cambridgeshire County Council,02-Apr-24,51302180296,£600.00,Redacted Personal Data ,PARENT/GUARDIAN,North Child Looked After Team 1,North Child Looked After Team 1,Grants and support for other Service Users – Direct to Service User
Cambridgeshire County Council,02-Apr-24,51302179806,£600.00,Redacted Personal Data ,INDIVIDUAL,Out of School Tuition,Out of School Provision EHCPs,Independent School Placements
Cambridgeshire County Council,02-Apr-24,51302180289,£600.00,Redacted Personal Data ,INDIVIDUAL,Insurance Fund,Liability,Insurance Claims Paid
Cambridgeshire County Council,02-Apr-24,51302179601,£600.00,Redacted Personal Data ,INDIVIDUAL,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179138,£601.00,Redacted Personal Data ,INDIVIDUAL,Registrars,Registrars General,Non Staff expenses
Cambridgeshire County Council,02-Apr-24,51302179193,£618.10,Fidelis Healthcare LTD,COMPANY,LAC Placements,Placements - supported accommodation,Agency Placements - In County
Cambridgeshire County Council,02-Apr-24,51302179237,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179228,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179236,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179229,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179238,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179231,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179230,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179239,£625.00,MOVING UP CARE,CARE ESTABLISHMENT,Unaccompanied Asylum Seeking Children,Separated Migrant Children < 18,Asylum Seekers
Cambridgeshire County Council,02-Apr-24,51302179537,£625.00,Achieve Occupational Therapy Ltd,EDUCATION,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179659,£625.00,Achieve Occupational Therapy Ltd,EDUCATION,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302179540,£625.00,Achieve Occupational Therapy Ltd,EDUCATION,Regional Adoption Agency,Adoption Support Fund,Professional Fees and Hired Services
Cambridgeshire County Council,02-Apr-24,51302164215,£631.97,PEOPLESCOUT LIMITED,TRADE SUPPLIER,Highway Records and Definitive Map Team,Definitive Map Team,Advertising / Publicity (non Recruitment)
Cambridgeshire County Council,02-Apr-24,51302179727,£646.08,Pathfinder Legal Services Limited - OFFICE A/C *7357,TRADE SUPPLIER,Insurance Fund,Liability,Insurance Claims Paid
