company,codedsupplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP13004067,04/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,297126,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,151.05
CU,DP13004067,04/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,297126,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,517.89
CU,DP13089711,04/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,297127,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,862
CU,DP13089711,04/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,297127,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,862
CU,DP13089711,04/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,297127,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"3,448.00"
CU,DP12990027,06/04/2024,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",298706,EDUCSPECIAL NEEDS COSTS,Revenue,1,"1,230.00"
CU,FP3016011,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299181,PWAY SERV SET UP HOME ALL'CE,Revenue,1,255.12
CU,FP5703267,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299375,RELATIVES AS APPROVED CARERS,Revenue,1,265.44
CU,FP5704671,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299376,FOST PROFESSIONAL FEES ADD,Revenue,1,329.14
CU,FP5996703,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299507,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,345.8
CU,FP5328399,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299323,PWAY SERV SUBSISTENCE / MAINTE,Revenue,1,366
CU,FP3857007,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299226,PWAY SERV OTHR NEEDS,Revenue,1,467.42
CU,FP4171503,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299248,SECTION 38 (6) PAYMENTS,Revenue,1,647.92
CU,FP5425275,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299325,CYP PREVENT&SUPP-S17 OTH PYMT,Revenue,1,"1,219.05"
CU,FP4887543,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299297,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,"1,500.00"
CU,FP5822607,08/04/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,299440,PWAY SERV UNIVERSITY/ FE COSTS,Revenue,1,"1,500.00"
CU,DP13033551,12/04/2024,CHILDREN AND FAMILY WELLBEING,"SEND, EDUCATION & INCLUSION   ",303804,EDUCSPECIAL NEEDS COSTS,Revenue,1,864.5
CU,DP8758371,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305737,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-2,868.75"
CU,DP1468803,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305572,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-2,421.90"
CU,DP2009343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305580,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,883.84"
CU,DP12838395,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305908,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,570.14"
CU,DP8459319,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305727,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-1,357.36"
CU,DP13074267,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305963,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-957.88
CU,DP5429487,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305654,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-952
CU,DP12780831,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305894,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-950
CU,DP12705015,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305881,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-922.26
CU,DP6964059,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305687,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-741.56
CU,DP13074267,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305963,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-718.41
CU,DP8459319,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305727,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-678.68
CU,DP6735207,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305679,DIRECT PAYMENT INCOME,Revenue,1,-663.4
CU,DP13070055,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305962,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-653.68
CU,DP12824355,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305904,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-544.5
CU,DP12890343,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305919,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-544.5
CU,DP13036359,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305956,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-533.31
CU,DP13022319,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305952,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,-532
CU,DP9836643,16/04/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,305762,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,-522
