company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP1110783,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521409,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,078.80"
CU,DP1117803,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521410,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,425.76"
CU,DP1145883,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521411,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,842.60"
CU,DP1203447,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521412,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,753.20
CU,DP1220295,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521413,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"8,863.52"
CU,DP1317171,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521415,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,189.28"
CU,DP1317171,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521415,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"1,189.28"
CU,DP1317171,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521415,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"1,258.56"
CU,DP1319979,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521416,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,229.64"
CU,DP1343847,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521417,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,054.20"
CU,DP1370523,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521418,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,652.12
CU,DP1440723,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521419,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,200.00"
CU,DP1444935,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521420,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,719.80"
CU,DP1468803,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521421,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,346.24"
CU,DP1901235,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521423,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,000.00"
CU,DP1967223,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521424,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,660.00
CU,DP1968627,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521425,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,520.00"
CU,DP1986879,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521426,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,347.48
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,4,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,5,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,6,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,7,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,8,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,9,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,10,"11,814.40"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521427,DIRECT PAYMENTS TO SERVICE USE,Revenue,11,"8,860.80"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521428,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"-10,845.60"
CU,DP2007939,20/12/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,521428,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,"-8,134.20"
