Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Transaction Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,ADULT SOCIAL CARE & HOUSING,SERVICE PROVISION             ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,21,25.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,22,320.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,23,20.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,24,10.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,25,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,26,113.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,27,80.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,28,60.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,29,64.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,30,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,31,50.50
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,32,8.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,ADULT SOCIAL CARE & HOUSING,SERVICE PROVISION             ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,33,100.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,34,59.50
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,35,32.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,36,56.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,37,39.50
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,38,12.50
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,39,128.00
CU,SU71823,BELL DECORATING GROUP LIMITED,02/05/2024,321626,RESOURCES  ,ASSETS & FLEET                ,CSI70377,CONTRACTUAL PAYMENTS (MAIN),Revenue,40,14.50
