company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure,Line Number,Line Amount
CU,DP12151839,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376011,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,672
CU,DP11400699,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375977,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,677.1
CU,DP8102703,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376469,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,678.44
CU,DP2964063,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375783,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,686.4
CU,DP4573047,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375806,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,689.32
CU,DP8640435,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376479,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,691.32
CU,DP12556191,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376593,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,699.28
CU,DP12959139,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376630,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,702.92
CU,DP2288739,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375763,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,706.56
CU,DP12915615,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376081,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,709.68
CU,DP10827867,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375952,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,710.6
CU,DP12203787,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376013,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,712.52
CU,DP10210107,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376511,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,717.4
CU,DP13162719,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376143,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,718.8
CU,DP6990735,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375867,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP11483535,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375981,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,720
CU,DP12143415,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376009,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP13103751,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376123,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,720
CU,DP9752403,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375929,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,730.68
CU,DP9836643,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375930,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP12265563,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376015,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP12851031,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376068,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,732
CU,DP4442475,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375800,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,744
CU,DP12630603,09/07/2024,CHILDREN AND FAMILY WELLBEING,CHILDREN & FAMILIES           ,376596,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,746.16
CU,DP1203447,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375743,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,753.2
CU,DP1203447,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375743,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,753.2
CU,DP4462131,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375801,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,755.08
CU,DP11536887,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375987,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,757.68
CU,DP12890343,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376075,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,762
CU,DP12801891,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376058,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,771.43
CU,DP2496531,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375767,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,782.36
CU,DP12717651,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,376047,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,785.92
CU,DP2796987,09/07/2024,ADULT SOCIAL CARE & HOUSING,OPERATIONS                    ,375775,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,790.16
