Service (T),Directorate (T),Expenditure Code/Type,Expenditure Code Type (T),Date,Amount,Revenue or Capital,Supplier Name 
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,29/07/2024,535.30 ,Revenue,1ST COVERALL COMPANY L
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,29/07/2024,713.34 ,Revenue,1ST COVERALL COMPANY L
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,30/08/2024,802.22 ,Revenue,1ST COVERALL COMPANY L
Highways Infrastructure & Fleet,Environment & Community Services,6143000,Clothing & Uniforms,20/08/2024,548.50 ,Revenue,1st Coverall Company Limited
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,05/07/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,05/07/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,05/07/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"1,818.00 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,23/07/2024,"2,192.87 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,20/08/2024,809.20 ,Revenue,1st Enable
