Service (T),Directorate (T),Expenditure Code/Type,Expenditure Code Type (T),Date,Amount,Revenue or Capital,Supplier Name 
Stronger Communities,Environment & Community Services,6149000,Other supplies & services,25/06/2024,"3,850.00 ",Revenue,1 Stop HSE Training Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,30/05/2024,665.62 ,Revenue,1ST COVERALL COMPANY L
"Prevention, Provider & Support Services",Adult Social Care,6140020,Equipment Purchase,19/06/2024,783.12 ,Revenue,1st Coverall Company Limited
"Prevention, Provider & Support Services",Adult Social Care,6140020,Equipment Purchase,21/06/2024,"1,791.55 ",Revenue,1st Coverall Company Limited
"Prevention, Provider & Support Services",Adult Social Care,6143000,Clothing & Uniforms,21/06/2024,168.00 ,Revenue,1st Coverall Company Limited
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,737.60 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"5,163.20 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,491.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,732.24 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,491.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"1,715.04 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,732.24 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"3,053.68 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,812.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,651.88 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"1,928.64 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,03/04/2024,"2,089.36 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,12/04/2024,737.60 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,12/04/2024,"1,715.04 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,12/04/2024,"5,163.20 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,732.24 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,732.24 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,491.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"3,053.68 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,812.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,651.88 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,15/04/2024,"2,089.36 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,12/04/2024,"1,928.64 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,17/04/2024,"2,491.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,30/04/2024,"2,043.84 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,31/05/2024,"2,043.84 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,13/06/2024,"1,818.00 ",Revenue,1st Enable
