Service (T),Directorate (T),Expenditure Code/Type,Expenditure Code Type (T),Date,Amount,Revenue or Capital,Supplier Name (Redacted)
Stronger Communities,Environment & Community Services,6149000,Other supplies & services,25/10/2024,"2,550.00 ",Revenue,1 Stop HSE Training Limited
Stronger Communities,Environment & Community Services,6149000,Other supplies & services,09/12/2024,"2,700.00 ",Revenue,1 Stop HSE Training Limited
Environmental Services,Environment & Community Services,7145000,Call Off Hired & Contracted Services,09/10/2024,"2,750.00 ",Revenue,1ST CHOICE SKIP HIRE NORTH EAST LTD
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,31/10/2024,831.75 ,Revenue,1st Coverall Company Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,21/10/2024,753.26 ,Revenue,1st Coverall Company Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,31/10/2024,550.50 ,Revenue,1st Coverall Company Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,06/12/2024,"3,963.75 ",Revenue,1st Coverall Company Limited
Environmental Services,Environment & Community Services,6143000,Clothing & Uniforms,23/12/2024,"1,333.50 ",Revenue,1st Coverall Company Limited
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"1,818.00 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,16/10/2024,"2,192.87 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"1,818.00 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,14/11/2024,"2,043.84 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,809.20 ,Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"5,664.40 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"1,818.00 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,639.96 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,895.44 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"3,236.08 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,980.60 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,810.28 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,214.16 ",Revenue,1st Enable
Purchasing,Adult Social Care,7157000,Call Off Partnership Payments,10/12/2024,"2,043.84 ",Revenue,1st Enable
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,07/10/2024,"3,444.51 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131090,Call Off Home to School/College - Taxis,07/10/2024,"3,544.45 ",Revenue,24x7 Ltd
Integrated Transport Unit,Education & Partnerships,7131500,Call Off Hire of Transport (External),07/10/2024,"5,006.50 ",Revenue,24x7 Ltd
