Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,46879.200000000004,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,1800.64,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,3005.44,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,1945.28,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,7739.52,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,2824.16,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,906.4,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,1558.08,Asset Clearing,May-23
Balance Sheet,ACCURACY INTERNATIONAL LIMITED,6928.32,Asset Clearing,May-23
Balance Sheet,ATOS IT SERVICES UK LTD,34357.2,Asset Clearing,May-23
Balance Sheet,ATOS IT SERVICES UK LTD,34357.2,Asset Clearing,May-23
Balance Sheet,CORNERS ELECTRICAL LTD,3253,Asset Clearing,May-23
Balance Sheet,CORNERS ELECTRICAL LTD,3445,Asset Clearing,May-23
Balance Sheet,G V DECORATORS,5870,Asset Clearing,May-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,May-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,May-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,May-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,May-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,1964,Asset Clearing,May-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1923,Asset Clearing,May-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,572,Asset Clearing,May-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1190,Asset Clearing,May-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,7590,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,26425.5,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1849.92,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,2767.5,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,3998.8,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,891,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,42113.5,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,42113.5,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,1388.8,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,80524.5,Asset Clearing,May-23
Balance Sheet,INSIGHT DIRECT (UK) LTD,32708.07,Asset Clearing,May-23
Balance Sheet,MISTER VEE T/A HOLDEN MOTORS,42425,Asset Clearing,May-23
