Service Unit,Supplier,Dist Amt,Account Name,Period
Balance Sheet,ALT LABS AGENCY LTD,1461.54,Asset Clearing,Jul-23
Balance Sheet,ASTUN TECHNOLOGY LTD,4380,Asset Clearing,Jul-23
Balance Sheet,ATOS IT SERVICES UK LTD,5726.2,Asset Clearing,Jul-23
Balance Sheet,ATOS IT SERVICES UK LTD,5726.2,Asset Clearing,Jul-23
Balance Sheet,CLEVELAND CARPET SERVICES,3048,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,4381,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3997,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3706,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3706,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3706,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,4381,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3706,Asset Clearing,Jul-23
Balance Sheet,COOL BREEZE FM LTD,3706,Asset Clearing,Jul-23
Balance Sheet,CORNERS ELECTRICAL LTD,745,Asset Clearing,Jul-23
Balance Sheet,CORNERS ELECTRICAL LTD,8945,Asset Clearing,Jul-23
Balance Sheet,CORNERS ELECTRICAL LTD,2885,Asset Clearing,Jul-23
Balance Sheet,CORNERS ELECTRICAL LTD,795,Asset Clearing,Jul-23
Balance Sheet,CORNERS ELECTRICAL LTD,655,Asset Clearing,Jul-23
Balance Sheet,G V DECORATORS,2341,Asset Clearing,Jul-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jul-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jul-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jul-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jul-23
Balance Sheet,GREENWICH CONTRACTS LIMITED,2455,Asset Clearing,Jul-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,1500,Asset Clearing,Jul-23
Balance Sheet,GRESHAM OFFICE FURNITURE LTD,24841.9,Asset Clearing,Jul-23
Balance Sheet,HARVEY NASH LIMITED,6138.24,Asset Clearing,Jul-23
Balance Sheet,HARVEY NASH LIMITED,5305.57,Asset Clearing,Jul-23
