FIN.TRANSACTION DATE,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
22/09/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),GEN REGISTER OFFICE,-7.5,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,100040,ASSESSMENT & INT NTH
22/09/2023,ASSESSMENT & INTERVENTION TEAM (NORTH),GEN REGISTER OFFICE,-7.5,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,100040,ASSESSMENT & INT NTH
27/09/2023,LAC 0-18 TEAM,CURRYS ONLINE,-349,-58.17,5732,ELECTRONIC SALES,CURRYS ONLINE,100069,LEAVING CARE 18-21 (
28/09/2023,LEAVING CARE 18-21 (25) TEAM,STAGECOACH SERVICES,20,0,4131,BUS LINES,STAGECOACH SERVICES,100069,LEAVING CARE 18-21 (
28/09/2023,REGISTRARS,AMZNMKTPLACE,33.32,6.66,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,106437,REGISTRARS
29/09/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),GEN REGISTER OFFICE,-31.5,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,GEN REGISTER OFFICE,100037,ASSESSMENT & INT STH
29/09/2023,COPTHORNE (PROPOSED 4 BED UNIT),CEX LTD,-135,0,5065,ELECTRICAL PARTS AND EQUIPMENT,CEX LTD,100079,COPTHORNE (PROPOSED
29/09/2023,MAGDALE HOUSE,WM MORRISONS STORE,3.75,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,107106,MAGDALE HOUSE
29/09/2023,TEMPORARY ACCOMMODATION TEAM,TRAVELODG TRAVELODGE G,171.1,50.71,3615,TRAVELODGE,TRAVELODGE,103491,BED AND BREAKFAST
29/09/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),FORTUNE HOTEL,-16.22,-3.25,7011,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",FORTUNE HOTEL,100037,ASSESSMENT & INT STH
29/09/2023,DISABLED CHILDREN SERVICE TEAM,CALDERDALE MBC,-11,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,CALDERDALE MBC,100089,DISABLED CHILDREN SE
29/09/2023,TOWN HALLS,FACEBK T9VHPUFZH2,17,0,7311,ADVERTISING SERVICES,FACEBK T9VHPUFZH2,103809,TOWN HALLS
29/09/2023,WOODLANDS,WM MORRISONS STORE PIC,281.67,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE PIC,100081,WOODLANDS
29/09/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),CALDERDALE MBC,22,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,CALDERDALE MBC,100037,ASSESSMENT & INT STH
29/09/2023,LEAVING CARE 18-21 (25) TEAM,DVSA,23,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,DVSA,100069,LEAVING CARE 18-21 (
29/09/2023,THE GLASS BOX (FRIENDLY STREET),WWW.SCREWFIX.COM,33.32,6.67,5211,"BUILDING MATERIALS, LUMBER STORES",WWW.SCREWFIX.COM,107055,THE GLASS BOX
29/09/2023,YPAT,ASDA GROCERIES ONLINE,4.9,3.57,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100096,YPAT
29/09/2023,YPAT,ASDA GROCERIES ONLINE,12.96,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100096,YPAT
29/09/2023,YPAT,ASDA GROCERIES ONLINE,45.1,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100096,YPAT
29/09/2023,YPAT,ASDA GROCERIES ONLINE,-0.55,0,5411,"GROCERY STORES, SUPERMARKETS",ASDA GROCERIES ONLINE,100096,YPAT
29/09/2023,COPTHORNE (PROPOSED 4 BED UNIT),CEX LTD,135,0,5065,ELECTRICAL PARTS AND EQUIPMENT,CEX LTD,100079,COPTHORNE (PROPOSED
