FIN.TRANSACTION DATE,ACC.DEFAULT ACCOUNTING CODE 01 DESCRIPTION,MCH.MERCHANT NAME - ORIGINAL,FIN.NET TRANSACTION AMOUNT,FIN.TAX.TAX AMOUNT,MCH.MERCHANT CATEGORY CODE (MCC),MCH.MCC DESCRIPTION,MCH.MERCHANT NAME,FIN.ACCOUNTING CODE 02 VALUE,FIN.ACCOUNTING CODE 02 DESCRIPTION
01/07/2023,HAF GRANT,GURU,7.49,1.5,7999,RECREATION SERVICES (NOT ELSEWHERE CLASSIFIED),GURU,106862,TREES FOR CLIMATE R'
01/07/2023,ELM GROVE,AMAZON PRIME MU0UW8VM5,7.49,1.5,5968,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,AMAZON PRIME MU0UW8VM5,100094,ELM GROVE
01/07/2023,OAKWELL HALL MUSEUM,FACEBK XP7VXRPMX2,34.72,6.94,7311,ADVERTISING SERVICES,FACEBK XP7VXRPMX2,100318,CLIFFE HOUSE - OPERA
01/07/2023,LIBRARY & INFORMATION CENTRES,ROBERT DYAS CHICHESTER,20.82,4.17,5251,HARDWARE STORES,ROBERT DYAS CHICHESTER,103758,LIBRARY & INFO CTRS
01/07/2023,CLIFFE HOUSE - OPERATIONAL,SPOTIFY,13.99,0,5815,DIGITAL GOODS AUDIOVISUAL MEDIA,SPOTIFY,100318,CLIFFE HOUSE - OPERA
01/07/2023,DUKE OF EDINBURGH AWARDS,WM MORRISONS STORE,12,0.5,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,100133,DUKE OF EDIN AWARDS
01/07/2023,DUKE OF EDINBURGH AWARDS,WM MORRISONS STORE,2.5,0,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE,100133,DUKE OF EDIN AWARDS
01/07/2023,LAC 0-18 TEAM,TRAINLINE.COM,-40,-8,4112,PASSENGER RAILWAYS,TRAINLINE.COM,100068,LAC 0-18 TEAM
01/07/2023,ORCHARD VIEW,LIDL GB MIRFIELD,2.5,0,5411,"GROCERY STORES, SUPERMARKETS",LIDL GB MIRFIELD,100095,ORCHARD VIEW
02/07/2023,STRATEGIC LEADERSHIP AND INTERVENTION,AMZNMKTPLACE,10.75,2.15,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,100303,STRAT LEAD/INTERVNTN
02/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),AMZNBUSINESS 277XN2DN5,53.73,10.74,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNBUSINESS 277XN2DN5,100037,ASSESSMENT & INT STH
02/07/2023,WOODLANDS,ROOKIN HOUSE ACTIVITY,180,0,7997,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",ROOKIN HOUSE ACTIVITY,100077,HEALDS ROAD
03/07/2023,CLEANSING MANAGEMENT,AMZNMKTPLACE AMAZON.CO,306.47,61.3,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103553,CLEANSING MANAGEMNT
03/07/2023,ASSESSMENT & INTERVENTION TEAM (SOUTH),WWW.WAKEFIELD.GOV.UK,12.7,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,WWW.WAKEFIELD.GOV.UK,100037,ASSESSMENT & INT STH
03/07/2023,IT PEOPLE,AMZNMKTPLACE AMAZON.CO,59.8,11.96,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,106437,REGISTRARS
03/07/2023,IT PEOPLE,AMZNMKTPLACE AMAZON.CO,153.47,30.68,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE AMAZON.CO,103856,IT PEOPLE
03/07/2023,MILL DALE,WM MORRISONS STORE PIC,125.9,6.29,5411,"GROCERY STORES, SUPERMARKETS",WM MORRISONS STORE PIC,104081,MILL DALE
03/07/2023,TOWN HALL BARS HQ,POUNDLAND LTD 1396,1.67,0.33,5310,DISCOUNT STORES,POUNDLAND LTD 1396,103351,TOWN HALL BARS HQ
03/07/2023,IT PEOPLE,AMZNMKTPLACE,1124.17,225,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103858,IT SERVICES
03/07/2023,IT PEOPLE,AMZNMKTPLACE,64.58,12.9,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103858,IT SERVICES
03/07/2023,WORKSHOPS,UNIT 1 RECOVERY,410,82,7531,AUTOMOTIVE BODY REPAIR SHOPS,UNIT 1 RECOVERY,103367,POOL CARS
03/07/2023,IT PEOPLE,AMZNMKTPLACE,1124.17,225,5999,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AMZNMKTPLACE,103858,IT SERVICES
03/07/2023,INCOME MANAGEMENT,POSSESSIONCLAIM.GO,355,0,9399,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,POSSESSIONCLAIM.GO,107007,INCOME MANAGEMENT
