Body name,Directorate,Service Area Categorisation,Supplier Name,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,24X7 Ltd (Warwickshire),12-03-2024,,7180.84,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,24X7 Ltd (Warwickshire),12-03-2024,,4829.59,CLIENTS TRANSPORT COSTS,Taxi - Home to School / College - Special Educational Needs
Solihull MBC,RESOURCES,Central Services to the Public,3PB Barristers,08-03-2024,,2310.00,LEGAL FEES,Legal Services - Other
Solihull MBC,RESOURCES,Central Services to the Public,3PB Barristers,08-03-2024,,-2310.00,LEGAL FEES,Legal Services - Other
Solihull MBC,RESOURCES,Central Services to the Public,3PB Barristers,08-03-2024,,1925.00,LEGAL FEES,Legal Services - Other
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,A Quick Kill Pest Control Limited,04-03-2024,,380.00,CLIENTS EXPENSES,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,A Quick Kill Pest Control Limited,04-03-2024,,1250.00,CLIENTS EXPENSES,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,25-03-2024,,1479.25,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,25-03-2024,,1479.25,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,25-03-2024,,1188.25,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,A Star Care Services,25-03-2024,,1188.25,ASC  DOMICLIARY CARE,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,A1 Support Limited,28-03-2024,,1577.14,LODGING SEMIINDEP RENT,Not Classified
Solihull MBC,CHILDRENS SERVICES DSG CENTRAL,Children & Education Services,Aberaeron School,06-03-2024,,600.00,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,CHILDRENS SERVICES DSG CENTRAL,Children & Education Services,Aberaeron School,06-03-2024,,600.00,OTHER CONTRACTED SERVICES,Not Classified
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Absolute Interpreting & Translation Ltd,14-03-2024,,217.50,PROFESSIONAL FEES,CSC - Translation
Solihull MBC,CHILDRENS SERVICES,Children & Education Services,Acacia Consultants And Associates,18-03-2024,,1269.91,LODGING SEMIINDEP RENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Access UK Ltd,05-01-2024,,5204.23,HARDWARE,Telecoms - Fixed - CAPITAL
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Access UK Ltd,30-01-2024,,5204.23,HARDWARE,Telecoms - Fixed - CAPITAL
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Access UK Ltd,04-03-2024,,5204.23,HARDWARE,Telecoms - Fixed - CAPITAL
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accomplish Group Lifestyles Ltd,21-03-2024,,10724.00,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accomplish Group Lifestyles Ltd,21-03-2024,,8255.80,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accomplish Group Lifestyles Ltd,21-03-2024,,8282.40,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accomplish Group Lifestyles Ltd,21-03-2024,,7782.04,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accomplish Group Lifestyles Ltd,21-03-2024,,6627.60,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,29-02-2024,,1203.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,29-02-2024,,1744.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,08-03-2024,,945.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,08-03-2024,,300,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,14-03-2024,,726,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,19-03-2024,,1950,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accora,26-03-2024,,260.00,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accord Housing Asssociation,21-03-2024,,-3164.84,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
Solihull MBC,ADULT CARE SUPPORT,Adult Social Care,Accord Housing Asssociation,21-03-2024,,1695.45,ASC  RESIDENTIAL CARE PERMANENT,Not Classified
