Service Area Categorisation,PUBLISHED VENDOR NAME,Payment Date,Card Transaction,Net Amount,Purpose of Spend,Procurement Classification: ProClass Label
Children & Education Services,WWW.ARGOS.CO.UK,09/07/2024,Card Transaction,265.95,CARE LEAVERS GRANT,Commercial
Children & Education Services,WWW.ARGOS.CO.UK,09/07/2024,Card Transaction,363.33,CARE LEAVERS GRANT,Commercial
Children & Education Services,CURRYS ONLINE,09/07/2024,Card Transaction,424.18,CARE LEAVERS GRANT,Commercial
Children & Education Services,IKEA LTD SHOP ONLINE,09/07/2024,Card Transaction,373.33,CARE LEAVERS GRANT,Furniture & Soft Furnishings
Children & Education Services,Dunelm SoftFurnishings,09/07/2024,Card Transaction,349.25,CARE LEAVERS GRANT,Furniture & Soft Furnishings
Children & Education Services,WWW.ARGOS.CO.UK,09/07/2024,Card Transaction,286.94,CARE LEAVERS GRANT,Commercial
Children & Education Services,WWW.ARGOS.CO.UK,09/07/2024,Card Transaction,247.46,CARE LEAVERS GRANT,Commercial
Children & Education Services,Sandy Brown Limited,15/07/2024,,333,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,Sandy Brown Limited,28/06/2024,,840,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,Sandy Brown Limited,28/06/2024,,-840,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,Sandy Brown Limited,28/06/2024,,700,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,WHITCO CATERING & BAKERY EQUIPMENT LTD,28/06/2024,,-7150,FURNITURE EQUIPMENT,Catering - Equipment & Utensils - CAPITAL
Children & Education Services,WHITCO CATERING & BAKERY EQUIPMENT LTD,28/06/2024,,7150,FURNITURE EQUIPMENT,Catering - Equipment & Utensils - CAPITAL
Children & Education Services,WHITCO CATERING & BAKERY EQUIPMENT LTD,28/06/2024,,7759,FURNITURE EQUIPMENT,Catering - Equipment & Utensils - CAPITAL
Children & Education Services,WHITCO CATERING & BAKERY EQUIPMENT LTD,28/06/2024,,-7759,FURNITURE EQUIPMENT,Catering - Equipment & Utensils - CAPITAL
Children & Education Services,WHITCO CATERING & BAKERY EQUIPMENT LTD,28/06/2024,,14909,FURNITURE EQUIPMENT,Catering - Equipment & Utensils - CAPITAL
Planning & Development Services,ARMAC DEMOLITION LTD,22/07/2024,,4039.61,CONTRACTORS,Buildings - Demolition & Asbestos Removal - CAPITAL
Highways & Transport Services,TELENT TECHNOLOGY SERVICES LTD,25/06/2024,,83722.69,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Planning & Development Services,WILLMOTT DIXON CONSTRUCTION LTD,28/06/2024,,648597.2,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,WILLMOTT DIXON CONSTRUCTION LTD,08/07/2024,,575528.54,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,GOWLING WLG (UK) LTD,07/05/2024,,33189.5,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,GOWLING WLG (UK) LTD,07/05/2024,,10001.5,CONSULTANTS,Consultancy - Business - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,161479.62,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,-161479.62,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,134566.35,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,-649548.3,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,649548.3,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,613029.2,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,SOLIHULL COMMUNITY HOUSING,28/06/2024,,36519.1,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,ACT ON ENERGY,28/06/2024,,-745.2,CONTRACTORS,Buildings - Construction - CAPITAL
Other Housing Services,ACT ON ENERGY,28/06/2024,,745.2,CONTRACTORS,Buildings - Construction - CAPITAL
Other Housing Services,ACT ON ENERGY,28/06/2024,,621,CONTRACTORS,Buildings - Construction - CAPITAL
Highways & Transport Services,ATKINS,28/06/2024,,3000,CONTRACTORS,Engineering - CAPITAL
Central Services to the Public,DODD GROUP,17/07/2024,,23876.88,CONTRACTORS,Not Classified
Central Services to the Public,DODD GROUP,03/07/2024,,9240.45,CONTRACTORS,Not Classified
Central Services to the Public,DODD GROUP,03/07/2024,,16428.79,CONTRACTORS,Not Classified
Planning & Development Services,BARLOW ASSOCIATES,29/07/2024,,8473.61,CONTRACTORS,Buildings - Construction - CAPITAL
Planning & Development Services,BARLOW ASSOCIATES,11/07/2024,,11747.97,CONTRACTORS,Buildings - Construction - CAPITAL
Central Services to the Public,ORACLE CORP UK LTD,15/07/2024,,3828.14,CONSULTANTS,Consultancy - ICT - CAPITAL
Planning & Development Services,FREETHS,08/07/2024,,1340,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,28/06/2024,,-800.88,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,28/06/2024,,800.88,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,28/06/2024,,667.4,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,15/07/2024,,-785,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,15/07/2024,,785,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,15/07/2024,,187.5,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,FREETHS,15/07/2024,,560,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,KPMG LLP,17/06/2024,,8500,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,KPMG LLP,17/06/2024,,-8500,CONSULTANTS,Consultancy - Business - CAPITAL
Planning & Development Services,KPMG LLP,17/06/2024,,8500,CONSULTANTS,Consultancy - Business - CAPITAL
Central Services to the Public,Big Blue Door Ltd,15/07/2024,,800,CONSULTANTS,Consultancy - ICT - CAPITAL
Central Services to the Public,Big Blue Door Ltd,15/07/2024,,-800,CONSULTANTS,Consultancy - ICT - CAPITAL
Central Services to the Public,Big Blue Door Ltd,15/07/2024,,800,CONSULTANTS,Consultancy - ICT - CAPITAL
Adult Social Care,BUDDI LTD,22/07/2024,,675,HARDWARE,ICT - Hardware - CAPITAL
Children & Education Services,PORTAKABIN LTD,28/06/2024,,-4142.66,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,PORTAKABIN LTD,28/06/2024,,4142.66,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,PORTAKABIN LTD,28/06/2024,,4142.66,CONTRACTORS,Buildings - Construction - CAPITAL
Planning & Development Services,BIRMINGHAM CITY COUNCIL,08/07/2024,,10535,GRANTS,Grants - Non-charitable - CAPITAL
Planning & Development Services,BIRMINGHAM CITY COUNCIL,08/07/2024,,4000,GRANTS,Grants - Non-charitable - CAPITAL
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,17/07/2024,,1164.21,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,17/07/2024,,994.71,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,05/07/2024,,540.48,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,03/07/2024,,30341.31,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,03/07/2024,,74660.1,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,03/07/2024,,34666.04,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,10/07/2024,,469.18,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,10/07/2024,,4332.46,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,10/07/2024,,718.2,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,24/07/2024,,7950.78,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,24/07/2024,,14644.76,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,24/07/2024,,307914.42,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,24/07/2024,,60215.99,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,31/07/2024,,1845.49,CONTRACTORS,Not Classified
Central Services to the Public,JOHN GRAHAM HOLDINGS LTD,31/07/2024,,1638.62,CONTRACTORS,Not Classified
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,30697.81,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,164.48,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,45.64,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,45.64,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,42.52,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,70619.08,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,54108.92,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,31887.28,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,15382.99,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,1022.37,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,938.75,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,636.81,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,466.89,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,147.7,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,102.6,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,96.04,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,68.33,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,54.69,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Highways & Transport Services,BALFOUR BEATTY LIVING PLACES LTD,12/07/2024,,5.92,CONTRACTORS,Street Furniture & Ironworks - CAPITAL
Children & Education Services,E MANTON LTD,22/07/2024,,134275.23,CONTRACTORS,Buildings - Construction - CAPITAL
Central Services to the Public,Sports Lab Ltd,22/07/2024,,1450,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,VERITAS CONSULTING SAFETY SERV.,19/06/2024,,-1295,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,VERITAS CONSULTING SAFETY SERV.,19/06/2024,,1295,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,VERITAS CONSULTING SAFETY SERV.,19/06/2024,,-0.5,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,VERITAS CONSULTING SAFETY SERV.,19/06/2024,,0.5,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,VERITAS CONSULTING SAFETY SERV.,19/06/2024,,1295.5,CONTRACTORS,Buildings - Construction - CAPITAL
Children & Education Services,SOFTCAT LTD,25/06/2024,,154539,HARDWARE,ICT - Hardware - CAPITAL
Central Services to the Public,SOFTCAT LTD,08/07/2024,,1404.2,SOFTWARE,ICT - Software - CAPITAL
Planning & Development Services,Mell Square Limited,11/07/2024,,21640.8,CONTRACTORS,Buildings - Construction - CAPITAL
Planning & Development Services,Mell Square Limited,11/07/2024,,-21640.8,CONTRACTORS,Buildings - Construction - CAPITAL
Planning & Development Services,Mell Square Limited,11/07/2024,,18034,CONTRACTORS,Buildings - Construction - CAPITAL
Central Services to the Public,RT ELECTRICAL & COMPUTING INSTALLATIONS LTD,28/06/2024,,2880,CONTRACTORS,Buildings - Construction - CAPITAL
Highways & Transport Services,Tutum Consulting Ltd,28/06/2024,,825,CONTRACTORS,Buildings - Construction - CAPITAL
Other Housing Services,CITIZEN HOUSING,22/07/2024,,17000,GRANTS,Grants - Non-charitable - CAPITAL
Other Housing Services,CITIZEN HOUSING,22/07/2024,,15500,GRANTS,Grants - Non-charitable - CAPITAL
Highways & Transport Services,NATIONWIDE DATA COLLECTION,26/07/2024,,1000,CONTRACTORS,Buildings - Construction - CAPITAL
Planning & Development Services,STREETSBROOK INFANT & EARLY YEARS ACADEMY,03-07-2024,,975,GRANTS & SUBSCRIPTIONS,Grants - Other
Corporate & Democratic Core,STREETSBROOK INFANT & EARLY YEARS ACADEMY,29-07-2024,,250,ROOM HIRE PREMISES HIRE,Room Hire
Children & Education Services,JOHN WILLMOTT SCHOOL,22-07-2024,,-4256.57,CAPITATION,Education - Other
Children & Education Services,JOHN WILLMOTT SCHOOL,22-07-2024,,4256.57,CAPITATION,Education - Other
Children & Education Services,JOHN WILLMOTT SCHOOL,22-07-2024,,4256.57,CAPITATION,Education - Other
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),25-06-2024,,212.52,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),25-06-2024,,60,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),08-07-2024,,1122.35,MATERIALS,Street Lighting - Materials - Highways
Highways & Transport Services,EXTERIOR LIGHTING SOLUTIONS UK (ELS),11-07-2024,,357.92,MATERIALS,Street Lighting - Materials - Highways
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,29-07-2024,,567005.13,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,BIRMINGHAM AND SOLIHULL MENTAL HEALTH TRUST,29-07-2024,,567005.13,OTHER CONTRACTED SERVICES,SLA Charges - External Providers
Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,-23.8,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,476,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,12-06-2024,,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,08-07-2024,,391,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,CARE & INDEPENDANCE LTD,08-07-2024,,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15-07-2024,,12.5,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Adult Social Care,SILVALEA LTD,15-07-2024,,400,PURCHASE OF EQUIPMENT/MACHINERY,ASC - Social Community Care Supplies & Services - Adult
Cultural & Related Services,TICKETS.COM,08-07-2024,,452.66,MARKETING,Marketing
Children & Education Services,PROSPERO TEACHING,16-05-2024,,250,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,250,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,31-05-2024,,250,PROFESSIONAL FEES,CSC - Other
Children & Education Services,PROSPERO TEACHING,28-06-2024,,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,28-06-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,08-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,500,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,400,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,26-07-2024,,250,PROFESSIONAL FEES,CSC - Specialist Needs - Other
Children & Education Services,PROSPERO TEACHING,15-07-2024,,300,PROFESSIONAL FEES,CSC - Specialist Needs - Other
