SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
1 2 1 In The Community Ltd,"1,056.09",28/02/2024,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,440.00",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,440.00",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,619.20",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,605.28",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,605.28",28/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,816.00",01/02/2024,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"2,816.00",28/02/2024,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"13,562.86",01/02/2024,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
24x7 Ltd,"1,088.00",31/01/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,723.00",31/01/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"1,884.67",31/01/2024,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"2,390.83",31/01/2024,YL31,R3310,Education Excellence,SEN Transport to Special Schools - Out of Borough Transport costs
24x7 Ltd,"2,660.00",31/01/2024,YL22,R3310,Education Excellence,SEN Transport to Secondary Schools - Out of Borough Transport costs
24x7 Ltd,"2,881.66",31/01/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,244.88",31/01/2024,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,544.67",31/01/2024,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
