SUPPLIER,AMOUNT,TRANSACTION DATE,COST CENTRE,ACCOUNT,DEPARTMENT,SUMMARY OF EXPENDITURE
1 2 1 In The Community Ltd,"-2,142.50",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,-657.03,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AG25,R4053,Adult Social Care,Social Support : Support For Social Isolation / Other - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AN05,R4053,Adult Social Care,Mental Health Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,633.65,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,09/11/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,657.03,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,844.87,09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,985.55,09/11/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AP05,R4053,Adult Social Care,Physical Support - Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,056.09",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,314.06",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,619.20",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"1,642.58",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,400.00",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1 2 1 In The Community Ltd,"2,816.00",09/11/2023,AH10,R4053,Adult Social Care,Learning Disabilities-Pooled Budget - Day Care
1 2 1 In The Community Ltd,"3,667.96",09/11/2023,AL05,R4053,Adult Social Care,Learning Disability Support -Adults 18-64 - Day Care
1880 Ltd,"1,183.08",02/11/2023,GN35,R4560,Communities,A.C. - North Southport - Meols Ward
1880 LTD,"1,419.70",10/11/2023,GN35,R4560,Communities,A.C. - North Southport - Meols Ward
24x7 Ltd,"1,618.84",01/07/2023,YL31,R3307,Education Excellence,SEN Transport to Special Schools - Specialist Transport Ad Hoc
24x7 Ltd,"2,370.25",01/07/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"2,462.72",30/06/2023,YL31,R3305,Education Excellence,SEN Transport to Special Schools - Specialist Transport Fixed Route
24x7 Ltd,"2,942.47",30/06/2023,YL36,R3305,Education Excellence,Independent / Non Maintained Special School SEN travel - Specialist Transport Fixed Route
24x7 Ltd,"2,981.41",30/06/2023,YL12,R3305,Education Excellence,SEN Transport to Primary Schools - Specialist Transport Fixed Route
24x7 Ltd,"3,071.67",30/06/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
24x7 Ltd,"4,261.85",01/07/2023,YL36,R3310,Education Excellence,Independent / Non Maintained Special School SEN travel - Out of Borough Transport costs
365 Support Limited,517.44,09/11/2023,AN05,R4054,Adult Social Care,Mental Health Support - Adults 18-64 - Community Support
3C Payment UK Ltd,625.68,31/10/2023,BC16,R2941,Highways and Public Protection,Car Parks-Other - Bank Charges
3C Payment UK Ltd,944.41,31/10/2023,BC05,R2941,Highways and Public Protection,Highway Safety - Parking - Bank Charges
A Star Support Services Ltd.,910.00,09/11/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A Star Support Services Ltd.,"4,727.50",09/11/2023,AL05,R4043,Adult Social Care,Learning Disability Support -Adults 18-64 - Supported Living
A&F Sprinklers Ltd,808.75,30/11/2023,HA01,R1001,Communities,The Atkinson - Repair & Mtce Of Land & Buildings
A1 All Clear,"5,350.00",06/11/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
A1 All Clear,"12,550.00",06/10/2023,CAP1,C1000,Capital,Capital - Capital Expenditure
Aaron Crest Care Home,"1,040.00",09/11/2023,AM10,R4041,Adult Social Care,Support With Memory & Cognition - Older People 65+ - Private Residential Care Rest Homes
Aaron Hotel,"8,400.00",24/10/2023,BI39,R4344,Communities,Housing Accommodation-Bed & Breakfast - Pay-External Providers
Abbegale Lodge (2006) Li,539.12,09/11/2023,AN05,R4041,Adult Social Care,Mental Health Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,596.20,09/11/2023,AN05,R5070,Adult Social Care,Mental Health Support - Adults 18-64 - Clients Personal Allowances
Abbegale Lodge (2006) Li,749.12,09/11/2023,AN10,R4041,Adult Social Care,Mental Health Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,826.60,09/11/2023,AN10,R5070,Adult Social Care,Mental Health Support - Older People 65+ - Clients Personal Allowances
Abbegale Lodge (2006) Li,"2,598.80",09/11/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,598.80",09/11/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,598.80",09/11/2023,AP05,R4041,Adult Social Care,Physical Support - Adults 18-64 - Private Residential Care Rest Homes
Abbegale Lodge (2006) Li,"2,598.80",09/11/2023,AP10,R4041,Adult Social Care,Physical Support - Older People 65+ - Private Residential Care Rest Homes
