Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/02/2024,1600727533,672,0,672,Alcedo Orange Limited,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/02/2024,1600727540,3196.52,0,3196.52,Child Action Northwest,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/02/2024,601513938,2154,359,1795,Choice Teachers Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/02/2024,601513944,9901.25,0,9901.25,Cromwood Housing Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2024,601513932,328421.07,42192.02,286229.05,Drax Energy Solutions,Service Reform (Corp Bus & Transform),Electricity
Salford City Council,01/02/2024,601513933,343642.08,57273.68,286368.4,Drax Energy Solutions,Place Directorate,Electricity
Salford City Council,01/02/2024,6003852267,511.84,0,511.84,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851830,516.29,8.91,507.38,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852052,516.51,0,516.51,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852089,521.57,0,521.57,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852223,522.26,4.34,517.92,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851749,526.93,16.24,510.69,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852204,547.68,0,547.68,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852282,551.48,8.68,542.8,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852030,559.12,0,559.12,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851949,567.27,12.55,554.72,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851800,630.98,17.36,613.62,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851959,694.04,21.7,672.34,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003852102,1127.7,57.36,1070.34,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,6003851778,2397.44,121.22,2276.22,Dunsters Farm Limited,Place Directorate,Food and refreshments
Salford City Council,01/02/2024,601513939,1500,0,1500,Edintervention Ltd,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,01/02/2024,601514130,183027.88,0,183027.88,Forhousing Ltd,People (Adults) - CHSC,Rents
Salford City Council,01/02/2024,1600727564,5760,960,4800,Frameworks Social Enterprise Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/02/2024,6003852146,896,0,896,Hotel Ibis,People (Adults) - CHSC,Staff Travel
Salford City Council,01/02/2024,601513950,756,126,630,Impact North West Limited,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,01/02/2024,601513951,1344,224,1120,Impact North West Limited,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,01/02/2024,1600727541,5160,860,4300,Inter Scientific Limited,Place Directorate,Other Professional Fees
Salford City Council,01/02/2024,601511342,3090,515,2575,Islington Borough Council,People (Childrens) Service Group,IT  Licence Fees
Salford City Council,01/02/2024,601513942,643.82,107.3,536.52,J Fletcher Engineers Ltd,People (Childrens) Service Group,Gas
Salford City Council,01/02/2024,1600727523,679.04,113.17,565.87,J Fletcher Engineers Ltd,People (Childrens) Service Group,UV Day to Day Repairs
Salford City Council,01/02/2024,601513934,750,0,750,Redacted Data,People (Childrens) Service Group,Leisure Activity
Salford City Council,01/02/2024,6003851024,502.68,0,502.68,Redacted Data,People (Childrens) Service Group,Short Break-Non Disability
Salford City Council,01/02/2024,1600727558,2280,380,1900,Reed Talent Solutions,People (Childrens) Service Group,Agency Fees
Salford City Council,01/02/2024,601514196,15000,0,15000,Salford Loaves & Fishes,People (Adults) - CHSC,Payments to Agencies
Salford City Council,01/02/2024,1600727574,18750,0,18750,Salford Royal Nhs Foundation Trust,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/02/2024,1600727559,8029.34,0,8029.34,Salvation Army Housing Association-,People (Adults) - CHSC,Payments to Agencies
Salford City Council,01/02/2024,1600727560,8029.34,0,8029.34,Salvation Army Housing Association-,People (Adults) - CHSC,Payments to Agencies
Salford City Council,01/02/2024,1600727463,-1453.33,-242.22,-1211.11,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,01/02/2024,1600726744,535.8,89.3,446.5,Schofield & Sons Ltd,Place Directorate,UV Day to Day Repairs
Salford City Council,01/02/2024,6003852135,3320.81,0,3320.81,Sq *Property Services Mcr,People (Adults) - CHSC,General Repairs
Salford City Council,01/02/2024,601513981,10469.27,0,10469.27,St Andrews Ce Primary,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,01/02/2024,6003852085,600,0,600,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,01/02/2024,6003851738,8547.84,0,8547.84,T/A Sage Care Ltd,People (Adults) - CHSC,Supported Tenancies
Salford City Council,01/02/2024,601513952,607.5,101.25,506.25,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/02/2024,1600727532,708,118,590,The Training Company,People (Childrens) Service Group,Training of Others
Salford City Council,01/02/2024,601513940,950,0,950,Uk Emergency Medical Transport,People (Childrens) Service Group,Staffed Security Service
Salford City Council,01/02/2024,601514191,34440,0,34440,Vspg Housing 2 Ltd,People (Adults) - CHSC,Contractors
Salford City Council,01/02/2024,601514192,1537.7,0,1537.7,Vspg Housing 2 Ltd,People (Adults) - CHSC,Equipment Purchase
Salford City Council,01/02/2024,1600727542,2000,0,2000,Youth Focus North West Ltd,People (Childrens) Service Group,Subscriptions
Salford City Council,02/02/2024,6003852486,5217,0,5217,Age Concern Salford T/A Age Uk Salf,People (Adults) - CHSC,Day Care
Salford City Council,02/02/2024,1600727639,947.98,158,789.98,Alliance Disposables Ltd,Place Directorate,Catering Materials
Salford City Council,02/02/2024,1600727593,586.85,97.81,489.04,Alliance Disposables Ltd,Place Directorate,Cleaning Materials
