Authority Name,Date of Payment,DocumentNo,Gross,VAT,Net,Vendor Name,Service Area,GL Description
Salford City Council,01/06/2023,1600712047,684,114,570,A  Venning Ltd,Place Directorate,Equipment Purchase
Salford City Council,01/06/2023,601494505,3000,0,3000,Blackleach Angling Club,Capital Expenditure,Other Works
Salford City Council,01/06/2023,601494474,645.1,14.98,630.12,Brake Bros Ltd,People (Childrens) Service Group,Catering Supplies
Salford City Council,01/06/2023,601494415,13320.19,2220.03,11100.16,British Telecommunications Plc,Service Reform (Corp Bus & Transform),Telephones & Fax Machines
Salford City Council,01/06/2023,1600712045,1810.56,301.76,1508.8,Capita Business Services Ltd,Place Directorate,Printing & Photocopying
Salford City Council,01/06/2023,601494471,1429.97,0,1429.97,Community Little Hulton Cio,Place Directorate,Payments to Voluntary Organisations
Salford City Council,01/06/2023,601494472,2286,0,2286,Community Little Hulton Cio,Place Directorate,Payments to Voluntary Organisations
Salford City Council,01/06/2023,601494559,605,0,605,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494561,1633.5,0,1633.5,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494558,1980,0,1980,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494562,2057,0,2057,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494560,2565,0,2565,Csin Cic,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494480,665.14,0,665.14,Dilip Parmar T/A Island Portfolio L,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,601494516,1550,0,1550,Forbes Solicitors,Service Reform (Corp Bus & Transform),Provision for Liability Insurance
Salford City Council,01/06/2023,601494511,3000,0,3000,Foundation 92,Place Directorate,Payments to Voluntary Organisations
Salford City Council,01/06/2023,601494633,2700,450,2250,Griffin Care Training Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494519,535.22,0,535.22,Hogans Butchers Ltd,People (Childrens) Service Group,Catering Supplies
Salford City Council,01/06/2023,6003713977,1698.97,283.16,1415.81,Howdens - Worsley Df,People (Adults) - CHSC,Materials
Salford City Council,01/06/2023,1600711745,-658.92,-109.82,-549.1,Hsl Compliance Ltd,Place Directorate,UV Tank Cleaning
Salford City Council,01/06/2023,1600711758,658.92,109.82,549.1,Hsl Compliance Ltd,Place Directorate,UV Tank Cleaning
Salford City Council,01/06/2023,1600711999,754.2,125.7,628.5,Hsl Compliance Ltd,Service Reform (Corp Bus & Transform),UV Tank Cleaning
Salford City Council,01/06/2023,1600712046,786.72,131.12,655.6,Killgerm Chemicals,Place Directorate,Chemicals
Salford City Council,01/06/2023,6003714217,1114,0,1114,L M Property Maintenan,People (Adults) - CHSC,Removal Expenses
Salford City Council,01/06/2023,6003714080,1500,0,1500,L M Property Maintenan,People (Adults) - CHSC,Removal Expenses
Salford City Council,01/06/2023,6003714166,803,0,803,Leafletfrog,Service Reform (Corp Bus & Transform),ICT License fee
Salford City Council,01/06/2023,1600712063,738.96,123.16,615.8,Medgen Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,6003713969,1495,0,1495,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714127,1495,0,1495,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714194,1495,0,1495,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714201,1495,0,1495,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714305,1495,0,1495,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003713972,2739,0,2739,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003713987,2739,0,2739,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714293,2739,0,2739,Milton Manchester,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,1600712000,2544,424,2120,Ray Britland Contractors Ltd,Place Directorate,Contractors
Salford City Council,01/06/2023,601494502,600,0,600,Redacted Data,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,1600711153,-14798.04,0,-14798.04,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/06/2023,1600712058,4482.76,747.13,3735.63,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/06/2023,1600712059,4668.96,778.16,3890.8,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/06/2023,1600712057,6382.8,1063.8,5319,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/06/2023,1600712060,22673.36,3778.89,18894.47,S & W Tlp (Project Co One) Ltd,People (Childrens) Service Group,Unitary Charge
Salford City Council,01/06/2023,601494011,1500,0,1500,Secure Accomodation Network,People (Childrens) Service Group,Other Professional Fees
Salford City Council,01/06/2023,6003714121,1335,0,1335,Sumup *Jf Services,People (Adults) - CHSC,General Repairs
Salford City Council,01/06/2023,6003714150,4200,0,4200,Sumup *Lmac Roofing Ltd,People (Adults) - CHSC,Subscriptions
Salford City Council,01/06/2023,6003714117,760,0,760,Sure Storage Irlam,People (Adults) - CHSC,General Repairs
Salford City Council,01/06/2023,6003714059,930,0,930,Suresolutionsgroupltd,People (Adults) - CHSC,General Repairs
Salford City Council,01/06/2023,601494637,2404.8,400.8,2004,Teaching Personnel Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/06/2023,601494512,3000,0,3000,The Galaxy,Place Directorate,Payments to Voluntary Organisations
Salford City Council,01/06/2023,601494389,6586,0,6586,The Reader Organisation,People (Childrens) Service Group,Classroom Supplies Capitation
Salford City Council,01/06/2023,601494531,5100,0,5100,Thompsons Academy Ltd,People (Childrens) Service Group,Payments to Agencies
Salford City Council,01/06/2023,601494520,1188,198,990,Time Recruitment Solutions Ltd,People (Childrens) Service Group,Agency Fees
Salford City Council,01/06/2023,6003713980,995.9,0,995.9,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714308,1048.89,0,1048.89,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714151,1851.83,0,1851.83,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714142,2191.79,0,2191.79,Travelodge Gb0000,People (Adults) - CHSC,Rents
Salford City Council,01/06/2023,6003714301,824.94,137.49,687.45,Www.Paper.Co.Uk,Service Reform (Corp Bus & Transform),Stationery
Salford City Council,01/06/2023,6003714017,900,0,900,Zettle_*Kevin Booth Pa,People (Adults) - CHSC,Other Professional Fees
Salford City Council,01/06/2023,6003714265,1260,0,1260,Zettle_*Kevin Booth Paint,People (Adults) - CHSC,Other Professional Fees
