Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,01-Jun-23,51200464174,"£3,189.00",Redacted Personal Data,INDIVIDUAL,Voluntary sector,Ukraine resettlement scheme,Payments to Other Establishments
North Northamptonshire Council,01-Jun-23,51200465601,"£25,036.32",Redacted Personal Data,INDIVIDUAL,LD Learning Disability CCP LT,Learning Disability Support CCP Long Term LD,Direct Payments
North Northamptonshire Council,01-Jun-23,51200445203,"-£315,135.00",Northamptonshire Better Health Outcomes Limited,OTHER PUBLIC BODIES,Health Improvement [NCC],Social Prescribing,Private Contractors
North Northamptonshire Council,02-Jun-23,51200467498,-£874.28,POLEBROOK NURSING & RESIDENTIAL HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,02-Jun-23,51200413514,£536.23,The Camden Society (Thera campus TUPE payments),CARE ESTABLISHMENT,Central Support Services,LD Reprovision,Agency Staff
North Northamptonshire Council,02-Jun-23,51200361167,£544.64,The Camden Society (Thera campus TUPE payments),CARE ESTABLISHMENT,Central Support Services,LD Reprovision,Agency Staff
North Northamptonshire Council,02-Jun-23,51200381052,£558.88,The Camden Society (Thera campus TUPE payments),CARE ESTABLISHMENT,Central Support Services,LD Reprovision,Agency Staff
North Northamptonshire Council,02-Jun-23,51200433162,£560.71,The Camden Society (Thera campus TUPE payments),CARE ESTABLISHMENT,Central Support Services,LD Reprovision,Agency Staff
North Northamptonshire Council,02-Jun-23,51200423347,£580.17,The Camden Society (Thera campus TUPE payments),CARE ESTABLISHMENT,Central Support Services,LD Reprovision,Agency Staff
North Northamptonshire Council,02-Jun-23,51200467499,£582.85,POLEBROOK NURSING & RESIDENTIAL HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,02-Jun-23,51200467497,£582.85,POLEBROOK NURSING & RESIDENTIAL HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,02-Jun-23,51200467492,£748.57,FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,OP North Older People RES ST,Physical Support Res other Short Term OP North,Rehabilitation And Respite Care
North Northamptonshire Council,02-Jun-23,51200467493,"£1,213.71",Northamptonshire Care Limited (Olive Row),CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,02-Jun-23,51200467495,"£1,285.71",AVERY HEALTHCARE,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,02-Jun-23,51200467489,"£1,335.71",K-Lodge Care Home Ltd,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,02-Jun-23,51200467500,"£2,064.29",REGAL CARE TRADING LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,02-Jun-23,51200467501,"£2,064.29",REGAL CARE TRADING LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
