Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,01-Dec-23,51200578948,"-£4,416.30",Alpha Health & Social Care Services Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200579288,"-£3,596.32",ENLIGHTENMENT CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578909,"-£3,407.04",SPOT-ON HEALTHCARE LIMITED,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578189,"-£2,000.00",UPPINGHAM COMMUNITY COLLEGE,EDUCATION,High Needs Out Of County,Out County Special Arrangement,Independent School Placements
North Northamptonshire Council,01-Dec-23,51200578931,"-£1,135.68",Rainbow Direct Care Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200579215,"-£1,135.68",PASSION CARE STAFFING LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200579090,"-£1,135.62",PRECIOUS HOPE HEALTH AND HOMECARE LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578561,"-£1,100.00",24/7 STAFFING SUPPORT LTD,TRADE SUPPLIER,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200535454,-£898.15,JMS Engineers (Midlands) Ltd,COMPANY,Building Control & Regulations,Building Control,Professional Fees and Hired Services
North Northamptonshire Council,01-Dec-23,51200578775,-£888.55,THE CARE BUREAU,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578935,-£844.59,Rainbow Direct Care Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578884,-£841.20,SPOT-ON HEALTHCARE LIMITED,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200579055,-£736.05,GEMINI EXCLUSIVE CARE LTD,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578812,-£726.00,THE CARE BUREAU,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200578191,-£670.02,QUORN HALL SCHOOL LIMITED,EDUCATION,High Needs Out Of County,Out County Ind Special,Independent School Placements
North Northamptonshire Council,01-Dec-23,51200579144,-£599.45,Phoenix All Care Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200577661,-£576.00,Hayway,TRADE SUPPLIER,HRA Repairs and Maintenance [KBC],Tenants Requests,Equipment and Tools
North Northamptonshire Council,01-Dec-23,51200578370,-£567.81,Aroma Care People,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200573380,-£526.01,CITY ELECTRICAL FACTORS LTD,TRADE SUPPLIER,HRA Repairs and Maintenance [CBC],Responsive Repairs,Equipment and Tools
North Northamptonshire Council,01-Dec-23,51200579239,£503.16,ENLIGHTENMENT CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200579283,£503.16,ENLIGHTENMENT CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,01-Dec-23,51200577703,£504.00,THE MOWER SHOP,TRADE SUPPLIER,Golf Course,Golf Course,Equipment and Tools
