Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,01-Sep-23,51200510101,"-£2,893.75",TOTAL GAS AND POWER,TRADE SUPPLIER,Facilities management [CBC],Corby Cube,Gas
North Northamptonshire Council,01-Sep-23,51200520269,£511.57,TOTAL GAS AND POWER,TRADE SUPPLIER,Property Management [BCW],Offices Croyland Abbey,Gas
North Northamptonshire Council,01-Sep-23,51200520280,£527.05,TOTAL GAS AND POWER,TRADE SUPPLIER,Property Management [BCW],Offices Croyland Abbey,Gas
North Northamptonshire Council,01-Sep-23,51200507276,£546.00,The Myres-Briggs Company Limited,TRADE SUPPLIER,Place Project Management Team,Place Project Management Team,Staff Training & Development
North Northamptonshire Council,01-Sep-23,51200508602,£550.89,Lewis Mayes T/A Mayes Carpentry,SOLETRADER,Property Management [CBC],Cb Property Services,Consultancy
North Northamptonshire Council,01-Sep-23,51200520273,£584.72,TOTAL GAS AND POWER,TRADE SUPPLIER,Property Management [BCW],Offices Croyland Abbey,Gas
North Northamptonshire Council,01-Sep-23,51200520257,£600.00,Sublime Science Ltd,COMPANY,Archive and Heritage Service [NCC],Archives & Heritage Project Fund-Chester House Farm,Professional Fees and Hired Services
North Northamptonshire Council,01-Sep-23,51200521984,£610.71,THE MATHER-FRANKS CARE GROUP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,01-Sep-23,51200506377,£620.39,Premiere Kitchens,TRADE SUPPLIER,HRA (Capital) [KBC],Voids Repairs and Improvements,"New Construction, Conversion and Renovation"
North Northamptonshire Council,01-Sep-23,51200511851,£635.00,Sharlene Lynch - SSL Plumbing & Heating Ltd,COMPANY,HRA (Capital) [CBC],Central Heating Boilers,Construction - External Professional Fees
North Northamptonshire Council,01-Sep-23,51200519536,£648.06,Medigold Health Consultancy Limited,COMPANY,Health & Safety [NCC],Occupational Health,Staff health & welfare Costs
North Northamptonshire Council,01-Sep-23,51200522009,£651.43,Birchester Medicare Services Limited T/A Shire Lodge Nursing Home,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,01-Sep-23,51200522078,£658.36,Redacted Personal Data,INDIVIDUAL,HRA Income [CBC],Dwelling Rents,HRA Rents
North Northamptonshire Council,01-Sep-23,51200520340,£670.28,VPS (UK) LIMITED,COMPANY,Property Management [KBC],Commercial Property Management,Building Repair and Maintenance
North Northamptonshire Council,01-Sep-23,51200522072,£674.88,ROYAL MAIL,TRADE SUPPLIER,Elections and electoral registration [CBC],Electoral Registration,Postage & Carriage
North Northamptonshire Council,01-Sep-23,51200522064,£750.00,Thrapston Beer Festival,LOCAL CLUBS & GROUPS,Democratic Services [NCC],Members,Grants
North Northamptonshire Council,01-Sep-23,51200508718,£752.26,CTS Hire a Trading Style of Specialist Fleet Services Ltd,COMPANY,Fleet [BCW],Fleet [BCW],Vehicle Repairs and maintenance
North Northamptonshire Council,01-Sep-23,51200506372,£753.60,Security And Surveillance UK Ltd,COMPANY,Facilities management [ENC],Thrapston Offices,Security Equipment
North Northamptonshire Council,01-Sep-23,51200506366,£757.32,Whistl UK Limited,COMPANY,Printing and postage [ENC],Postage,Postage & Carriage
North Northamptonshire Council,01-Sep-23,51200521987,£814.27,AVENS LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,01-Sep-23,51200506643,£834.75,House of Advocacy,COMPANY,DOLS Service,DOLS Service,Professional Fees and Hired Services
North Northamptonshire Council,01-Sep-23,51200521993,£842.14,AVERY HEALTHCARE,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
