Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,03-Apr-23,51200433307,"-£8,503.95",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433299,"-£8,393.45",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433313,"-£3,865.68",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433305,"-£3,092.18",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433315,"-£2,346.89",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433311,"-£2,234.70",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,LD Learning Disability CCP LT,Learning Disability Support CCP Long Term LD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433303,"-£2,208.96",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200431662,"-£1,800.97",G M LAWRENCE ELECTRICAL LTD,COMPANY,Hard FM [NCC],Hard Facilities Management,Specialist Servicing and Maintenance
North Northamptonshire Council,03-Apr-23,51200433309,"-£1,619.93",TRIANGULAR CARE SERVICES LTD,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200418433,£505.20,Dura Pump Ltd,COMPANY,Hard FM [NCC],Hard Facilities Management,Building Repair and Maintenance
North Northamptonshire Council,03-Apr-23,51200419053,£515.27,BRAKES GROCERY,TRADE SUPPLIER,Parks & Play Areas,East Carlton Park & Cafe,Hospitality and Refreshments
North Northamptonshire Council,03-Apr-23,51200433246,£517.50,Phoenix All Care Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200419979,£518.40,SPS DOORGUARD LTD,COMPANY,HRA Repairs and Maintenance [KBC],Void Repairs,Private Contractors
North Northamptonshire Council,03-Apr-23,51200416423,£539.03,ALLBRITE SERVICE GROUP LIMITED,COMPANY,Lodge Park & Football,Lodge Park Sports Centre,Cleaning and Domestic Supplies
North Northamptonshire Council,03-Apr-23,51200433349,£540.54,TLS Groundworks Ltd,COMPANY,EN Enterprise Centre,Enterprise Centre Operations,Receipts in Advance - Unapplied Capital Contributions Short Term
North Northamptonshire Council,03-Apr-23,51200433280,£543.25,Your Dignified Care Ltd,CARE ESTABLISHMENT,Physical Support CCP,Physical Support CCP Long Term,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200418227,£552.00,PLANET FIRE & SECURITY LTD,COMPANY,Archive and Heritage Service [NCC],Archives & Heritage Project Fund-Chester House Farm,Building Repair and Maintenance
North Northamptonshire Council,03-Apr-23,51200433275,£567.61,Harvlightcare Services Limited,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200420729,£570.24,MG Recycling Ltd,COMPANY,HRA Repairs and Maintenance [KBC],Tenants Requests,Professional Fees and Hired Services
North Northamptonshire Council,03-Apr-23,51200432613,£596.74,Mr A N Cooper,SOLETRADER,Public Services (Capital) [KBC],GLaM,Construction - External Professional Fees
North Northamptonshire Council,03-Apr-23,51200423365,£597.44,STANAIR LTD,TRADE SUPPLIER,Property Management [KBC],Haylock House,Specialist Servicing and Maintenance
North Northamptonshire Council,03-Apr-23,51200419061,£600.00,Storm Technologies Ltd,COMPANY,IT Service Delivery,IT Service Delivery,Equipment and Tools
North Northamptonshire Council,03-Apr-23,51200433197,£600.00,DUNAMIS SOCIAL CARE,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433012,£600.00,D & D Blinds Ltd,COMPANY,Leisure [CBC],Hazelwood Neighbourhood Centre Development,"New Construction, Conversion and Renovation"
North Northamptonshire Council,03-Apr-23,51200432603,£604.23,CROWN PAINTS  LTD,TRADE SUPPLIER,Stores [KBC],Stores,Inventories
North Northamptonshire Council,03-Apr-23,51200418505,£624.00,GARY TAYLOR BUILDERS LTD,TRADE SUPPLIER,Country Parks [NCC],Countryside Services-Barnwell Country Park,Building Repair and Maintenance
North Northamptonshire Council,03-Apr-23,51200433241,£626.75,Phoenix All Care Ltd,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Support with Memory & Cognition CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433271,£640.84,Harvlightcare Services Limited,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433151,£645.00,Wright Foundation,COMPANY,Corby-East Midlands International Pool,Corby-East Midlands International Pool,Staff Training & Development
North Northamptonshire Council,03-Apr-23,51200433258,£647.50,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433259,£647.50,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200408601,£648.00,Storm Technologies Ltd,COMPANY,HRA [CBC],Core Management,Equipment and Tools
North Northamptonshire Council,03-Apr-23,51200433331,£650.00,Burton Latimer Community Managed Library,EDUCATION,Voluntary sector,HSF Funding,Grants
North Northamptonshire Council,03-Apr-23,51200422468,£652.94,EE Limited,TRADE SUPPLIER,Adult Learning [NCC],Adult Learning_02-Equipment,Telephone costs
North Northamptonshire Council,03-Apr-23,51200418621,£664.82,Premiere Kitchens,TRADE SUPPLIER,HRA (Capital) [KBC],Voids Repairs and Improvements,"New Construction, Conversion and Renovation"
North Northamptonshire Council,03-Apr-23,51200433252,£666.00,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,OP North Older People CCP LT,Support with Memory & Cognition CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200432920,£668.56,THISTLE PRESSURE WASHER SERVICE,TRADE SUPPLIER,Refuse and recycling [BCW],Domestic Waste Collection,Equipment and Tools - Hire
North Northamptonshire Council,03-Apr-23,51200433069,£672.00,Grove Electrical Engineering Ltd,COMPANY,Corby-East Midlands International Pool,Corby-East Midlands International Pool,Building Repair and Maintenance
North Northamptonshire Council,03-Apr-23,51200419174,£675.08,Redacted Personal Data,SOLETRADER,Bereavement services [KBC],Crematorium,Building Repair and Maintenance
North Northamptonshire Council,03-Apr-23,51200432519,£680.00,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,OTHER PUBLIC BODIES,Sexual Health [NCC],PH - Sexual Health GUM,Private Contractors
North Northamptonshire Council,03-Apr-23,51200432821,£690.85,THISTLE PRESSURE WASHER SERVICE,TRADE SUPPLIER,Refuse and recycling [BCW],Domestic Waste Collection,Equipment and Tools - Hire
North Northamptonshire Council,03-Apr-23,51200433374,£690.85,THISTLE PRESSURE WASHER SERVICE,TRADE SUPPLIER,Refuse and recycling [BCW],Domestic Waste Collection,Equipment and Tools - Hire
North Northamptonshire Council,03-Apr-23,51200419160,£693.40,NATIONAL WORLD PUBLISHING LTD (FORMERLY JPIMEDIA PUBLISHING),TRADE SUPPLIER,Development Services [CBC],Development Management,Advertising / Publicity (non Recruitment)
North Northamptonshire Council,03-Apr-23,51200433255,£703.00,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,MH Mental Health CCP LT,Mental Health Support CCP Long Term MH,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433323,£711.00,DOORWAY SERVICES,TRADE SUPPLIER,HRA Repairs and Maintenance [CBC],Sheltered Schemes - Maintenance,Specialist Servicing and Maintenance
North Northamptonshire Council,03-Apr-23,51200433203,£712.40,KETTERING MIND,CHARITY,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433204,£712.40,KETTERING MIND,CHARITY,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200432811,£714.00,HCS Deep Cleaning Services,SOLETRADER,HAT North,HAT North,Building Cleaning
North Northamptonshire Council,03-Apr-23,51200384699,£717.60,MLL Telecom Ltd,COMPANY,IT (Capital) [CBC],ICT Hardware Replacement,IT Hardware
North Northamptonshire Council,03-Apr-23,51200419159,£734.18,NATIONAL WORLD PUBLISHING LTD (FORMERLY JPIMEDIA PUBLISHING),TRADE SUPPLIER,Development Services [KBC],Development Control,Advertising / Publicity (non Recruitment)
North Northamptonshire Council,03-Apr-23,51200433063,£740.88,Redacted Personal Data,INDIVIDUAL,HRA Income [CBC],Dwelling Rents,HRA Rents
North Northamptonshire Council,03-Apr-23,51200433050,£748.62,Redacted Personal Data,INDIVIDUAL,HRA Income [CBC],Dwelling Rents,HRA Rents
North Northamptonshire Council,03-Apr-23,51200426123,£756.06,CANON (UK) LTD,TRADE SUPPLIER,Printing and postage [ENC],Printing,Printing
North Northamptonshire Council,03-Apr-23,51200419068,£762.84,TUDOR ENVIRONMENTAL,TRADE SUPPLIER,Country Parks [NCC],Countryside Services-Fermyn Woods Country Park,Grounds Maintenance
North Northamptonshire Council,03-Apr-23,51200418698,£774.92,HAYS RECRUITING EXPERTS WORLDWIDE,TRADE SUPPLIER,HRA Repairs and Maintenance [KBC],Void Repairs,Agency Staff
North Northamptonshire Council,03-Apr-23,51200432655,£785.76,UNDERWOODS,TRADE SUPPLIER,Property Management [BCW],Town Centre - Others,Building Structural Maintenance - Reactive
North Northamptonshire Council,03-Apr-23,51200433288,£799.50,Your Dignified Care Ltd,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200419079,£801.91,KNIGHTON JANITORIAL LIMITED,COMPANY,Facilities management [BCW],Facilities Management/Amenities (BCW),Cleaning and Domestic Supplies
North Northamptonshire Council,03-Apr-23,51200433243,£805.00,Phoenix All Care Ltd,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433260,£814.00,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
North Northamptonshire Council,03-Apr-23,51200433261,£814.00,MAGENTA DOMICILIARY CARE SERVICES,CARE ESTABLISHMENT,PD Physical Disability CCP LT,Physical Support CCP Long Term PD,Domiciliary Care
