Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,01-Mar-24,51200617069,"-£114,000.00",Beebot AI Ltd,COMPANY,Family Hubs,Family Hubs,Specialist Equipment For Service Delivery
North Northamptonshire Council,01-Mar-24,51200642957,"-£7,860.00",REGAL CARE TRADING LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,01-Mar-24,51200596697,"-£6,574.86",PHS GROUP PLC,TRADE SUPPLIER,Complex,Day Services,Specialist Waste Disposal
North Northamptonshire Council,01-Mar-24,51200596396,"-£4,370.65",PHS GROUP PLC,TRADE SUPPLIER,Bereavement Service,Crematorium,Building Repair and Maintenance
North Northamptonshire Council,01-Mar-24,51200596398,"-£4,162.16",PHS GROUP PLC,TRADE SUPPLIER,Lodge Park & Football,Lodge Park Sports Centre,Equipment and Tools - Hire
North Northamptonshire Council,01-Mar-24,51200637395,"-£4,120.19",Wave (ROTHERHAM),COMPANY,Utility Services [NCC],Utility Services,Water charges
North Northamptonshire Council,01-Mar-24,51200642497,"-£2,339.29",CLANFIELD,CARE ESTABLISHMENT,OP North Older People CCP LT,Physical Support CCP Long Term OP North,Residential Care
North Northamptonshire Council,01-Mar-24,51200596404,"-£2,266.55",PHS GROUP PLC,TRADE SUPPLIER,Facilities management [KBC],Main Council Offices,Cleaning and Domestic Supplies
North Northamptonshire Council,01-Mar-24,51200642559,"-£1,485.71",GABRIEL COURT,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
North Northamptonshire Council,01-Mar-24,51200596406,"-£1,392.35",PHS GROUP PLC,TRADE SUPPLIER,Facilities management [CBC],Thrapston Offices,Equipment and Tools - Hire
North Northamptonshire Council,01-Mar-24,51200642757,"-£1,317.69",COUNTRY VIEW NURSING HOME,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,01-Mar-24,51200642552,"-£1,257.14",GABRIEL COURT,CARE ESTABLISHMENT,OP North Older People RES LT,Physical Support Res Long Term OP North,Residential Care
