Body Name,Date Paid,Transaction Number,Amount,Supplier Name,Supplier Type,Expense Area,Cost Centre Description,Expense Type
North Northamptonshire Council,21-Jul-23,51200498532,"£7,172.40",VOYAGE,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498628,"£7,172.40",Accomplish Group Limited,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498824,"£7,269.76",THE FERNS,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498075,"£7,600.00",CHRISTCHURCH COURT LTD,TRADE SUPPLIER,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498441,"£7,637.92",CONSENSUS SUPPORT SERVICES LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498074,"£7,787.08",CHRISTCHURCH COURT LTD,TRADE SUPPLIER,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498000,"£7,964.96",PRIME LIFE LIMITED,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498528,"£7,983.88",VOYAGE,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498213,"£8,030.96",CONSENSUS SUPPORT SERVICES LTD,CARE ESTABLISHMENT,MH Mental Health RES LT,Mental Health Support Res Long Term MH,Residential Care
North Northamptonshire Council,21-Jul-23,51200497976,"£8,034.00",TRANSPARENT CARE LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498818,"£8,169.88",HILLCREST,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498629,"£8,169.88",Accomplish Group Limited,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498445,"£8,169.88",LIFESTYLE CARE SUPPORT,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498801,"£8,169.88",CREATIVE SUPPORT,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498590,"£8,169.88",MENCAP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498535,"£8,169.88",VOYAGE,CARE ESTABLISHMENT,TR Transitions RES LT,Learning Disability Support Res Long Term TR,Residential Care
North Northamptonshire Council,21-Jul-23,51200498630,"£8,169.88",Accomplish Group Limited,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498592,"£8,169.88",MENCAP,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200497959,"£8,169.88",Newbury Manor Care Home,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498599,"£8,257.14",HOLLYBERRY CARE LTD,CARE ESTABLISHMENT,OP North Older People RES LT,Support with Memory & Cognition Res Long Term OP North,Residential Care
North Northamptonshire Council,21-Jul-23,51200498643,"£8,276.72",OAKLEAF CARE GROUP,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200499017,"£8,373.60",Voyage Care 14 Broomfield Close,CARE ESTABLISHMENT,PD Physical Disability RES LT,Physical Support Res Long Term PD,Residential Care
North Northamptonshire Council,21-Jul-23,51200498642,"£8,408.20",OAKLEAF CARE GROUP,CARE ESTABLISHMENT,PD Physical Disability RES LT,Support with Memory & Cognition Res Long Term PD,Nursing Care
North Northamptonshire Council,21-Jul-23,51200498583,"£8,606.88",CONSENSUS SUPPORT SERVICES LTD,CARE ESTABLISHMENT,LD Learning Disability RES LT,Learning Disability Support Res Long Term LD,Residential Care
