Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,TS34085127,KINTO UK LIMITED,18/03/2025,691612,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CONTRACT HIRE OF VEHICLES,Revenue,1,-599.02
WF,TS40111095,UNDERBARROW INSTITUTE,18/03/2025,691388,LOCALITY BOARDS,LOCALITY BOARDS               ,GRANT PAYMENTS,Revenue,1,"1,500.00"
WF,TS53982615,HACHETTE UK DISTRIBUTION,18/03/2025,692481,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC STATIONERY & MATERIALS,Revenue,1,-702.00
WF,TS55824663,LEEDS COMMERCIAL LTD,18/03/2025,691614,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,CONTRACT HIRE OF VEHICLES,Revenue,1,700.00
WF,TS55994547,SUNBELT RENTALS LIMITED,18/03/2025,692539,LOCALITY BOARDS,LOCALITY BOARDS               ,OPERATIONAL MATERIALS OTHR,Revenue,1,296.52
WF,TS55994547,SUNBELT RENTALS LIMITED,18/03/2025,692539,LOCALITY BOARDS,LOCALITY BOARDS               ,OPERATIONAL MATERIALS OTHR,Revenue,2,87.16
WF,TS61266567,DIRECT STRIKE LTD,18/03/2025,692414,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,PROPERTY SURVEYS,Revenue,1,295.00
WF,TS61579659,ORIAN SOLUTIONS LTD,18/03/2025,691680,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,"3,259.55"
WF,TS61579659,ORIAN SOLUTIONS LTD,18/03/2025,692431,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,CLEANING SERVICES,Revenue,1,"1,211.79"
WF,TS61579659,ORIAN SOLUTIONS LTD,18/03/2025,692435,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,"3,705.10"
WF,TS61579659,ORIAN SOLUTIONS LTD,18/03/2025,692439,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,630.24
WF,TS61579659,ORIAN SOLUTIONS LTD,18/03/2025,692507,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,"2,868.00"
