company,coded supplier,Date,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,FP5468799,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-266.45
WF,FP5468799,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-266.45
WF,FP5468799,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-266.44
WF,FP5468799,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,STD FOSTERING ALLOWANCES,Revenue,2,-265.12
WF,FP366663,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-100
WF,FP366663,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-100
WF,FP366663,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-100
WF,FP366663,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,-100
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,3,12.66
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,4,12.66
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,4,12.66
WF,FP3715203,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST PROFESSIONAL FEES ADD,Revenue,2,24.43
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,24.7
WF,DP7802247,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
WF,DP10840503,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,25
WF,DP11191503,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
WF,DP12981603,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,25
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,3,27.25
WF,FP5585331,26/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,3,31.19
WF,FP1172559,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,3,37
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW RESPITE CARE,Revenue,1,37.92
WF,FP4664307,12/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOSTER PARENT TRAVEL CLAIMS,Revenue,3,44.35
WF,DP9402807,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,53
WF,DP13130427,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,56.35
WF,DP13381743,18/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,3,60
WF,DP8745735,11/06/2024,ADULT SERVICES,OPERATIONS                    ,DIRECT PAYMENTS TO SERVICE USE,Revenue,2,75.8
WF,FP4205199,19/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST ALLOW SINGLE ADD OTHER,Revenue,2,85.36
WF,FP3807867,05/06/2024,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,FOST RESPITE PROF FEE,Revenue,4,88.62
