Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount,,
WF,SU11451,ADT FIRE AND SECURITY PLC,19/04/2024,366784,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,REPAIRS & MAINTENANCE,Revenue,1,347.51,,
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,11/04/2024,357528,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"17,277.33",,
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/04/2024,372780,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,HIGHWAYS: CONTRACTOR,Capital,1,"13,413.90",,
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,09/04/2024,353977,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,REPAIRS & MAINTENANCE,Revenue,1,"2,276.30",,
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,29/04/2024,373737,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,536.4,,
WF,SU84459,B & K BUILDERS LTD,04/04/2024,351886,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,SCHOOLS ONLY BLDING WK CAPITAL,Revenue,1,"11,686.00",,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353709,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,604.6,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353713,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,819.6,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353714,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,542,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353718,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,783,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353719,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,148.00",,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353862,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,671,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353863,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,736,,
WF,SU84459,B & K BUILDERS LTD,09/04/2024,353864,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,252,,
WF,SU84459,B & K BUILDERS LTD,19/04/2024,366644,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,BUILDING REPAIRS,Revenue,1,670,,
WF,SU84459,B & K BUILDERS LTD,23/04/2024,368460,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,372,,
WF,SU84459,B & K BUILDERS LTD,23/04/2024,368462,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,328,,
WF,SU84459,B & K BUILDERS LTD,23/04/2024,368463,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,206.20",,
WF,SU84459,B & K BUILDERS LTD,26/04/2024,373472,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,503.00",,
