Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,TS29332587,ROYAL TOWN PLANNING INSTITUTE,04/12/2024,592108,THRIVING PLACES,INCLUSIVE & GREEN GROWTH      ,CONSULTANTS FEES,Revenue,1,368.00
WF,TS29341011,ALPHABET GB LTD,11/12/2024,597759,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,HIRED TRANSPORT EDUC VISITS,Revenue,1,348.30
WF,TS29341011,ALPHABET GB LTD,23/12/2024,610679,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CONTRACT HIRE OF VEHICLES,Revenue,1,363.90
WF,TS29341011,ALPHABET GB LTD,23/12/2024,610686,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CONTRACT HIRE OF VEHICLES,Revenue,1,363.90
WF,TS29341011,ALPHABET GB LTD,23/12/2024,610695,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,CONTRACT HIRE OF VEHICLES,Revenue,1,363.90
WF,TS2941599,EMBLEM PRINT PRODUCTS LTD,30/12/2024,613872,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,RETAIL PRODUCTS,Revenue,1,"1,362.20"
WF,TS2947215,EMERGENCY ONE UK LTD,19/12/2024,607205,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,VEHICLE MAINTENANCE & REPS,Revenue,1,"3,342.57"
WF,TS2951427,EMPAT REMOVALS,30/12/2024,614010,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BUSINESS & PROFESSIONAL SERV,Revenue,1,"1,315.00"
WF,TS29544591,THERAPOSTURE LTD,24/12/2024,611396,ADULT SERVICES,SERVICE PROVISION             ,CSDP EQUIPMENT,Revenue,1,"11,926.80"
WF,TS29628831,CUMBRIA ACTION FOR SUSTAINABILITY,17/12/2024,602891,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,GRANT PAYMENTS,Revenue,1,"75,350.00"
WF,TS2978103,ENVIROGUARD NW LTD,20/12/2024,608776,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,PEST CONTROL,Revenue,1,263.23
WF,TS297867,AQUAID (NORTH),18/12/2024,606437,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,REPAIRS & MAINTENANCE,Revenue,1,330.00
WF,TS29992467,CUMBRIA CLASSIC COACHES,10/12/2024,595078,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,HIRED TRANSPORT CNTRCT ROUTE,Revenue,1,"5,386.29"
WF,TS30506331,SHORROCK TRICHEM,10/12/2024,595162,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,CLEANING SERVICES,Revenue,1,546.96
WF,TS30907875,GREENWICH LEISURE LTD,13/12/2024,600690,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,"SPORTS&P.E.EQUIP-PURCH, REPAIR",Revenue,1,390.00
WF,TS30907875,GREENWICH LEISURE LTD,17/12/2024,602394,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUCSPECIAL NEEDS COSTS,Revenue,1,828.10
WF,TS30907875,GREENWICH LEISURE LTD,19/12/2024,607026,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC VISITS,Revenue,1,455.00
WF,TS30907875,GREENWICH LEISURE LTD,30/12/2024,613945,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC- SWIMMING,Revenue,1,352.05
WF,TS30907875,GREENWICH LEISURE LTD,30/12/2024,613989,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC- SWIMMING,Revenue,1,329.95
WF,TS310503,ARCHITECTS PLUS,03/12/2024,588654,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"51,463.79"
WF,TS31063719,ST BERNARDS SCHOOL,11/12/2024,597711,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,EDUCSPECIAL NEEDS COSTS,Revenue,1,800.00
WF,TS31063719,ST BERNARDS SCHOOL,11/12/2024,597713,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,EDUCSPECIAL NEEDS COSTS,Revenue,1,835.00
WF,TS31063719,ST BERNARDS SCHOOL,11/12/2024,597714,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,EDUCSPECIAL NEEDS COSTS,Revenue,1,800.00
WF,TS31063719,ST BERNARDS SCHOOL,11/12/2024,597715,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,EDUCSPECIAL NEEDS COSTS,Revenue,1,800.00
WF,TS31124091,METRO ROD LTD,16/12/2024,601687,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"4,450.00"
WF,TS31285551,STUART MORRIS TEXTILES LTD,13/12/2024,600724,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,RETAIL PRODUCTS,Revenue,1,268.00
WF,TS31448415,ARVAL BNP PARIBAS GROUP,30/12/2024,613961,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,VEHICLE MAINTENANCE & REPS,Revenue,1,394.95
WF,TS3146583,FINESSE DIRECT SUPPLIES,03/12/2024,588704,ADULT SERVICES,SERVICE PROVISION             ,OTHR PERSONAL & MEDICAL EXES,Revenue,1,187.50
WF,TS3146583,FINESSE DIRECT SUPPLIES,03/12/2024,588704,ADULT SERVICES,SERVICE PROVISION             ,OTHR PERSONAL & MEDICAL EXES,Revenue,2,105.94
WF,TS3146583,FINESSE DIRECT SUPPLIES,16/12/2024,601280,ADULT SERVICES,SERVICE PROVISION             ,STFF PROTECTIVE CLOTH/UNIFRM,Revenue,1,375.00
WF,TS3146583,FINESSE DIRECT SUPPLIES,16/12/2024,601280,ADULT SERVICES,SERVICE PROVISION             ,STFF PROTECTIVE CLOTH/UNIFRM,Revenue,2,187.50
WF,TS3146583,FINESSE DIRECT SUPPLIES,20/12/2024,608746,ADULT SERVICES,SERVICE PROVISION             ,CLEANING MATERIALS,Revenue,1,150.00
WF,TS3146583,FINESSE DIRECT SUPPLIES,20/12/2024,608746,ADULT SERVICES,SERVICE PROVISION             ,CLEANING MATERIALS,Revenue,2,225.00
WF,TS3146583,FINESSE DIRECT SUPPLIES,31/12/2024,616367,ADULT SERVICES,SERVICE PROVISION             ,STFF PROTECTIVE CLOTH/UNIFRM,Revenue,1,112.50
WF,TS3146583,FINESSE DIRECT SUPPLIES,31/12/2024,616367,ADULT SERVICES,SERVICE PROVISION             ,STFF PROTECTIVE CLOTH/UNIFRM,Revenue,2,112.50
WF,TS3146583,FINESSE DIRECT SUPPLIES,31/12/2024,616367,ADULT SERVICES,SERVICE PROVISION             ,STFF PROTECTIVE CLOTH/UNIFRM,Revenue,3,112.50
WF,TS3150795,FINGERPRINTS,30/12/2024,613871,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,ADV/PUBLICITY (NOT RECRUITMT),Revenue,1,"1,676.72"
WF,TS3159219,SUPPLY PLUS LTD,27/12/2024,613578,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,VEHICLE MAINTENANCE & REPS,Revenue,1,301.05
WF,TS31647783,CARPETRIGHT,18/12/2024,606666,THRIVING COMMUNITIES,HOUSING                       ,REPAIRS & MAINTENANCE,Revenue,1,271.60
WF,TS3173259,FIRPRESS GROUP LTD,04/12/2024,591920,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,PRINTING COSTS,Revenue,1,901.00
WF,TS32928231,GHYLLSIDE PRIMARY SCHOOL ACADEMY,05/12/2024,592947,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,EDUCSPECIAL NEEDS COSTS,Revenue,1,575.97
WF,TS32980179,LANGDALE CE PRIMARY SCH FUND,06/12/2024,593629,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,L&D-CPD,Revenue,1,500.00
WF,TS33015279,PEARSON EDUCATION,03/12/2024,588482,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,LICENCES & FEES,Revenue,1,600.00
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,1,104.80
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,2,20.96
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,3,41.92
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,4,62.88
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,5,52.40
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,6,20.96
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,7,10.48
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,8,20.96
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,9,20.96
WF,TS33015279,PEARSON EDUCATION,11/12/2024,599138,THRIVING COMMUNITIES,SAFE & STRONG COMMUNITIES     ,EXAM FEES SCHOOLS,Revenue,10,20.96
WF,TS33015279,PEARSON EDUCATION,17/12/2024,602884,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,EDUC EQUIP PURCH&REPAIR REV,Revenue,1,306.86
WF,TS33015279,PEARSON EDUCATION,20/12/2024,607987,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,TEXT BOOKS,Revenue,1,423.00
WF,TS33015279,PEARSON EDUCATION,20/12/2024,607987,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,TEXT BOOKS,Revenue,2,324.00
WF,TS33015279,PEARSON EDUCATION,20/12/2024,607987,CHILDRENS SERVICES,EDUCATION & INCLUSION         ,TEXT BOOKS,Revenue,3,3.75
WF,TS3302427,FOSTER CARE ASSOCIATES LTD,30/12/2024,613784,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,INDEPENDENT FOSTER PLACEMENTS,Revenue,1,"3,634.36"
WF,TS3302427,FOSTER CARE ASSOCIATES LTD,30/12/2024,613785,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,INDEPENDENT FOSTER PLACEMENTS,Revenue,1,"3,634.36"
