Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Expenditure Description,Type of Expenditure,Line Number,Line Amount,,
WF,SU11451,ADT FIRE AND SECURITY PLC,02/05/2024,379070,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,260.67,,
WF,SU11451,ADT FIRE AND SECURITY PLC,07/05/2024,380688,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,391.97,,
WF,SU71823,BELL DECORATING GROUP LIMITED,14/05/2024,387618,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,380.00",,
WF,SU71823,BELL DECORATING GROUP LIMITED,22/05/2024,399749,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,180.00",,
WF,SU84459,B & K BUILDERS LTD,02/05/2024,379323,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,264,,
WF,SU84459,B & K BUILDERS LTD,02/05/2024,379326,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,905,,
WF,SU84459,B & K BUILDERS LTD,02/05/2024,379329,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,724.00",,
WF,SU84459,B & K BUILDERS LTD,08/05/2024,384203,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,CAPITAL ADDITIONS - OTHER,Capital,1,"71,219.41",,
WF,SU84459,B & K BUILDERS LTD,08/05/2024,384204,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,556.00",,
WF,SU84459,B & K BUILDERS LTD,14/05/2024,387626,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,278,,
WF,SU84459,B & K BUILDERS LTD,14/05/2024,387628,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,451.9,,
WF,SU84459,B & K BUILDERS LTD,16/05/2024,393405,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"14,843.00",,
WF,SU84459,B & K BUILDERS LTD,16/05/2024,393406,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,CAPITAL ADDITIONS - OTHER,Capital,1,"1,028.12",,
WF,SU84459,B & K BUILDERS LTD,20/05/2024,394835,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,370,,
WF,SU84459,B & K BUILDERS LTD,20/05/2024,394836,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,360.00",,
WF,SU84459,B & K BUILDERS LTD,20/05/2024,394841,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,275,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399751,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"3,588.00",,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399752,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,080.00",,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399753,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,657.60",,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399754,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,295,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399755,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,324,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399758,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,354,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399759,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,421.00",,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399765,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,395.87,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399768,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,88.6,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399768,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,345,,
WF,SU84459,B & K BUILDERS LTD,22/05/2024,399776,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,315,,
WF,SU84459,B & K BUILDERS LTD,31/05/2024,406662,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,661,,
WF,SU84459,B & K BUILDERS LTD,31/05/2024,406667,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,752,,
WF,SU97095,BORDER FOOD MACHINERY LTD,03/05/2024,379994,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,MEAL COSTS,Revenue,1,326.45,,
WF,SU97095,BORDER FOOD MACHINERY LTD,24/05/2024,401111,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,OTHR DOMESTIC EQUIPMENT,Revenue,1,297,,
WF,SU112539,BRAMPTON WOODWORKS,29/05/2024,405031,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,GROUNDS MAINTENANCE,Revenue,1,355,,
WF,SU154659,W CLEMENTSON & SON,15/05/2024,392913,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,REPAIRS & MAINTENANCE,Revenue,1,351.24,,
WF,SU160275,CONTINENTAL LANDSCAPING LT,01/05/2024,378005,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,1,"3,355.00",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,01/05/2024,378005,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,GROUNDS MAINTENANCE,Revenue,2,"1,200.00",,
WF,SU160275,CONTINENTAL LANDSCAPING LT,01/05/2024,378253,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLDC Tipping & Disposal Chgs,Revenue,1,"2,795.26",,
