Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,08/02/29,VI-130796,1300,Revenue,4Sight Communications Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/02/29,VI-131651,396.94,Revenue,Abbeycroft Leisure
Community Health,Port Health Authority,Employee Expenses,Technical Training,08/02/29,VI-131290,250,Revenue,ABC Food Law Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130093,43573.62,Capital,A & B Glass co ltd t/a Assetfineline
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130094,49994.33,Capital,A & B Glass co ltd t/a Assetfineline
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/03/29,VI-132342,44492.44,Capital,A & B Glass co ltd t/a Assetfineline
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,05/02/29,VI-130771,400,Revenue,Abouttime Training
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,26/02/29,VI-131314,129043,Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,26/02/29,VI-131277,94011,Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,26/02/29,VI-131257,199704,Revenue,Access Community Trust
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,05/02/29,VI-130685,4750,Capital,Acesco Business & Property Servcies LLP
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,05/02/29,VI-130885,790,Revenue,Acesco Business & Property Servcies LLP
Corporate Services,Assets and Property Services,Premises Expenses,Building Services - Responsive Maintenance,20/02/29,VI-131612,3750,Revenue,Acesco Business & Property Servcies LLP
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Planned Maintenance,01/03/29,VI-131972,21925,Revenue,Acesco Business & Property Servcies LLP
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,08/02/29,VI-131086,2751,Revenue,Acuity Research & Practice
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,08/02/29,VI-131001,750,Revenue,Adapt Limited
Community Health,Port Health Authority,Supplies and Services,Software Purchases,11/02/29,VI-131211,3116.86,Revenue,AG Grid Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-132232,8988,Capital,A J Builders (Suffolk) Ltd
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,26/02/29,VI-132033,1800,Revenue,Alan Boswell Employee Benefits Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,12/02/29,VI-131391,1574,Revenue,D D Alger and Partners
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/02/29,VI-132155,4778.27,Revenue,D D Alger and Partners
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,08/02/29,VI-127078,4400,Capital,Allman Woodcock Ltd
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,12/02/29,VI-131369,2200,Capital,Allman Woodcock Ltd
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,22/02/29,VI-131841,299,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,05/02/29,VI-131145,11149.3,Revenue,Amazon (AWS)
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,05/02/29,VI-131171,18436.58,Revenue,Amazon (AWS)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,05/02/29,VI-130454,1650,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,13/02/29,VI-131539,4042.4,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,13/02/29,VI-131540,3316.6,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,01/03/29,VI-131847,370.2,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,01/03/29,VI-131849,462.9,Revenue,Amazon Payments UK Limited (Business Acc)
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,02/02/29,VI-129844,21095.88,Revenue,M and C Engineering (Newbourne) Ltd
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,20/02/29,VI-131756,4852.4,Revenue,M and C Engineering (Newbourne) Ltd
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,27/02/29,VI-132062,11643.2,Capital,Anglian Water Services Ltd
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Hardware Maintenance,15/02/29,VI-131609,516.31,Revenue,Anglia Region Web Design
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,08/02/29,VI-131108,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Renovation Grants,12/02/29,VI-131316,1050,Revenue,Aqua-Dri Damp & Condensation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/02/29,VI-130751,8000,Revenue,Aran Insulation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-131512,15661.66,Capital,Aran Insulation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,13/02/29,VI-131513,12370.93,Capital,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131457,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131449,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131441,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,15/02/29,VI-131435,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131842,8000,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,20/02/29,VI-131843,8000,Revenue,Aran Insulation Ltd
