Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,04/09/2024,VI-121415,250.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Community Health,Food and Safety,Supplies and Services,Corporate Subscriptions,13/09/2024,VI-122168,250.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,27/09/2024,VI-118156,"1,000.00",Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/09/2024,VI-120200,"7,508.25",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-120198,"22,752.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-120202,"32,260.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,10/09/2024,VI-120203,"49,926.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Employee Expenses,Other Direct Salary Costs,13/09/2024,VI-122268,"5,352.00",Revenue,Access UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,10/09/2024,VI-121042,"1,300.00",Capital,ADC (East Anglia) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/09/2024,VI-121379,435.00,Revenue,Airborne Environmental Consultants,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,10/09/2024,VI-121380,370.00,Revenue,Airborne Environmental Consultants,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,27/09/2024,VI-122198,"112,500.00",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,27/09/2024,VI-122862,"3,000.00",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/09/2024,VI-121372,"1,640.40",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,04/09/2024,VI-121435,"2,840.30",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Furniture and Equipment,03/09/2024,VI-121241,"2,880.00",Revenue,JA Allen Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,04/09/2024,VI-121446,"4,140.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,24/09/2024,VI-122504,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,17/09/2024,VI-122332,465.67,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/09/2024,VI-121578,"15,285.66",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/09/2024,VI-121579,"10,008.99",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,06/09/2024,VI-121338,394.98,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Corporate Subscriptions,13/09/2024,VI-121894,600.00,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
