Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,23/07/2024,VI-118639,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,31/07/2024,VI-119308,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/07/2024,VI-117872,"2,543.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/07/2024,VI-118081,"3,309.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/07/2024,VI-119135,"5,602.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,23/07/2024,VI-118203,"1,683.33",Revenue,Drives 4 U Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,General Purchases,10/07/2024,VI-117209,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,10/07/2024,VI-117522,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,10/07/2024,VI-117523,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,10/07/2024,VI-117524,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,10/07/2024,VI-117525,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Other Indirect Transport Costs,10/07/2024,VI-117526,337.50,Revenue,DVLA,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,23/07/2024,VI-117540,734.41,Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,31/07/2024,VI-118681,"3,127.68",Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,02/07/2024,VI-116863,350.00,Revenue,Earl Soham Village Hall,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,30/07/2024,VI-118792,350.00,Revenue,Earl Soham Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,26/07/2024,VI-118689,"1,527.00",Revenue,Earthwake CIC,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,26/07/2024,VI-118186,"23,439.00",Capital,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,26/07/2024,VI-118503,"2,457.20",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,26/07/2024,VI-118463,"3,870.00",Revenue,East of England Co-op Society,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,24/07/2024,VI-118756,"1,095.00",Revenue,East of England Co-operative Society,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,16/07/2024,VI-117175,"1,800.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,General Purchases,19/07/2024,VI-117890,"2,000.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,03/07/2024,VI-116348,"8,658.79",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,19/07/2024,VI-118445,925.20,Revenue,Easton Bavents Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,23/07/2024,VI-118498,"5,000.00",Revenue,Easton Bavents Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,16/07/2024,VI-117945,376.00,Revenue,Easton & Letheringham Village Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,30/07/2024,VI-118931,"1,000.00",Revenue,East Anglian Schools Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,30/07/2024,VI-119005,250.00,Revenue,East Anglian Schools Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/07/2024,VI-116795,"16,795.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,26/07/2024,VI-117925,"16,970.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Other Ext Provided Services,02/07/2024,VI-116747,"3,788.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,02/07/2024,VI-116805,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Grants & Contributions,02/07/2024,VI-116867,995.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,05/07/2024,VI-117241,652.80,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,05/07/2024,VI-117236,"1,291.08",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,09/07/2024,VI-116200,"3,445.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,09/07/2024,VI-117228,441.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,09/07/2024,VI-117249,"2,352.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Contract Cleaning,16/07/2024,VI-116949,265.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Fixtures & Fittings,16/07/2024,VI-117150,261.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-117234,"1,386.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,26/07/2024,VI-118776,583.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,26/07/2024,VI-118777,"3,016.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,26/07/2024,VI-118778,747.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Other Cleaning Services,26/07/2024,VI-118865,715.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Other Cleaning Services,26/07/2024,VI-118917,"4,002.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,31/07/2024,VI-118999,"20,000.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,31/07/2024,VI-119226,"2,285.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,31/07/2024,VI-119227,"2,058.50",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,31/07/2024,VI-119177,"15,037.00",Capital,East Rising Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,01/07/2024,VI-116866,767.31,Revenue,EE Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/07/2024,VI-119611,761.16,Revenue,EE Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Grants and contributions,Outside Scope Contributions Other Entities,16/07/2024,VI-117976,500.00,Revenue,Election Claims Unit,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,09/07/2024,VI-117314,"66,720.44",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,09/07/2024,VI-117316,"2,647.68",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,16/07/2024,VI-117321,"66,934.49",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,16/07/2024,VI-117972,"5,614.35",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,16/07/2024,VI-117973,"8,401.58",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,23/07/2024,VI-118009,900.00,Revenue,Elecosoft UK Ltd,,,,,,,,,,,,,,,
Corporate Services,Admin Buildings,Premises Expenses,Rents Payable,03/07/2024,VI-116482,"1,637.50",Revenue,Elsom Spettigue Associates Limited,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,General Purchases,10/07/2024,VI-117441,875.00,Revenue,Emap Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,09/07/2024,VC-003612,"-2,007.00",Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/07/2024,VI-117530,"3,028.00",Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Electricity,26/07/2024,VI-118861,"1,560.00",Revenue,Energy Controls Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Building Services - Planned Maintenance,03/07/2024,VI-116933,295.00,Revenue,EPC Marketing Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,05/07/2024,VI-116996,475.00,Revenue,EPC Marketing Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Audit Fees,05/07/2024,VI-116972,"106,348.50",Revenue,Ernst & Young LLP,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,30/07/2024,VI-119042,"2,200.00",Capital,Essex County Council,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,30/07/2024,VI-118499,"3,368.65",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Surveyor Fees,03/07/2024,VI-115722,310.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,16/07/2024,VI-117953,922.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,10/07/2024,VI-117179,394.38,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Recruitment Advertising,10/07/2024,VI-117180,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,02/07/2024,VI-115091,"3,586.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/07/2024,VI-118651,"1,630.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,05/07/2024,VI-116940,"22,618.39",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,30/07/2024,VI-118690,"27,096.70",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,12/07/2024,VI-117733,618.00,Revenue,Fenton's Removals,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,31/07/2024,VI-119243,781.25,Revenue,Fenn Wright,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,12/07/2024,VI-117842,"11,426.40",Revenue,FERA,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,12/07/2024,VI-117815,"5,961.60",Revenue,FERA,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Software Purchases,17/07/2024,VI-118163,"1,547.92",Revenue,Ferret Information Systems Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,30/07/2024,VI-118983,"1,500.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,26/07/2024,VI-118774,760.00,Revenue,Fisher Scientific UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118493,"20,292.63",Revenue,Fishtrack Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,16/07/2024,VI-117942,527.68,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,30/07/2024,VI-118943,264.07,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,26/07/2024,VI-118894,"10,500.00",Capital,Flamestone Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Transport Expenses,Vehicle Hire,19/07/2024,VI-118409,439.60,Revenue,Fleet 96 Rentals Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Hardware Maintenance,30/07/2024,VI-119026,"5,760.00",Revenue,Flowbird Smart City UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Hardware Maintenance,30/07/2024,VI-119027,"10,368.00",Revenue,Flowbird Smart City UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,19/07/2024,VI-118108,295.00,Revenue,Flyer Group Media Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118453,"6,532.50",Revenue,Football Fun Factory,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,17/07/2024,VI-118131,350.00,Revenue,Framlingham United Free Church,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118490,"14,367.68",Revenue,Framlingham Technology Centre Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,16/07/2024,VI-117909,"1,000.00",Revenue,Friends of Woodbridge Library,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,30/07/2024,VI-119072,"3,636.00",Revenue,Friends of Dip Farm,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,09/07/2024,VI-117539,470.00,Revenue,Fritton Lake Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,03/07/2024,VI-116944,325.00,Capital,Fully Loaded Removals,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,24/07/2024,VI-116714,635.00,Revenue,Fully Loaded Removals,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,02/07/2024,VI-116937,750.00,Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,16/07/2024,VI-118074,375.00,Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Responsive Maintenance,12/07/2024,VI-117114,325.00,Revenue,G2 Survey Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,17/07/2024,VI-117775,484.93,Revenue,G4S Cash Services (UK) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,17/07/2024,VI-118974,"63,964.85",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,09/07/2024,VI-119378,"47,445.34",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,17/07/2024,VI-119379,"47,445.34",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117191,"1,395.00",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117357,"1,791.00",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117355,260.00,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117353,694.62,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117351,743.58,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117349,"2,016.67",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,05/07/2024,VI-117348,"2,016.67",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,12/07/2024,VI-117759,"1,404.00",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,16/07/2024,VI-118097,"2,016.67",Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,16/07/2024,VI-118098,686.97,Revenue,Gas adv serv Ltd t/a Phoenix Compliancy MGT Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,31/07/2024,VI-119215,"28,500.00",Revenue,The George Community Pub (Wickham Market) Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Bank Fees,16/07/2024,VI-118633,403.13,Revenue,Global payments,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,23/07/2024,VI-118497,"1,848.83",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117484,775.74,Revenue,GoDaddy,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/07/2024,VI-116965,"9,954.54",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/07/2024,VI-117571,"8,925.07",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/07/2024,VI-117883,"1,777.08",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/07/2024,VI-118653,"6,697.01",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,24/07/2024,VI-118652,"19,124.91",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/07/2024,VI-119145,"5,369.66",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Hotel Accommodation,10/07/2024,VI-117272,336.00,Revenue,GOV UK,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,16/07/2024,VI-118076,"1,350.00",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/07/2024,VI-117778,"8,599.16",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/07/2024,VI-117699,975.39,Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,12/07/2024,VI-117266,"13,133.93",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/07/2024,VI-118159,"1,888.19",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,23/07/2024,VI-118634,"10,875.92",Revenue,Graham,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,30/07/2024,VI-118946,"6,084.22",Revenue,Graham,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,09/07/2024,VI-117330,750.00,Revenue,Grapevine Computing,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,16/07/2024,VI-117902,750.00,Revenue,Grapevine Computing,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Grants and contributions,Outside Scope Contributions Other Entities,26/07/2024,VI-117975,500.00,Revenue,The Green Party,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,02/07/2024,VI-116856,"9,523.38",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,16/07/2024,VI-117913,288.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,16/07/2024,VI-117914,264.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/07/2024,VI-118501,"10,441.52",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/07/2024,VI-118654,"14,754.78",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/07/2024,VI-118655,"6,467.95",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/07/2024,VI-119134,"8,941.58",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,23/07/2024,VI-118563,"3,350.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,31/07/2024,VI-119181,"3,350.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,12/07/2024,VI-117536,"2,598.00",Capital,Greyfriars Project Management,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,16/07/2024,VI-117537,"2,275.00",Revenue,Greyfriars Project Management,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118510,"18,597.00",Revenue,Green Dragon,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,26/07/2024,VI-117776,"54,149.14",Revenue,Groundwork East,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/07/2024,VI-118173,"2,000.00",Revenue,Grove Court,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,26/07/2024,VI-118670,"1,157.04",Revenue,Grow Cook Eat CIC,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,30/07/2024,VI-118840,300.00,Revenue,Gunton St Peter with St Benedict,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,30/07/2024,VI-118828,300.00,Revenue,Gunton Estate Community Hall,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,05/07/2024,VI-117265,860.00,Revenue,GutterForce,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,02/07/2024,VI-116852,"2,639.13",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
