Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Consultants,31/07/2024,VI-118751,"4,800.00",Revenue,ARC Resolve Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,26/07/2024,VI-118857,439.80,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Other Ext Provided Services,09/07/2024,VI-116709,"9,750.00",Revenue,Arlingclose Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,05/07/2024,VI-117131,"1,000.00",Revenue,The Art Station,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,31/07/2024,VI-119098,"2,520.00",Revenue,The Art Station,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,05/07/2024,VI-117214,"2,423.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,09/07/2024,VI-117448,"3,888.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,26/07/2024,VI-118925,"5,569.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,16/07/2024,VI-118007,"1,847.20",Capital,Ashley Grant Consultancy,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Responsive Maintenance,31/07/2024,VI-116687,"1,990.45",Revenue,Aspire Construction & Property Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,09/07/2024,VI-117413,956.70,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,16/07/2024,VI-117897,"1,739.28",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,23/07/2024,VI-118550,"2,502.45",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,30/07/2024,VI-118877,"2,587.15",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Employee Expenses,Officer Professional Subscriptions,01/07/2024,VI-068176,270.00,Revenue,Association of Chartered Certified Accountants,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,02/07/2024,VI-115086,535.39,Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118471,"4,792.50",Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118472,"1,813.78",Revenue,ASSET Education,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/07/2024,VI-118474,495.00,Revenue,ASSET Education,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117481,273.39,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/07/2024,VI-117480,264.13,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,23/07/2024,VI-118513,250.00,Revenue,Avenue Evangelical Church,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,26/07/2024,VI-116508,"10,209.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Other Indirect Employee Expenses,16/07/2024,VC-001789,"-1,344.88",Revenue,AXA PPP,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,16/07/2024,VI-118006,"1,632.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,30/07/2024,VI-118876,500.00,Revenue,BACT Community Transport,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,09/07/2024,VI-116964,"20,595.65",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Employee Expenses,Contract Staff,09/07/2024,VI-116739,"2,117.74",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,19/07/2024,VI-118043,"16,917.45",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,23/07/2024,VI-117129,"39,960.00",Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,23/07/2024,VI-118594,450.00,Revenue,Bawdsey Village Hall & Recreation Ground Cttee,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,23/07/2024,VI-118376,745.00,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,23/07/2024,VI-118378,"13,585.00",Capital,Baymans CRM Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,23/07/2024,VI-118382,"2,375.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,12/07/2024,VI-117556,"2,926.88",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,31/07/2024,VI-119247,"10,844.42",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,31/07/2024,VI-119239,"4,155.00",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,31/07/2024,VI-119242,"2,993.90",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,31/07/2024,VI-119245,"2,045.10",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,31/07/2024,VI-119340,"3,175.52",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/07/2024,VI-117810,"5,000.00",Revenue,Bealings Village Hall Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,16/07/2024,VI-117907,"5,000.00",Revenue,Beccles Lido Ltd. Beccles Public Hall,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,30/07/2024,VI-118906,"2,270.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,30/07/2024,VI-119045,"4,510.00",Revenue,Beccles Town Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Hospitality,10/07/2024,VI-117509,271.70,Revenue,Beccles Fish and Chips,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,03/07/2024,VI-116872,"1,408.88",Capital,Binder Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,30/07/2024,VI-117267,"2,682.00",Capital,BDB Pitmans LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,09/07/2024,VI-117425,303.50,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,23/07/2024,VI-118090,375.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,30/07/2024,VI-118092,"1,525.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Grants & Contributions,26/07/2024,VI-118732,"2,827.20",Revenue,Blackheath Farms Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,02/07/2024,VI-116938,"1,650.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,16/07/2024,VI-118019,"1,875.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,19/07/2024,VI-118018,"1,960.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Building Services - Responsive Maintenance,30/07/2024,VI-118997,833.00,Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,30/07/2024,VI-118935,"1,922.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Miscellaneous Other Services,31/07/2024,VI-119409,"1,575.00",Revenue,Bloomfield Carpets & Vinyls,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,30/07/2024,VI-119062,"1,369.17",Revenue,Bonds Meadow Community Association,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,23/07/2024,VI-118431,"4,485.00",Revenue,Booth Tarmacadem Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,22/07/2024,VI-118849,966.02,Revenue,Bottomline,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Hotel Accommodation,23/07/2024,VI-118491,"4,192.50",Revenue,Bournemouth Convention Bureau Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,05/07/2024,VI-117218,"8,978.16",Revenue,Breckland Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,19/07/2024,VI-118213,"1,000.00",Revenue,Bredfield Village Hall Mgmnt Cttee,,,,,,,,,,,,,,,
