Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,11/12/2024,VI-127507,"2,400.00",Revenue,Abbeycroft Leisure
Community Health,Food and Safety,Employee Expenses,Technical Training,27/12/2024,VI-128022,750.00,Revenue,ABC Food Law Ltd
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,06/12/2024,VI-127027,400.00,Revenue,Abouttime Training
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-125728,"19,600.00",Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-125729,"9,800.00",Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-126814,"2,800.00",Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-125989,"7,508.25",Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-125991,"49,926.00",Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,27/12/2024,VC-003900,-620.94,Revenue,Access Community Trust
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/12/2024,VI-128732,"1,500.00",Revenue,Access Community Trust
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,27/12/2024,VI-128733,"1,100.00",Revenue,Access Community Trust
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,27/12/2024,VI-128734,"1,500.00",Revenue,Access Community Trust
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Responsive Maintenance,17/12/2024,VI-127578,"1,314.00",Revenue,Acesco Business & Property Servcies LLP
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,11/12/2024,VI-126746,360.00,Revenue,Advanced Automated Access Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,18/12/2024,VI-127863,500.00,Revenue,Alderton Parish Council
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Other Office Expenses,17/12/2024,VI-127835,350.00,Revenue,Alexander Green Surveyors Ltd
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,13/12/2024,VI-127564,"2,400.00",Revenue,Allman Woodcock Ltd
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,24/12/2024,VI-128687,900.00,Capital,6 Alpha Associates Ltd
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/12/2024,VI-127034,"10,485.39",Revenue,Amazon (AWS)
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,04/12/2024,VI-127042,"15,220.30",Revenue,Amazon (AWS)
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,10/12/2024,VI-127270,"2,184.66",Revenue,Amazon Payments UK Limited (Business Acc)
The Environment,Waste Management,Supplies and Services,Furniture and Equipment,17/12/2024,VI-127253,"49,223.72",Revenue,M and C Engineering (Newbourne) Ltd
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,11/12/2024,VI-127359,316.96,Revenue,Anglia Electrical & Security Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,10/12/2024,VI-127218,428.58,Revenue,Anglo Scottish Equipment (Southern) Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/12/2024,VI-126856,"10,259.90",Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,06/12/2024,VI-127094,408.00,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,13/12/2024,VI-127478,"7,933.36",Revenue,Aran Insulation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/12/2024,VI-127651,"32,353.63",Capital,Aran Insulation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/12/2024,VI-127652,"3,591.16",Capital,Aran Insulation Ltd
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,10/12/2024,VI-127696,503.00,Revenue,Architectural Fibreglass Mouldings Ltd
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Consultants,13/12/2024,VI-127790,"3,400.00",Revenue,ARC Resolve Ltd
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,06/12/2024,VI-127065,384.84,Revenue,Arena Partnership Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,13/12/2024,VI-127789,"5,577.00",Revenue,Asbestech Ltd
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-125725,544.00,Revenue,Ashfords LLP
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Legal Fees,06/12/2024,VI-127207,959.00,Revenue,Ashfords LLP
Planning and Coastal Management,Building Control,Supplies and Services,Marketing & Promotions,18/12/2024,VI-127732,495.00,Revenue,ASP Promotions Limited
Community Health,Port Health Authority,Employee Expenses,Contract Staff,06/12/2024,VI-127096,715.94,Revenue,A & S Recruitment
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Rents Payable,03/12/2024,VI-125856,"2,407.58",Revenue,Associated British Ports
Leader of the Council,Democratic Services,Employee Expenses,Officer Professional Subscriptions,06/12/2024,VI-125880,280.50,Revenue,Association of Democratic Services Officers Ltd
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Supplies and Services,Consultants,20/12/2024,VI-127932,"4,725.00",Revenue,Audit and Business Services Ltd
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,03/12/2024,VI-126435,855.28,Revenue,AVC Wise Limited
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,18/12/2024,VI-127867,"1,778.00",Revenue,BACT Community Transport
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,20/12/2024,VI-127013,"59,309.30",Capital,Balfour Beatty Civil Engineering Limited
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,20/12/2024,VI-127556,"2,396.24",Revenue,Balfour Beatty Civil Engineering Limited
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,17/12/2024,VI-127805,775.00,Revenue,Bal Kaur Howard (BKH Training)
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,20/12/2024,VI-128001,387.50,Revenue,Bal Kaur Howard (BKH Training)
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,10/12/2024,VC-003777,-300.00,Revenue,Bartec Municipal Technologies Ltd
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,10/12/2024,VI-125207,690.41,Revenue,Bartec Municipal Technologies Ltd
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,10/12/2024,VI-127239,"13,269.73",Revenue,B & B Skip Hire
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,24/12/2024,VI-128343,"2,700.73",Revenue,B & B Skip Hire
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,27/12/2024,VI-128762,625.20,Capital,Binder Ltd
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,18/12/2024,VI-125209,"1,050.00",Capital,BDB Pitmans LLP
Corporate Services,Assets and Property Services,Supplies and Services,Legal Fees,03/12/2024,VI-126354,"3,518.00",Revenue,Birketts LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,13/12/2024,VI-127588,"1,748.00",Revenue,Birketts LLP
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Legal Fees,20/12/2024,VI-126405,"2,727.50",Revenue,Birketts LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,20/12/2024,VI-127975,"7,005.00",Revenue,Birketts LLP
Leader of the Council,Legal,Supplies and Services,Legal Fees,06/12/2024,VI-127010,"5,250.00",Revenue,Blackstone Chambers
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,03/12/2024,VI-126817,850.00,Revenue,Bloomfield Carpets & Vinyls
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,20/12/2024,VI-128221,295.00,Revenue,Bloomfield Carpets & Vinyls
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,20/12/2024,VI-128188,"1,140.00",Revenue,Blythburgh Village Hall
Planning and Coastal Management,Planning,Supplies and Services,Consultants,18/12/2024,VI-127943,"1,640.00",Revenue,BNP Paribas Real Estate Advisory &
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,13/12/2024,VI-126388,"17,171.97",Capital,Boot Construction (East Anglia) Ltd
Corporate Services,ICT,Supplies and Services,Software Maintenance,20/12/2024,VI-127905,"1,018.80",Revenue,Bottomline
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Oil Heating,13/12/2024,VI-126637,355.00,Revenue,P Bowyer Associates Ltd
Financial Resources and Value for Money,Housing Benefits,Third Party Payments,Other Local Authorities Third Party,17/12/2024,VI-127072,"8,978.16",Revenue,Breckland Council
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/12/2024,VI-128613,800.00,Revenue,Bredfield Parish Council
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/12/2024,VI-126298,378.50,Capital,Breydon Flooring Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/12/2024,VI-126300,432.00,Capital,Breydon Flooring Ltd
