Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124234,344.87,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-122971,"1,179.58",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124273,"1,024.93",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124838,"1,059.94",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,08/10/2024,VI-123391,"3,188.76",Revenue,Diamond Mills & Co,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124459,776.50,Revenue,Dialled Cycle Works Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,11/10/2024,VI-123187,"3,175.00",Revenue,Dirt Factory,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,15/10/2024,VI-122642,722.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,29/10/2024,VI-124725,646.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,10/10/2024,VI-123795,750.00,Revenue,Disclosure and Barring Service,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/10/2024,VI-124528,821.00,Revenue,Disability Advice North East Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124745,"1,312.50",Revenue,Disability Advice North East Suffolk,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Supplies and Services,Health and Safety,15/10/2024,VI-124072,260.00,Revenue,DMA Health & Safety Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,01/10/2024,VI-120792,"4,467.75",Revenue,DocuSign International (EMEA) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/10/2024,VI-122914,350.00,Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,16/10/2024,VI-124190,"4,710.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Paths & Hardstanding,04/10/2024,VI-122868,"3,693.33",Revenue,Drives 4 U Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,08/10/2024,VI-122450,420.90,Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Responsive Maintenance,25/10/2024,VI-122553,"1,023.48",Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,29/10/2024,VI-124595,"2,457.20",Revenue,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,23/10/2024,VI-124448,"1,800.00",Revenue,East of England Co-operative Society,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Technical Training,15/10/2024,VI-122772,727.00,Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Corporate Subscriptions,25/10/2024,VI-124635,"1,500.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Other Ext Provided Services,15/10/2024,VI-122995,"5,840.00",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,15/10/2024,VI-123095,"61,504.54",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,23/10/2024,VI-124446,552.00,Revenue,Easton & Letheringham Village Hall,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,02/10/2024,VI-123080,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,29/10/2024,VI-124701,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/10/2024,VI-121973,"19,450.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,01/10/2024,VI-121974,"19,395.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/10/2024,VI-122881,"17,285.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/10/2024,VI-122883,"17,690.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,09/10/2024,VI-123308,"17,395.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/10/2024,VI-123065,"16,935.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/10/2024,VI-123381,"17,095.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,15/10/2024,VI-124061,"15,210.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,30/10/2024,VI-124755,"13,990.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,01/10/2024,VI-117225,870.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,01/10/2024,VI-122804,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Energy and Climate Change,The Green Agenda,Supplies and Services,General Purchases,01/10/2024,VI-123009,"1,975.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,04/10/2024,VI-123137,500.49,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,04/10/2024,VI-123138,589.32,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,04/10/2024,VI-123139,884.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,08/10/2024,VI-123464,494.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,08/10/2024,VI-123538,272.36,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Refuse Collection,09/10/2024,VI-123638,"19,664.46",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,09/10/2024,VI-123665,"1,486.88",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Refuse Collection,11/10/2024,VI-123653,"2,093.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,11/10/2024,VI-123786,"2,559.72",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,11/10/2024,VI-123790,"2,668.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,11/10/2024,VI-123973,715.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,11/10/2024,VI-123974,"3,016.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,11/10/2024,VI-123975,747.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,11/10/2024,VI-123976,"2,548.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,11/10/2024,VI-123977,"1,183.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Other Cleaning Services,15/10/2024,VI-123966,388.59,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Industrial Estates,Premises Expenses,Grounds Maintenance - Contract,16/10/2024,VI-123303,"1,983.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Holding Account - Cash Out,Capital Expenditure,18/10/2024,VI-117233,810.15,Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Third Party Payments,Other Local Authorities Third Party,22/10/2024,VI-124442,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Grounds Maintenance - Other,25/10/2024,VI-124593,404.78,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,30/10/2024,VI-124821,"12,955.15",Capital,East Rising Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,08/10/2024,VI-123411,"11,740.40",Revenue,Eclipse Sound & Light Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,01/10/2024,VI-122917,761.16,Revenue,EE Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/10/2024,VI-124817,760.53,Revenue,EE Ltd,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,External Printing,15/10/2024,VI-123949,892.50,Revenue,Civica Election Services,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Postages,25/10/2024,VI-124488,"2,632.08",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Postages,29/10/2024,VI-124489,"4,311.90",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Other Office Expenses,09/10/2024,VI-123618,426.00,Revenue,Elmstok Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,10/10/2024,VI-123621,498.00,Revenue,Elmstok Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,11/10/2024,VI-123933,"1,770.00",Revenue,Emmaus Suffolk,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,09/10/2024,VI-123719,"2,150.00",Capital,Enable Access Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124835,"4,159.50",Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,25/10/2024,VI-124307,383.36,Revenue,Envirovent Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,10/10/2024,VI-123310,450.00,Capital,E.Org Utilities,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Legionella,11/10/2024,VI-123681,984.00,Revenue,ESPO,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Software Purchases,11/10/2024,VI-123906,"1,397.26",Revenue,Esri UK Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,25/10/2024,VI-124481,"1,200.00",Revenue,Essex Chambers of Commerce & Industry Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,28/10/2024,VI-124244,"3,247.49",Revenue,EVAD Think Unfied Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-123282,932.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-123281,495.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Planned Maintenance,16/10/2024,VI-122923,"4,125.00",Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,25/10/2024,VI-124183,819.00,Revenue,Exemplifire Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,29/10/2024,VI-124679,"29,282.00",Revenue,Eyke & Rendlesham Village Hall Committee,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123194,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123195,328.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123197,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123198,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123201,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Marketing & Promotions,10/10/2024,VI-123203,700.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Recruitment Advertising,10/10/2024,VI-123778,300.00,Revenue,Meta Platforms Ireland,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,02/10/2024,VI-123093,"5,375.00",Revenue,Famn Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/10/2024,VI-122911,"1,480.00",Revenue,Felgains Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124360,"140,900.99",Revenue,Felixstowe Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,04/10/2024,VI-122908,"4,695.54",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-123834,"5,000.00",Revenue,Felixstowe BID Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,08/10/2024,VI-123397,500.00,Revenue,Felixstowe Bowls and Social Club,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,08/10/2024,VI-123434,"10,929.60",Revenue,FERA,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,08/10/2024,VI-123460,"3,477.60",Revenue,FERA,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,29/10/2024,VI-124655,"8,244.00",Revenue,FERA,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,29/10/2024,VI-124673,496.80,Revenue,FERA,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,11/10/2024,VI-123656,"12,630.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Supplies and Services,Other Ext Provided Services,11/10/2024,VI-123655,"10,300.00",Revenue,First Light Festival C.I.C.,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Legal Fees,10/10/2024,VI-124117,"6,000.00",Revenue,First Dispute Management,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,15/10/2024,VI-124044,672.00,Revenue,Fisher Scientific UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,18/10/2024,VI-124276,"3,800.00",Revenue,Fisher Theatre,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,02/10/2024,VI-123092,546.58,Revenue,Flagship Housing Group Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,18/10/2024,VI-124233,"1,000.00",Revenue,Flipside,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,11/10/2024,VI-123892,"7,000.00",Revenue,Fluid (EM) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,23/10/2024,VI-124314,"35,000.00",Revenue,Forgaard Agency Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124361,"7,489.54",Revenue,Framlingham Town Council,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,04/10/2024,VI-123083,"7,009.68",Revenue,H Fraser Consulting Ltd,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Supplies and Services,Consultants,08/10/2024,VI-123463,659.00,Revenue,H Fraser Consulting Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Other Financial Transactions,Holding Account - Cash Out,Payments,30/10/2024,VI-124763,500.00,Revenue,Frances Fleming,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124362,475.73,Revenue,Frostenden Uggeshall & Sth Cove P C,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Employee Expenses,Contract Staff,29/10/2024,VI-124723,"1,040.00",Revenue,G2 Recruitment Solutions a division of G2V Recruit,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Financial Services,Supplies and Services,Other Ext Provided Services,25/10/2024,VI-123687,484.93,Revenue,G4S Cash Services (UK) Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,15/10/2024,VI-124247,"61,383.70",Capital,Gasway Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,15/10/2024,VI-124248,"47,430.26",Revenue,Gasway Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,01/10/2024,VI-122912,287.50,Revenue,GDC Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Responsive Maintenance,08/10/2024,VI-123107,975.00,Revenue,GDC Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122906,"1,150.00",Capital,Gipping Construction Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,01/10/2024,VI-122905,300.00,Capital,Gipping Construction Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,01/10/2024,VI-122499,"1,848.83",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,22/10/2024,VI-124243,"1,848.33",Revenue,GoCardless Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/10/2024,VI-122897,"2,666.05",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,01/10/2024,VI-122907,"6,152.98",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124194,"12,222.43",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/10/2024,VI-124271,"6,082.92",Revenue,Gould Adaptations Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Employee Expenses,Qualification Training,10/10/2024,VI-123274,336.00,Revenue,GOV UK,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,22/10/2024,VI-124178,"2,472.10",Revenue,GP Planning Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/10/2024,VI-124309,"1,349.70",Revenue,Graham,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Other Financial Transactions,Supplies and Services,Audit Fees,25/10/2024,VI-124540,"6,500.00",Revenue,Grant Thornton UK LLP,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Transport Expenses,Rail Travel,10/10/2024,VI-123144,961.00,Revenue,Greater Anglia,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,02/10/2024,VI-123073,266.40,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/10/2024,VI-123721,"4,550.00",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/10/2024,VI-123724,"7,483.04",Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,30/10/2024,VI-124773,336.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,30/10/2024,VI-124777,384.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,30/10/2024,VI-124778,312.00,Revenue,Greenfuture Solutions,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Basic Pay,04/10/2024,VI-123202,"3,350.00",Revenue,Greenacre Recruitment Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Holding Account - Cash Out,Capital Expenditure,08/10/2024,VI-123533,"1,702.75",Capital,Greyfriars Project Management,,,,,,,,,,,,,,,
Community Health,Community Safety,Supplies and Services,Consultants,08/10/2024,VI-123625,595.00,Revenue,Green & Burton ASB Associates,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,16/10/2024,VI-124164,"54,149.14",Revenue,Groundwork East,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,CIL REFCUS,15/10/2024,VI-124073,"49,313.34",Revenue,Grove Medical Centre,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Supplies and Services,Consultants,04/10/2024,VI-123168,"1,125.00",Revenue,Group 19 Architecture and Urban Design Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124363,"68,893.87",Revenue,Grundisburgh & Culpho PC,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Supplies and Services,Consultants,18/10/2024,VI-123164,510.00,Revenue,Hags SMP Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,01/10/2024,VI-122940,912.68,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,01/10/2024,VI-122945,638.18,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,01/10/2024,VI-122947,"1,779.88",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,01/10/2024,VI-122977,"2,409.78",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Employee Expenses,Contract Staff,01/10/2024,VI-122978,591.84,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/10/2024,VI-121983,958.80,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/10/2024,VI-122348,"1,146.08",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,04/10/2024,VI-122624,"1,146.08",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/10/2024,VI-122944,780.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Procurement,Employee Expenses,Contract Staff,08/10/2024,VI-123468,898.73,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Contract Staff,08/10/2024,VI-123471,"1,319.56",Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,08/10/2024,VI-123473,642.25,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Employee Expenses,Contract Staff,08/10/2024,VI-123474,544.33,Revenue,Hales Group Limited,,,,,,,,,,,,,,,
