Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,04/10/2024,VI-123325,428.58,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/10/2024,VI-124494,"32,610.50",Revenue,Applied Ecology Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VC-003708,"-1,464.00",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VI-123126,"19,220.49",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VC-003772,"-1,866.05",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VI-123128,"21,173.65",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VC-003774,"-9,211.09",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/10/2024,VC-003773,"-5,065.83",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,08/10/2024,VI-123127,"22,160.54",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Refuse Collection,25/10/2024,VI-124439,503.00,Revenue,Architectural Fibreglass Mouldings Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Consultants,11/10/2024,VI-123861,"3,200.00",Revenue,ARC Resolve Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,04/10/2024,VI-123176,385.00,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,25/10/2024,VI-124456,672.00,Revenue,The Art Station,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,15/10/2024,VI-124028,"3,709.00",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/10/2024,VI-124092,600.00,Revenue,Ashby Herringfleet & Somerleyton P C,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,15/10/2024,VI-118477,"1,241.31",Revenue,Ashfords LLP,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Marketing & Promotions,02/10/2024,VI-122759,"2,125.00",Revenue,ASP Promotions Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Responsive Maintenance,02/10/2024,VI-122509,404.94,Revenue,Aspire Construction & Property Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Responsive Maintenance,11/10/2024,VI-122042,312.82,Revenue,Aspire Construction & Property Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,04/10/2024,VI-123328,434.50,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,11/10/2024,VI-122909,592.50,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,11/10/2024,VI-123884,582.63,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,18/10/2024,VI-124279,483.88,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,18/10/2024,VI-124215,"813,804.00",Revenue,Associated British Ports,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,25/10/2024,VI-124214,"813,804.00",Revenue,Associated British Ports,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Employee Expenses,Officer Professional Subscriptions,15/10/2024,VI-123992,332.50,Revenue,Association of Electoral Administrators,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/10/2024,VI-123744,262.57,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,10/10/2024,VI-123745,274.95,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Technical Training,18/10/2024,VI-123371,"6,525.00",Revenue,Avado PQ Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,25/10/2024,VI-124496,"3,898.00",Revenue,Avison Young (UK) Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Software Purchases,08/10/2024,VI-123531,"4,200.00",Revenue,Avoy Technologies Ltd t/a Snap Sea,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,18/10/2024,VI-124127,"11,220.00",Revenue,Azets Audit Services,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,25/10/2024,VC-003785,-818.70,Revenue,Babergh District Council,,,,,,,,,,,,,,,
Economic Development and Transport,Rights of Way,Supplies and Services,Consultants,25/10/2024,VI-123803,818.70,Revenue,Babergh District Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,25/10/2024,VI-124629,750.00,Revenue,Babergh District Council,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,15/10/2024,VI-123157,"4,324.78",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,15/10/2024,VI-123385,"136,124.63",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Employee Expenses,Technical Training,30/10/2024,VI-124500,760.00,Revenue,Bal Kaur Howard (BKH Training),,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,02/10/2024,VI-122979,"1,619.60",Revenue,Gordon Barber,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,15/10/2024,VI-124141,500.00,Revenue,Barnby Parish Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,25/10/2024,VI-124355,360.56,Revenue,Barnby Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,10/10/2024,VI-123181,780.00,Revenue,Barenbrug,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/10/2024,VI-124795,424.75,Revenue,Barge Preservation Community Project,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,04/10/2024,VI-122521,"2,187.20",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Parks and Gardens,Premises Expenses,Building Services - Responsive Maintenance,08/10/2024,VI-122522,429.60,Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,15/10/2024,VI-124103,"1,569.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,15/10/2024,VI-124102,"2,870.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,15/10/2024,VI-124101,"3,350.00",Revenue,Baymans CRM Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,04/10/2024,VI-123231,"7,902.72",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Refuse Collection,15/10/2024,VI-123869,"1,738.61",Revenue,B & B Skip Hire,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Rents Payable,11/10/2024,VI-122429,"3,800.00",Revenue,Beccles Fenland Charity Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/10/2024,VI-123012,"1,995.00",Revenue,Beccles Lido Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/10/2024,VI-124530,"2,000.00",Revenue,Beccles Community Hub,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/10/2024,VI-124839,"6,291.31",Revenue,Matt Bedding Plumbing and Heating,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,04/10/2024,VI-123010,512.00,Capital,Binder Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Supplies and Services,Legal Fees,09/10/2024,VI-122786,290.00,Revenue,Birketts LLP,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Legal Fees,09/10/2024,VI-122787,"4,614.00",Revenue,Birketts LLP,,,,,,,,,,,,,,,
