Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,20/08/2024,VI-120282,500.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,23/08/2024,VI-120557,250.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,09/08/2024,VI-119506,"4,307.57",Revenue,Transport UK East Anglia Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,07/08/2024,VI-118972,620.94,Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-118222,"2,800.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,09/08/2024,VI-118687,"2,000.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Excluded,Bank Accounts,Current Liabilities,Creditors - Unallocated,20/08/2024,VI-120641,250.04,Revenue,Access Community Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Equipment Hire,21/08/2024,VI-120769,900.00,Revenue,Access Community Trust,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Employee Expenses,Other Direct Salary Costs,13/08/2024,VI-119989,"5,860.00",Revenue,Access UK Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Corporate Subscriptions,09/08/2024,VI-119659,297.00,Revenue,ACCA Civic,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,13/08/2024,VI-120204,"1,340.00",Revenue,AECOM Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,06/08/2024,VI-119467,"6,707.45",Revenue,A J Builders (Suffolk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,09/08/2024,VI-119911,"8,824.75",Revenue,A J Builders (Suffolk) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,23/08/2024,VI-120670,"16,756.53",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,30/08/2024,VI-121152,"3,687.78",Revenue,D D Alger and Partners,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,20/08/2024,VI-120630,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
