Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Consultants,07/03/2025,VI-132741,500.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,12/03/2025,VI-133382,325.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,14/03/2025,VI-133256,"8,000.00",Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,"HRA Drainage, Pumping Stat etc",25/03/2025,VI-134228,825.00,Revenue,Canham Consulting Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,21/03/2025,VI-134037,318.42,Revenue,Access Paysuite Ltd - 360,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132386,"1,471.62",Revenue,Carlton Colville Town Council,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,11/03/2025,VI-133260,"1,803.50",Revenue,Carr Road Distribution Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,12/03/2025,VI-133343,"4,718.24",Revenue,2nd Carlton Colville Scout Group,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,07/03/2025,VI-132820,"1,511.72",Revenue,Car Hire (Day of Swansea) Ltd T/A Day's Rental,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,12/03/2025,VI-133461,"2,127.50",Revenue,Carrington West,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,19/03/2025,VI-133912,920.00,Revenue,Carrington West,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Employee Expenses,Contract Staff,19/03/2025,VI-133911,"2,127.50",Revenue,Carrington West,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132382,"1,250.00",Revenue,Carlton Colville Primary School,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-132529,871.60,Capital,CCS Media Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,07/03/2025,VI-132663,430.76,Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Hardware Purchases,11/03/2025,VI-132697,435.80,Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,11/03/2025,VI-132698,497.30,Capital,CCS Media Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,14/03/2025,VI-133424,307.20,Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Hardware Purchases,18/03/2025,VI-133819,307.20,Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,26/03/2025,VI-134314,560.50,Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,28/03/2025,VI-134428,"1,209.61",Revenue,CCS Media Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Officer Professional Subscriptions,21/03/2025,VI-133809,263.00,Revenue,Chartered Institute of Environmental Health,,,,,,,,,,,,,,,,,,
Community Health,Food and Safety,Supplies and Services,Corporate Subscriptions,24/03/2025,VC-004112,-258.00,Revenue,Chartered Institute of Environmental Health,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,12/03/2025,VI-133003,263.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Technical Training,19/03/2025,VI-133686,665.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Employee Expenses,Officer Professional Subscriptions,26/03/2025,VI-129606,270.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Qualification Training,04/03/2025,VI-132478,"1,970.00",Revenue,Chartered Institute of Internal Auditors,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Technical Training,14/03/2025,VI-132339,"1,970.00",Revenue,Chartered Institute of Internal Auditors,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Officer Professional Subscriptions,14/03/2025,VI-132477,391.00,Revenue,Chartered Institute of Internal Auditors,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,05/03/2025,VI-132659,"6,125.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132814,"5,075.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132816,"13,500.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-132813,"10,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,25/03/2025,VC-004044,"-2,500.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,25/03/2025,VI-131300,"2,500.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Holding Account - Cash Out,Capital Expenditure,25/03/2025,VI-131367,"2,370.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,25/03/2025,VI-134133,420.00,Revenue,Chediston Linstead Parva & Magna Parish Council,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,12/03/2025,VI-133397,"1,200.00",Revenue,Choose Woodbridge CIC,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,28/03/2025,VI-134495,570.20,Revenue,Chronologic Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,07/03/2025,VI-132868,387.00,Revenue,CILEx Law School,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132691,"19,871.80",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132812,"3,365.16",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,07/03/2025,VI-132887,"8,709.63",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,14/03/2025,VI-133700,"20,266.61",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,25/03/2025,VI-134231,"5,134.75",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,11/03/2025,VI-131894,"1,551.17",Revenue,Claranet Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,14/03/2025,VI-133482,"1,572.74",Revenue,Cleveland Joinery,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,07/03/2025,VI-132674,"2,250.00",Capital,Clear Consulting and Design Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration Towns Fund,Supplies and Services,Legal Fees,28/03/2025,VI-134378,425.00,Revenue,Clear Insurance Management Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,28/03/2025,VI-134487,"2,100.00",Revenue,Clopton Parish Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,28/03/2025,VC-004111,-876.65,Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134379,"6,978.08",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-132847,446.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133544,"3,916.75",Revenue,Park Now Limited,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Employee Expenses,Technical Training,04/03/2025,VI-132017,"1,600.00",Revenue,Code Enigma Limited,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,25/03/2025,VI-132745,300.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,28/03/2025,VI-133490,280.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Rents Payable,19/03/2025,VI-133529,"1,125.00",Revenue,Colliers International-Common Clients,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,18/03/2025,VI-133673,"5,680.00",Revenue,Columbus Plumbing and Heating Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,28/03/2025,VI-134237,"9,700.00",Revenue,Columbus Plumbing and Heating Services Ltd,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-132676,264.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134256,"1,152.50",Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Premises Expenses,Rents Payable,11/03/2025,VI-133227,380.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,19/03/2025,VI-134004,"5,176.67",Revenue,Community Action Suffolk,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Employee Expenses,HR Corporate Training,04/03/2025,VI-132490,"1,295.00",Revenue,Community Safety Professionals Training,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Employee Expenses,HR Corporate Training,04/03/2025,VI-132489,"1,295.00",Revenue,Community Safety Professionals Training,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Supplies and Services,Conference Fees,28/03/2025,VI-134446,300.00,Revenue,Combat2Coffee CIC,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,04/03/2025,VI-132385,"3,250.00",Revenue,Communities Together East Anglia,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,07/03/2025,VI-132647,"1,035.00",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,18/03/2025,VI-133732,690.00,Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,25/03/2025,VI-133808,"1,265.00",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,28/03/2025,VI-134412,920.00,Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Legal,Supplies and Services,Legal Fees,14/03/2025,VI-133542,675.00,Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,17/03/2025,VI-121059,"9,939.75",Revenue,CF Corporate Finance Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,04/03/2025,VI-132152,"5,890.00",Revenue,Corgi Technical Services Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,07/03/2025,VI-132897,"2,000.80",Revenue,Corgi Technical Services Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Gas Heating,14/03/2025,VI-133257,"2,050.82",Revenue,Corgi Technical Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Supplies and Services,Advertising,04/03/2025,VI-132325,410.00,Revenue,Corrus Limited t/a Kremer Signs,,,,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,11/03/2025,VI-132107,500.00,Revenue,Cotswold Archaeology Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,18/03/2025,VI-132108,"5,100.00",Revenue,Cotswold Archaeology Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Premises Expenses,Building Services - Planned Maintenance,18/03/2025,VI-132109,650.00,Revenue,Cotswold Archaeology Ltd,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,21/03/2025,VI-133884,"1,291.13",Revenue,CPRAS,,,,,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Bank Fees,21/03/2025,VI-134035,"1,235.29",Revenue,CPRAS,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,07/03/2025,VI-131732,270.00,Revenue,Create Consulting Engineers Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,04/03/2025,VI-131935,"15,870.00",Revenue,Creative Patient Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,28/03/2025,VI-134480,565.00,Revenue,Crisp Design Services Ltd (T/A Crisp Photography,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,External Printing,07/03/2025,VI-132531,"1,221.66",Revenue,Cross Media Print and Digital,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Rents Payable,04/03/2025,VI-132497,409.42,Revenue,Crown Estate,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Outdoor Leisure,Premises Expenses,Rents Payable,04/03/2025,VI-129767,"1,625.60",Revenue,Crown Estate,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,18/03/2025,VI-133722,"6,770.76",Revenue,Crown Paints Ltd,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,07/03/2025,VI-132651,924.75,Revenue,Crystolutions Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,04/03/2025,VI-131925,"2,068.00",Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133446,"13,200.00",Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133474,"13,420.00",Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Other Financial Transactions,Current Liabilities,Creditors - Other,17/03/2025,VI-133995,"3,430.00",Revenue,Department for Business & Trade,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/03/2025,VI-134012,"5,635.23",Revenue,S W Dewell,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/03/2025,VI-133997,"1,943.03",Revenue,S W Dewell,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,26/03/2025,VI-134326,"1,506.00",Capital,S W Dewell,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/03/2025,VI-132658,"1,456.20",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133319,976.14,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133320,"1,205.47",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133321,"2,329.64",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-132944,"1,361.33",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133336,423.00,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133337,601.44,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133338,845.17,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,18/03/2025,VI-133814,344.88,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/03/2025,VI-134330,"1,724.99",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/03/2025,VI-134331,"1,216.20",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/03/2025,VI-134342,"1,143.76",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133659,841.50,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,12/03/2025,VI-132831,765.00,Revenue,DMD Installations Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Employee Expenses,Technical Training,28/03/2025,VI-134471,"3,840.00",Revenue,DMD Installations Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,18/03/2025,VI-133833,"3,860.41",Revenue,Dogsbody Group Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/03/2025,VI-132655,"2,950.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,05/03/2025,VI-132654,"3,489.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133323,"5,555.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133326,"5,176.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/03/2025,VI-134151,"4,933.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,25/03/2025,VI-134167,"5,838.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Marketing & Promotions,25/03/2025,VI-134247,"5,760.00",Revenue,Drab Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,05/03/2025,VI-132239,"1,502.40",Revenue,DSV Road Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,25/03/2025,VI-133882,"1,502.40",Revenue,DSV Road Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Consultants,05/03/2025,VI-132287,325.00,Revenue,Duncan & Son (Southwold) Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Software Maintenance,04/03/2025,VI-131871,794.41,Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Consultants,04/03/2025,VI-131525,720.00,Revenue,Dynamics Consultants Ltd,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-134546,"5,050.00",Capital,Dennis Eagle Ltd,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Minor Improvements,19/03/2025,VI-133675,520.67,Revenue,East Anglian Road Markings,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,05/03/2025,VI-132588,"10,000.00",Revenue,East Coast College,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,11/03/2025,VI-132587,"5,000.00",Revenue,East Coast College,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,21/03/2025,VI-134093,"3,000.00",Revenue,East Coast College,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Corporate Subscriptions,05/03/2025,VI-132589,460.00,Revenue,East of England Energy Group,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,21/03/2025,VI-134054,"5,700.00",Revenue,East of England Energy Group,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Third Party Payments,Other Local Authorities Third Party,05/03/2025,VI-129866,250.00,Revenue,East of England Trading Standards Association Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Premises Expenses,Building Services - Planned Maintenance,26/03/2025,VI-132722,"46,786.64",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Miscellaneous Other Services,28/03/2025,VI-134154,"5,311.40",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Miscellaneous Other Services,28/03/2025,VI-134155,"3,359.60",Revenue,East Suffolk Water Management Board,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,12/03/2025,VI-133406,250.00,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134251,485.00,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134229,632.50,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134235,422.42,Revenue,East Suffolk Properties Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-132824,"18,976.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Premises Expenses,Rents Payable,25/03/2025,VI-134056,"19,075.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Concessions,Premises Expenses,Building Services - Responsive Maintenance,05/03/2025,VI-126780,"1,597.80",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
The Environment,Waste Management,Supplies and Services,General Purchases,07/03/2025,VI-132660,"1,272.48",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services  VOID Maintenance,07/03/2025,VI-132790,360.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,07/03/2025,VI-132797,"1,267.88",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,07/03/2025,VI-132799,417.60,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,07/03/2025,VI-132801,417.60,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Welfare Adaptations,07/03/2025,VI-132805,393.61,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Contract Cleaning,11/03/2025,VI-132395,"1,431.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,14/03/2025,VI-133693,520.00,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133536,"16,203.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,,,,
