Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,14/03/2025,VI-133530,562.00,Capital,Anglian Water Services Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,19/03/2025,VI-133679,"50,541.00",Capital,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,19/03/2025,VI-133713,400.00,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-134385,"53,918.00",Capital,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,14/03/2025,VI-133519,"1,000.00",Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,14/03/2025,VI-133520,600.00,Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,14/03/2025,VI-133521,500.00,Revenue,A P C Pest Control Ltd,,,,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,12/03/2025,VI-132883,465.00,Revenue,APHA,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Consultants,11/03/2025,VI-130752,"21,720.00",Revenue,Applied Ecology Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,04/03/2025,VI-132552,"8,000.00",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/03/2025,VI-133729,"8,000.00",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133752,"24,975.16",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,18/03/2025,VI-133753,"12,596.75",Capital,Aran Insulation Ltd,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Supplies and Services,Consultants,19/03/2025,VI-133925,800.00,Revenue,ARC Resolve Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,12/03/2025,VI-133012,305.50,Revenue,Argos Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,07/03/2025,VI-132769,"4,660.00",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Asbestos,25/03/2025,VI-134096,"2,963.50",Revenue,Asbestech Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,11/03/2025,VI-133324,"7,175.41",Revenue,Aspire Adaptations Ltd,,,,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,Grants & Contributions,04/03/2025,VI-132556,"5,000.00",Revenue,Aspire Educational Mentoring CIC,,,,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,28/03/2025,VI-133364,"14,750.00",Revenue,Astech Consultants Limited,,,,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,12/03/2025,VI-133043,342.57,Revenue,Atlassian Pty,,,,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,14/03/2025,VI-133545,750.00,Revenue,The Audience Agency,,,,,,,,,,,,,,,,,,
Leader of the Council,Electoral Services,Premises Expenses,Rents Payable,07/03/2025,VI-132834,250.00,Revenue,Avenue Evangelical Church,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,25/03/2025,VI-134108,850.00,Revenue,Awareness Matters Ltd,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,05/03/2025,VI-131580,"9,648.26",Revenue,Babergh District Council,,,,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Contract Staff,07/03/2025,VI-131579,"21,653.18",Revenue,Babergh District Council,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Other Ext Provided Services,28/03/2025,VI-134394,"1,606.50",Revenue,BACT Community Transport,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,04/03/2025,VI-132458,"1,035.00",Revenue,Bailey International Steeplejack Co Ltd,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,25/03/2025,VI-133953,"26,846.75",Revenue,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Holding Account - Cash Out,Capital Expenditure,28/03/2025,VI-133376,"157,269.36",Capital,Balfour Beatty Civil Engineering Limited,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Grounds Maintenance - Other,12/03/2025,VI-132833,300.00,Revenue,Barenbrug,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Hardware Purchases,28/03/2025,VI-133500,915.30,Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Recharge Accounts,Supplies and Services,Hardware Purchases,28/03/2025,VI-133506,930.00,Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Software Maintenance,28/03/2025,VI-133543,475.00,Revenue,Bartec Municipal Technologies Ltd,,,,,,,,,,,,,,,,,,
