Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Furniture and Equipment,16/04/2024,VI-112034,"46,088.00",Revenue,A10 Auto Centre Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Technical Training,16/04/2024,VI-112042,250.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,05/04/2024,VI-110397,400.00,Revenue,Abouttime Training,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,05/04/2024,VI-110965,400.00,Revenue,Abouttime Training,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,09/04/2024,VC-003344,-325.00,Revenue,ACAS,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,01/04/2024,VI-111396,295.00,Revenue,ACAS,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,02/04/2024,VI-108786,"32,260.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,02/04/2024,VI-108788,"49,926.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,ICT Equipment Hire,02/04/2024,VI-110408,750.00,Revenue,Access Community Trust,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,05/04/2024,VI-110701,"1,500.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,09/04/2024,VI-108688,"28,890.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,10/04/2024,VI-111626,"22,752.75",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111490,"2,800.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,12/04/2024,VI-111627,"4,500.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/04/2024,VI-112860,"2,390.00",Revenue,Access & Automation Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,09/04/2024,VI-111455,"3,368.00",Revenue,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,09/04/2024,VI-111454,"4,491.00",Revenue,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Machine Repair & Maintenance,05/04/2024,VI-110787,485.00,Revenue,Acoustics Noise & Vibration Ltd [ANV Measurement],,,,,,,,,,,,,,,
"Communities, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/04/2024,VI-111683,"4,123.39",Revenue,Alde Valley Academy,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,02/04/2024,VI-110919,"14,370.00",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112081,"1,436.28",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112394,"112,500.00",Revenue,Aldeburgh Town Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112395,"7,350.00",Revenue,Alderton Parish Council,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,30/04/2024,VI-112396,"9,000.00",Revenue,Aldringham-cum-Thorpe PC,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Current Liabilities,Creditors - Other,17/04/2024,VI-112082,"1,111.07",Revenue,Aldringham-Cum-Thorpe Parish Council,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-107824,400.00,Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,09/04/2024,VI-109928,250.00,Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,19/04/2024,VI-112188,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,19/04/2024,VI-112280,"1,000.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
