Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,04/06/2024,VI-115380,743.00,Revenue,Abbeycroft Leisure,,,,,,,,,,,,,,,
Community Health,Food and Safety,Employee Expenses,Technical Training,14/06/2024,VI-116309,250.00,Revenue,ABC Food Law Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,26/06/2024,VI-116684,"2,890.00",Revenue,Access & Automation Ltd,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,07/06/2024,VI-115612,"35,796.00",Capital,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Furniture and Equipment,19/06/2024,VI-116430,"1,900.00",Revenue,JA Allen Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116261,600.00,Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116419,"2,200.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,05/06/2024,VI-114779,897.00,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,02/06/2024,VI-115591,"15,791.41",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/06/2024,VI-115589,"10,068.00",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,04/06/2024,VI-116984,"15,791.41",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Leader of the Council,Corporate and Democratic Management,Supplies and Services,General Purchases,07/06/2024,VI-115131,288.74,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,07/06/2024,VI-115509,257.50,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Community Safety,Supplies and Services,Miscellaneous Other Services,11/06/2024,VI-115394,316.25,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,25/06/2024,VI-116591,274.12,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,25/06/2024,VI-116603,297.77,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Building Services - Planned Maintenance,18/06/2024,VI-116433,571.82,Revenue,M and C Engineering (Newbourne) Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,05/06/2024,VI-115479,"1,005.00",Revenue,Anglia Care Trust,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,14/06/2024,VI-115916,455.84,Revenue,Anglia Electrical & Security Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Surveyor Fees,04/06/2024,VI-114189,"2,750.00",Revenue,Anglia Land Surveys Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,04/06/2024,VI-115229,467.00,Capital,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Premises Expenses,Building Services - Responsive Maintenance,11/06/2024,VI-115961,468.00,Revenue,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,04/06/2024,VI-115156,400.00,Revenue,Anglia Telephones Ltd T/A Anglia Technology,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,05/06/2024,VI-115357,750.00,Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/06/2024,VI-116254,"17,910.05",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/06/2024,VI-116302,"15,247.97",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/06/2024,VI-116303,"7,069.56",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/06/2024,VI-116346,"8,226.33",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,18/06/2024,VI-116380,"14,962.50",Revenue,Aran Insulation Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,11/06/2024,VI-115864,399.80,Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Supervision and Management,Supplies and Services,Software Maintenance,21/06/2024,VI-116379,"3,835.00",Revenue,Arena Partnership Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Other Ext Provided Services,04/06/2024,VI-115228,"2,150.00",Revenue,Arlingclose Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,18/06/2024,VI-116406,"2,240.00",Capital,Ashley Grant Consultancy,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Beach,Holding Account - Cash Out,Capital Expenditure,28/06/2024,VI-116584,"9,063.20",Capital,Aspire Construction & Property Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,04/06/2024,VI-115220,"1,040.75",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,07/06/2024,VI-115631,"1,039.88",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,18/06/2024,VI-116274,"1,133.75",Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,25/06/2024,VI-116594,689.58,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Employee Expenses,Contract Staff,28/06/2024,VI-116775,660.45,Revenue,A & S Recruitment,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,28/06/2024,VI-116670,"1,320.00",Revenue,The Association for renewable energy & clean Techn,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,14/06/2024,VI-116246,769.80,Revenue,ASSET Education,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,18/06/2024,VI-114335,"15,000.00",Revenue,Astech Consultants Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,11/06/2024,VI-115323,262.77,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,11/06/2024,VI-115324,268.31,Revenue,Atlassian Pty,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Consultants,28/06/2024,VI-115526,"2,700.00",Revenue,Audit and Business Services Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Other Indirect Employee Expenses,28/06/2024,VI-116698,"1,106.93",Revenue,AVC Wise Limited,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,26/06/2024,VI-116167,250.00,Revenue,Avenue Evangelical Church,,,,,,,,,,,,,,,
