Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,14/05/2024,VI-113826,"2,720.00",Revenue,Catch 22 Suffolk Positive Futures,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,03/05/2024,VI-113084,624.80,Capital,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,03/05/2024,VI-113204,"1,634.63",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Hardware Purchases,10/05/2024,VI-112845,717.10,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Hardware Purchases,14/05/2024,VI-113433,353.75,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,29/05/2024,VI-113434,603.20,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Stationery,29/05/2024,VI-114782,498.20,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Hardware Purchases,29/05/2024,VI-114878,702.00,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Hardware Purchases,29/05/2024,VI-114923,375.03,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Hardware Purchases,29/05/2024,VI-114977,"1,517.87",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Building Control,Supplies and Services,Hardware Purchases,29/05/2024,VI-114978,"4,609.73",Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Hardware Purchases,31/05/2024,VI-114981,256.40,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Planning and Coastal Management,Planning,Supplies and Services,Software Maintenance,31/05/2024,VI-114922,935.37,Revenue,CCS Media Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,10/05/2024,VI-113661,"6,077.50",Revenue,Certero Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Consultants,29/05/2024,VI-113261,"47,250.00",Revenue,Certa Partnership Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,08/05/2024,VI-111314,382.20,Revenue,Chapelfield Veterinary Partnership,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,08/05/2024,VI-111430,610.00,Revenue,Chapelfield Veterinary Partnership,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Analysts/Vets Fees,08/05/2024,VI-112156,576.67,Revenue,Chapelfield Veterinary Partnership,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,24/05/2024,VI-114761,250.00,Revenue,Charsfield Village Hall,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,10/05/2024,VI-113788,280.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,10/05/2024,VI-113789,280.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Technical Training,10/05/2024,VI-113790,280.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Employee Expenses,Officer Professional Subscriptions,10/05/2024,VI-113794,258.00,Revenue,Chartered Institute Environmental Health,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Employee Expenses,Officer Professional Subscriptions,10/05/2024,VI-113394,262.00,Revenue,Chartered Institute of Housing,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,03/05/2024,VI-113356,"7,710.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113407,"80,000.00",Capital,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Architect Fees,08/05/2024,VI-113453,"5,600.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Architect Fees,14/05/2024,VI-113352,"5,180.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Surveyor Fees,14/05/2024,VI-111428,"9,865.00",Revenue,Chaplin Farrant Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114299,"8,745.45",Revenue,Chase Services Group Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,24/05/2024,VI-114687,800.00,Revenue,Chediston Linstead Parva & Magna Parish Council,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/05/2024,VI-113417,485.00,Revenue,Choose Woodbridge CIC,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Premises Expenses,Rents Payable,17/05/2024,VI-114323,375.00,Revenue,Christ Church,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-113162,"5,394.54",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,21/05/2024,VI-114524,"2,232.99",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/05/2024,VI-114530,"7,828.68",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/05/2024,VI-114531,"8,342.49",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/05/2024,VI-114532,"12,962.92",Revenue,City Electrical Factors Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,01/05/2024,VC-003319,"-15,010.32",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,17/05/2024,VI-112060,"3,394.91",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Software Maintenance,17/05/2024,VI-112077,"8,400.00",Revenue,Civica UK Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Conference Fees,03/05/2024,VI-113263,"2,996.00",Revenue,CIWEM Services Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,01/05/2024,VI-112596,"1,505.99",Revenue,Claranet Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,21/05/2024,VI-114406,"1,830.00",Revenue,Clarke and Simpson Chartered Surveyors,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,24/05/2024,VI-114533,"1,140.56",Revenue,Cleveland Joinery,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Maintenance,03/05/2024,VI-112161,"6,700.00",Revenue,Clear Skies Software Limited,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113456,"5,500.00",Capital,Clear Consulting and Design Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/05/2024,VI-114234,340.00,Revenue,Closomat Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,03/05/2024,VI-113234,"8,208.57",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/05/2024,VI-113462,"8,203.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,08/05/2024,VI-113463,"15,972.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,14/05/2024,VI-114090,495.00,Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,General Purchases,15/05/2024,VI-114183,"4,500.00",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,21/05/2024,VI-114370,"6,938.57",Revenue,CMC Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114862,"14,192.14",Revenue,CMC Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,24/05/2024,VI-114645,"7,036.49",Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Marketing & Promotions,24/05/2024,VC-003464,-851.95,Revenue,Coastal Accessible Transport Services Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114332,436.00,Revenue,Park Now Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,15/05/2024,VI-113421,300.00,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,17/05/2024,VI-114324,482.96,Revenue,Code Enigma Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,14/05/2024,VI-112892,"5,300.00",Revenue,Columbus Plumbing and Heating Services Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Building Services - Responsive Maintenance,17/05/2024,VI-114165,310.00,Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Other Ext Provided Services,29/05/2024,VI-114686,"1,152.50",Revenue,Command Pest Control Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,31/05/2024,VI-114663,740.00,Revenue,Community Action Suffolk,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/05/2024,VI-115067,"10,000.00",Revenue,Community Tech Hub CIC,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Analysts/Vets Fees,21/05/2024,VI-114186,"15,917.82",Revenue,SGS United Kingdom Ltd,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,22/05/2024,VI-114597,"1,550.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/05/2024,VI-114732,300.00,Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,21/05/2024,VI-114482,"2,000.00",Revenue,Cornerstone Barristers,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,31/05/2024,VI-115092,"2,000.00",Revenue,Creative Leiston C.I.C.,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Tenants Allowances,29/05/2024,VI-114882,"1,798.20",Revenue,Crown Paints Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Consultants,10/05/2024,VI-113678,898.10,Revenue,Crystolutions Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Surveyor Fees,14/05/2024,VI-114063,"11,000.00",Revenue,DAG Civils Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,14/05/2024,VI-113920,"4,293.65",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,17/05/2024,VI-114149,"4,285.17",Revenue,Daisy Communications Ltd,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,21/05/2024,VI-114331,"1,875.00",Revenue,Darren's Drains,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Supplies and Services,Software Purchases,21/05/2024,VI-113452,"5,940.00",Revenue,Datatank,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Collection Fund,Expenditure not charged to Cost of Service,Parish Council Precepts,21/05/2024,VI-112430,600.00,Revenue,Debach Parish Meeting,,,,,,,,,,,,,,,
Corporate Services,ICT,Holding Account - Cash Out,Capital Expenditure,29/05/2024,VI-114505,"51,250.00",Capital,Dell Corporation Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Holding Account - Cash Out,Capital Expenditure,08/05/2024,VI-113621,"4,477.60",Capital,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,29/05/2024,VI-114801,"12,180.36",Revenue,S W Dewell,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113220,"1,219.24",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113105,"1,100.81",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113211,576.24,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113430,"1,164.04",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113677,"1,124.16",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113885,379.68,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113893,960.38,Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,14/05/2024,VI-114113,"1,232.15",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/05/2024,VI-114274,"1,048.80",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,21/05/2024,VI-114408,"1,094.84",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,22/05/2024,VI-114589,"1,593.17",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/05/2024,VI-115089,"1,435.27",Revenue,DG Accessible Designs,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114188,"24,500.00",Revenue,Disability Advice Service (East Suffolk),,,,,,,,,,,,,,,
Community Health,Licensing,Supplies and Services,Other Ext Provided Services,14/05/2024,VI-113965,798.00,Revenue,Disclosure & Barring Service,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Corporate Subscriptions,03/05/2024,VI-113244,"7,066.00",Revenue,District Councils Network,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,10/05/2024,VI-113871,860.00,Revenue,District Councils Network,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,17/05/2024,VI-114233,"22,500.00",Revenue,Disability Advice North East Suffolk,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Supplies and Services,Other Ext Provided Services,17/05/2024,VI-114365,"3,192.00",Revenue,Discreet Security Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,03/05/2024,VI-113344,"4,200.00",Revenue,DML Civils Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113667,"3,000.00",Revenue,DML Civils Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113927,"2,300.00",Revenue,DML Civils Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,15/05/2024,VI-114237,"3,000.00",Revenue,DML Civils Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,08/05/2024,VI-113181,"5,360.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,10/05/2024,VI-113884,"2,260.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,17/05/2024,VI-114390,"2,620.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,31/05/2024,VI-115117,"6,420.00",Revenue,Dolphin Stairlifts (East Anglia) Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Electrical Heating,08/05/2024,VI-113509,"1,122.00",Revenue,DPL Group Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Premises Expenses,Building Services - Planned Maintenance,31/05/2024,VI-113249,"5,600.00",Revenue,D and R Marine,,,,,,,,,,,,,,,
Leader of the Council,Management and Support,Supplies and Services,Legal Fees,24/05/2024,VI-114642,450.00,Revenue,EA Law,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,14/05/2024,VI-112556,"5,000.00",Revenue,East Coast College,,,,,,,,,,,,,,,
Corporate Services,Cemeteries,Holding Account - Cash Out,Capital Expenditure,03/05/2024,VI-113266,"2,457.20",Capital,East Coast Scaffolding Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Holding Account - Cash Out,Payments,24/05/2024,VI-114354,552.00,Revenue,East of England Energy Group,,,,,,,,,,,,,,,
Leader of the Council,Corporate Management,Supplies and Services,Corporate Subscriptions,01/05/2024,VI-111444,"10,821.53",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Corporate Services,Operational Management,Supplies and Services,Consultants,03/05/2024,VI-111334,"2,820.00",Revenue,East of England Local Government Association,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,03/05/2024,VI-113111,"2,400.00",Revenue,Easton Bavents Ltd,,,,,,,,,,,,,,,
Planning and Coastal Management,Coastal Management,Supplies and Services,Consultants,10/05/2024,VI-113888,644.00,Revenue,Easton Bavents Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Leisure Strategy,Supplies and Services,Artists Fees,17/05/2024,VI-113278,"1,585.00",Revenue,East Coast Advenures,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,10/05/2024,VI-113378,"16,480.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,10/05/2024,VI-113518,"13,675.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,21/05/2024,VI-113908,"14,980.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,21/05/2024,VI-114463,"16,890.00",Revenue,Easton Apartments Ltd,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,03/05/2024,VI-113303,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,03/05/2024,VI-113395,349.80,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VC-003430,"-1,329.00",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Holding Account - Cash Out,Capital Expenditure,14/05/2024,VI-114095,"1,329.50",Capital,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Planned Maintenance,14/05/2024,VI-111803,381.15,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,15/05/2024,VI-113413,"1,085.76",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Contract Cleaning,17/05/2024,VI-113776,750.68,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
The Environment,Environmental Protection,Supplies and Services,Equipment Hire,17/05/2024,VI-114296,471.40,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,17/05/2024,VI-114371,"4,431.20",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA External Structural,17/05/2024,VI-114375,"3,074.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Other Ext Provided Services,21/05/2024,VI-114459,767.50,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,24/05/2024,VI-114468,341.55,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,24/05/2024,VI-114469,341.55,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Management and Support,Third Party Payments,Other Local Authorities Third Party,24/05/2024,VI-114780,"1,634,167.00",Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Premises Expenses,Building Services - Responsive Maintenance,15/05/2024,VI-113516,683.10,Revenue,East Suffolk Services Limited,,,,,,,,,,,,,,,
Deputy Leader and Housing,Homelessness,Premises Expenses,Rents Payable,29/05/2024,VI-114838,295.40,Revenue,Eastlight Community Homes,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,15/05/2024,VI-114182,"12,120.79",Capital,East Rising Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Grants & Contributions,17/05/2024,VI-114248,"17,600.00",Revenue,East Norfolk Multi Academy Trust,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,08/05/2024,VI-113241,812.33,Revenue,Eco Environmental Services Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Parking Services,Premises Expenses,Building Services - Responsive Maintenance,22/05/2024,VI-114454,"3,970.69",Revenue,Eco Environmental Services Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,01/05/2024,VI-112903,771.02,Revenue,EE Ltd,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Telephone Calls/Data/Broadband,31/05/2024,VI-115070,774.17,Revenue,EE Ltd,,,,,,,,,,,,,,,
Excluded,Holding Accounts,Supplies and Services,External Printing,03/05/2024,VI-113321,"114,982.96",Revenue,Civica Election Services,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,24/05/2024,VI-114681,"29,718.84",Revenue,Elecosoft UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,24/05/2024,VI-114738,"1,484.36",Revenue,Element Materials Technology Environmental UK Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Regeneration,Supplies and Services,Grants & Contributions,14/05/2024,VI-114160,"43,824.03",Revenue,Elizabeth Estates Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Grants & Contributions,24/05/2024,VI-114367,636.00,Revenue,Enable Access Ltd,,,,,,,,,,,,,,,
Economic Development and Transport,Economic Development,Supplies and Services,Consultants,03/05/2024,VI-112907,"5,624.00",Revenue,Endeavour Drilling Ltd,,,,,,,,,,,,,,,
Deputy Leader and Housing,Private Sector Housing,Premises Expenses,Electricity,14/05/2024,VI-114135,"1,560.00",Revenue,Energy Controls Group Limited,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,HRA Fire Risk Assessments,08/05/2024,VI-113497,"3,850.00",Revenue,Ensure Safety and Compliance,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Sewerage Charge,24/05/2024,VI-113851,890.00,Revenue,Environment Agency,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,General Purchases,17/05/2024,VI-114166,495.23,Revenue,Epic Tools,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Technical Training,21/05/2024,VI-114519,"1,950.00",Revenue,Eras Limited,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,Recruitment Advertising,24/05/2024,VI-114743,"3,200.00",Revenue,Eras Limited,,,,,,,,,,,,,,,
Corporate Services,ICT,Supplies and Services,Software Maintenance,29/05/2024,VI-114750,"5,186.31",Revenue,Esri UK Ltd,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,29/05/2024,VI-114987,"1,199.22",Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,29/05/2024,VI-114989,"1,236.06",Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,29/05/2024,VI-114991,"2,740.76",Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Premises Expenses,Water ,29/05/2024,VI-114986,"1,524.07",Revenue,Essex & Suffolk Water,,,,,,,,,,,,,,,
