Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,01/11/2024,VI-124874,"23,060.00",Capital,A10 Auto Centre Ltd,,,,,,,,,,,,,,,
Corporate Services,Human Resources,Employee Expenses,HR Corporate Training,29/11/2024,VI-126353,400.00,Revenue,Abouttime Training,,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,27/11/2024,VI-126053,"12,000.00",Revenue,Access Community Trust,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,29/11/2024,VI-126457,400.00,Revenue,Access Community Trust,,,,,,,,,,,,,,,
Corporate Services,Public Conveniences,Premises Expenses,Building Services - Responsive Maintenance,19/11/2024,VI-125957,"8,227.00",Revenue,Acesco Business & Property Servcies LLP,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Community Development,Supplies and Services,Miscellaneous Other Services,27/11/2024,VI-126369,664.00,Revenue,Adaptainer Ltd,,,,,,,,,,,,,,,
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,15/11/2024,VI-125724,"2,500.00",Capital,Allman Woodcock Ltd,,,,,,,,,,,,,,,
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,22/11/2024,VI-126042,"3,588.00",Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD,,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,05/11/2024,VI-125414,"15,449.31",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Software Purchases,05/11/2024,VI-125415,"10,212.21",Revenue,Amazon (AWS),,,,,,,,,,,,,,,
Community Health,Port Health Authority,Supplies and Services,Furniture and Equipment,22/11/2024,VI-126034,349.71,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,27/11/2024,VI-126381,476.10,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,27/11/2024,VI-126292,466.20,Revenue,Amazon Payments UK Limited (Business Acc),,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Premises Expenses,Building Services - Responsive Maintenance,01/11/2024,VI-124928,255.00,Revenue,Anglia Locksmiths and Safe Engineers Ltd,,,,,,,,,,,,,,,
"Communities, Culture, Leisure and Tourism",Harbours and Yacht Stations,Supplies and Services,Hardware Maintenance,20/11/2024,VI-125977,543.84,Revenue,Anglia Region Web Design,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Special Services,Holding Account - Cash Out,Capital Expenditure,08/11/2024,VI-124722,"1,381.50",Capital,Anglian Demolition & Asbestos Limited,,,,,,,,,,,,,,,
Corporate Services,Miscellaneous Land,Premises Expenses,Asbestos,22/11/2024,VI-126065,"5,800.00",Revenue,Anglian Demolition & Asbestos Limited,,,,,,,,,,,,,,,
Financial Resources and Value for Money,Directors and PA's,Supplies and Services,Hospitality,29/11/2024,VI-126460,"1,194.38",Revenue,Anglia Sporting Activities t/a Anglia Coastal Marq,,,,,,,,,,,,,,,
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,08/11/2024,VI-125450,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd,,,,,,,,,,,,,,,
