Service Area Categorisation,Service Division Categorisation,Expenses Type,Detailed Expenses Type,Date,Transaction Number,Amount,Capital / Revenue,Supplier Name
Corporate Services,ICT,Supplies and Services,Telephone Calls/Data/Broadband,45679,VI-129901,1505,Revenue,4Sight Communications Ltd
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45678,VI-125988,22752.75,Revenue,Access Community Trust
Deputy Leader and Housing,Housing Needs,Supplies and Services,Other Ext Provided Services,45678,VI-125990,32260.75,Revenue,Access Community Trust
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Officer Professional Subscriptions,45667,VI-129159,311,Revenue,ACCA Civic
Financial Resources and Value for Money,Internal Audit and Corporate Investigations,Employee Expenses,Officer Professional Subscriptions,45667,VI-129161,311,Revenue,ACCA Civic
"Communities, Culture, Leisure and Tourism",Beach,Premises Expenses,Building Services - Planned Maintenance,45681,VI-130097,10550,Revenue,Acesco Business & Property Servcies LLP
Corporate Services,Miscellaneous Property,Premises Expenses,Building Services - Responsive Maintenance,45688,VI-130683,1045,Revenue,Acesco Business & Property Servcies LLP
Economic Development and Transport,Economic Development,Supplies and Services,Grants & Contributions,45674,VI-129716,2387.87,Revenue,Acorn Target System Ltd
Leader of the Council,Corporate and Democratic Management,Supplies and Services,Hospitality,45674,VI-126437,4778,Revenue,ACP Training & Development
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45672,VI-129607,3696.1,Revenue,A J Builders (Suffolk) Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,DFG REFCUS,45681,VI-130082,1627.36,Revenue,D D Alger and Partners
Corporate Services,Assets and Property Services,Holding Account - Cash Out,Capital Expenditure,45671,VI-129297,300,Capital,Allman Woodcock Ltd
Corporate Services,Miscellaneous Property,Holding Account - Cash Out,Capital Expenditure,45678,VI-129978,2200,Capital,Allman Woodcock Ltd
Community Health,Health and Wellbeing,Supplies and Services,Other Ext Provided Services,45685,VI-130217,299,Revenue,ALLEN CARR'S EASYWAY (INTERNATIONAL) LTD
Corporate Services,ICT,Supplies and Services,Hardware Purchases,45667,VI-129368,259.82,Revenue,Alzo Digital
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,45663,VI-128884,10840.01,Revenue,Amazon (AWS)
Community Health,Port Health Authority,Supplies and Services,Software Maintenance,45663,VI-128886,16170.08,Revenue,Amazon (AWS)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,45664,VI-128815,923.99,Revenue,Amazon Payments UK Limited (Business Acc)
"Communities, Culture, Leisure and Tourism",Caravan and Camping Sites,Supplies and Services,Furniture and Equipment,45667,VI-127310,297.49,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,General Purchases,45667,VI-128888,728.52,Revenue,Amazon Payments UK Limited (Business Acc)
Deputy Leader and Housing,Housing Needs,Supplies and Services,Furniture and Equipment,45681,VI-129640,454.5,Revenue,Amazon Payments UK Limited (Business Acc)
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45674,VI-129673,650,Revenue,Amplify Live
Housing Revenue Account,HRA Repairs and Maintenance,Supplies and Services,Equipment Hire,45671,VI-128442,442.86,Revenue,Anglo Scottish Equipment (Southern) Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,45667,VI-129011,750,Revenue,A P C Pest Control Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,45667,VI-129010,450,Revenue,A P C Pest Control Ltd
Corporate Services,Miscellaneous Land,Premises Expenses,Pest Control,45667,VI-129009,375,Revenue,A P C Pest Control Ltd
"Communities, Culture, Leisure and Tourism",Revenue Grants,Supplies and Services,Grants & Contributions,45667,VI-129199,1000,Revenue,Apollo Youth Club
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45667,VI-129225,13538.9,Capital,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45667,VI-129047,7999.45,Revenue,Aran Insulation Ltd
Housing Revenue Account,HRA Cost of Capital and Similar Charges,Holding Account - Cash Out,Capital Expenditure,45678,VC-003994,-1070.82,Capital,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45678,VI-129987,7966.87,Revenue,Aran Insulation Ltd
Deputy Leader and Housing,Private Sector Housing,Supplies and Services,Other Ext Provided Services,45678,VI-129976,7940.87,Revenue,Aran Insulation Ltd
