SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Assessment and Care Management,Adult Care and Health,65411,Payments to Voluntary Sector,KENT ASSOCIATION FOR THE BLIND,2180308,5044177,45139,37000,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5044116,45139,2217.5399999999995,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,BLUEFIELD CARE SERVICES LTD,3143988,5044126,45139,11278.39,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,DAY TO DAY CARE LTD,3028207,5044148,45139,1379.5,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ELMES HOMECARE LTD,3150234,5044155,45139,3409.3499999999995,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,ETERNAL CARE UK LTD,3126584,5044157,45139,3930.3599999999997,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,EUROPEAN NURSING AGENCY,3014503,5044158,45139,1201.2,OTHER CREDS
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,HARMONY HOME AID SERVICES LTD,3121794,5044166,45139,783.37,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,JUGA HOMES LTD,3146361,5044173,45139,539.84,TCR RESIDENTIAL HOME
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,KOSI LTD T/A KOSICARE,3152013,5044180,45139,4268.54,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,MACKLEY HOME CARE LTD,3022707,5044187,45139,876.3299999999999,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,P & E CARE LTD,3149554,5044198,45139,29558.200000000008,TCR DOMICILIARY PROVIDER
