Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
"Children, Education and Families",ACADEMY21 LTD,45078,220122,3561.63,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",REDACTED PERSONAL DATA,45078,220125,1880.6,IND REFUND
Enviromnent Balance Sheet Total,REDACTED PERSONAL DATA,45078,220130,1574,IND REFUND
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45078,5036997,7149.81,TCR DOMICILIARY PROVIDER
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45078,5036997,303.44,TCR DOMICILIARY PROVIDER
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45078,5036997,590.56,TCR DOMICILIARY PROVIDER
CEF Balance Sheet Total,REDACTED PERSONAL DATA,45078,5036998,15029.37,IND OTHER
"Children, Education and Families",ACHIEVE WITH AUTISM CONSULTANCY LTD,45078,5036999,630,VENDOR
Adult Care and Health,ADVOCACY FOR ALL,45078,5037000,803.43,VOS CHARITY ORG
RCCM Capital Total,ALLIANCE LEISURE SERVICES LTD,45078,5037003,39332.5,COMPANY
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45078,5037004,592.5999999999999,TCR DOMICILIARY PROVIDER
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45078,5037004,303.2799999999994,TCR DOMICILIARY PROVIDER
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45078,5037005,7629.9800000000005,TCR DOMICILIARY PROVIDER
Adult Care and Health,ALWAYS CARING (BROMLEY) LTD,45078,5037005,3134.74,TCR DOMICILIARY PROVIDER
Adult Care and Health,ASPENS ENTERPRISES LTD,45078,5037007,8297.4,TCR SUPPLIER GENERAL
Adult Care and Health,ASPENS ENTERPRISES LTD,45078,5037008,11675.68,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",BATCHELLER MONKHOUSE,45078,5037011,3549,TCR SUPPLIER GENERAL
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45078,5037013,9238.17,TCR DOMICILIARY PROVIDER
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45078,5037013,310.22,TCR DOMICILIARY PROVIDER
Adult Care and Health,BLUEFIELD CARE SERVICES LTD,45078,5037013,435.91999999999996,TCR DOMICILIARY PROVIDER
BIDS Holding Account Total,BROMLEY BID LTD,45078,5037014,8224,TCR SUPPLIER GENERAL
BIDS Holding Account Total,BROMLEY BID LTD,45078,5037015,125348,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45078,5037016,9988,IND OTHER
"Children, Education and Families",BROMLEY FAMILY LINK,45078,5037017,2580,VOS CHARITY ORG
Adult Care and Health,BROMLEY GP ALLIANCE LTD,45078,5037018,2014,TCR SUPPLIER GENERAL
Adult Care and Health,BT GLOBAL SERVICES,45078,5037019,464.85,TCR SUPPLIER GENERAL
Adult Care and Health,BT GLOBAL SERVICES,45078,5037019,148.2,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,83.28,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,325.65,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,918.3299999999999,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,141.12,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,69.8,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,249.84,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,83.28,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,122.91,TCR SUPPLIER GENERAL
"Children, Education and Families",BT GLOBAL SERVICES,45078,5037019,32.25,TCR SUPPLIER GENERAL
Corporate Balance Sheet Total,BT GLOBAL SERVICES,45078,5037019,11741.380000000001,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",BT GLOBAL SERVICES,45078,5037019,197.25,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",BT GLOBAL SERVICES,45078,5037019,83.28,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",BT GLOBAL SERVICES,45078,5037019,3825.7200000000003,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",BT GLOBAL SERVICES,45078,5037019,41.15,TCR SUPPLIER GENERAL
Adult Care and Health,C MUYENDESI LTD,45078,5037020,1420,TCR SUPPLIER GENERAL
