Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45019,5029315,4701.17,TCR DOMICILIARY PROVIDER
Adult Care and Health,ABSOLUTE CARE SERVICES LTD,45019,5029315,195.11,TCR DOMICILIARY PROVIDER
"Children, Education and Families",ACORN CARE & EDUCATION LTD,45019,5029316,450,TCR SUPPLIER GENERAL
Environment & Community Services,REDACTED PERSONAL DATA,45019,5029317,707.52,TCR SUPPLIER GENERAL
Control Balance Sheet Total,ARNOLD CLARK FINANCE LTD,45019,5029318,2345.4500000000003,VENDOR
"Renewal, Recreation and Housing",AVIS HOTEL * 3034588,45019,5029319,25746.84,OTHER CREDS
"Children, Education and Families",BARNARDOS,45019,5029320,2932,VOS CHARITY ORG
"Renewal, Recreation and Housing",BIGGIN HILL MEMORIAL MUSEUM TRUST,45019,5029321,2332,TCR SUPPLIER GENERAL
"Children, Education and Families",CAN DIGITAL SOLUTIONS LTD,45019,5029322,2000,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",REDACTED PERSONAL DATA,45019,5029323,1267,TCR TRAINING
"Children, Education and Families",CAPSTONE FOSTER CARE (SOUTH EAST) LTD,45019,5029324,3591.8,TCR SUPPLIER GENERAL
"Children, Education and Families",CORAM VOICE,45019,5029326,10859,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45019,5029327,6957.29,IND CARERS/MOTHERS
Adult Care and Health,CROYDON COUNCIL,45019,5029329,3419,PCS LOCAL AUTH
Adult Care and Health,REDACTED PERSONAL DATA,45019,5029330,1962.8600000000001,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45019,5029330,308.06,TCR DOMICILIARY PROVIDER
"Children, Education and Families",DYNAMIC CARE LTD,45019,5029332,12399.949999999999,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",EASYMOVE ESTATE AGENTS LTD,45019,5029333,14907.9,TCR LANDLORD
"Children, Education and Families",REDACTED PERSONAL DATA,45019,5029335,3926.45,IND AGENCY CARERS
"Children, Education and Families",EVOLVE THERAPEUTIC FOSTERING LTD,45019,5029336,4000.95,TCR SUPPLIER GENERAL
Adult Care and Health,FABS DOMICILIARY HOMECARE LTD,45019,5029339,3577.95,TCR DOMICILIARY PROVIDER
Adult Care and Health,FABS DOMICILIARY HOMECARE LTD,45019,5029339,208.11,TCR DOMICILIARY PROVIDER
Environment & Community Services,FRIENDS OF HAYES COMMON,45019,5029340,608.66,VENDOR
Adult Care and Health,REDACTED PERSONAL DATA,45019,5029344,-11.27,TCR DOMICILIARY PROVIDER
"Children, Education and Families",REDACTED PERSONAL DATA,45019,5029344,1140,TCR DOMICILIARY PROVIDER
"Children, Education and Families",KENT COUNTY COUNCIL (KCS),45019,5029345,27.98,PCS LOCAL AUTH
"Children, Education and Families",KENT COUNTY COUNCIL (KCS),45019,5029345,512.83,PCS LOCAL AUTH
"Children, Education and Families",KENT COUNTY COUNCIL (KCS),45019,5029345,207.33999999999995,PCS LOCAL AUTH
"Children, Education and Families",REDACTED PERSONAL DATA,45019,5029348,1200,IND DIRECT PAYMENTS
Adults Balance Sheet Total,PG PASSENGER SERVICES LTD,45019,5029357,2016,TCR TRANSPORT
CEF Balance Sheet Total,REDACTED PERSONAL DATA,45019,5029358,2200,IND OTHER
"Children, Education and Families",TWINKL LTD,45019,5029361,683.3,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",URBAN DESIGN LONDON,45019,5029362,4300,TCR SUPPLIER GENERAL
Pension Rev Total,REDACTED PERSONAL DATA,45020,1000556,5625,TCR INVESTMENTS
"Children, Education and Families",ACCESS UK LTD,45020,5029363,15541.39,TCR SUPPLIER GENERAL
Control Balance Sheet Total,ALD AUTOMOTIVE LTD,45020,5029365,4653.75,TCR SUPPLIER GENERAL
Control Balance Sheet Total,ALD AUTOMOTIVE LTD,45020,5029366,6237.78,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029367,986.74,IND FOSTER CARER
"Children, Education and Families",ALLPAY LTD,45020,5029370,1200,TCR SUPPLIER GENERAL
Control Balance Sheet Total,ALPHABET GB LTD,45020,5029371,5244.349999999999,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029374,2065.94,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45020,5029375,334.18,IND FOSTER CARER
