SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Control - Creditors Control Acct,Control Balance Sheet Total,21453,Payables Creditors Control,NLA MEDIA ACCESS LTD,3135836,5056131,45231,-1799.58,TCR SUPPLIER GENERAL
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5057288,45243,406721.43,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5058916,45254,383790.26,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5058271,45251,370411.64,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5058102,45247,443812.8,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5056705,45236,321664.46,IRC_JOB_AGENCY
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,BRITISH RED CROSS SOCIETY,1069543,5056240,45232,2162.5,PCS OTHER PUB SECT
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,HYDE HOUSING ASSOCIATION,1928821,220358,45239,3532.56,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5057250,45243,3769.07,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SG FLEET SOLUTIONS UK LTD,3149179,5058717,45252,619.89,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5058132,45250,8502.690000000002,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5058372,45252,9833.589999999998,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5057751,45245,4844.97,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5058096,45247,2931.48,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SG FLEET SOLUTIONS UK LTD,3149179,5057410,45244,8185.31,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,VOLKSWAGEN FINANCIAL SERVICES,3147145,5059101,45258,8225.470000000001,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5056750,45237,2740.1099999999997,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5056189,45231,5033.07,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SG FLEET SOLUTIONS UK LTD,3149179,5058309,45251,2733.55,TCR SUPPLIER GENERAL
 Liberata Personal Acct,Control Balance Sheet Total,35113,Deferred Capital Receipts,LIBERATA UK LIMITED,3020486,5056974,45238,62830.770000000004,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203602,5056266,45232,891.37,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203609,5056261,45232,4972.79,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3139097,5056272,45232,950,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203608,5056270,45232,1937.12,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KR-AVALTA LTD,3203611,5056265,45232,1630.68,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203368,5056932,45238,3142.79,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203624,5056710,45236,844.55,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203620,5056503,45233,8393.9,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,WELLERS LAW GROUP LLP,3126926,5057120,45239,2227.32,TCR LEGAL
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203673,5057295,45243,804.58,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203674,5057309,45243,4679.35,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203670,5057318,45243,3590.08,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,JUDGE & PRIESTLEY LLP,1925350,5057084,45239,6062.02,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203595,5057296,45243,815.56,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203669,5057303,45243,15485.42,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203640,5057294,45243,2025.62,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203672,5057329,45243,2001.72,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203762,5058854,45253,1538.01,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203753,5058815,45253,14357.2,IND REFUND
 IT Stock,Corporate Balance Sheet Total,15511,Consumable Stores,BT GLOBAL SERVICES,3136575,5057054,45239,47528.2,TCR SUPPLIER GENERAL
 P&A - Returning Officers-By Election,Corporate Balance Sheet Total,15753,Other Debtor Entities and Individuals,SHAW & SONS LTD,1787608,5057319,45243,169.5,OTHER CREDS
