SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5050817,45191,337502.73,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5049948,45184,322493.91,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5049750,45182,268887.05,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5048389,45173,282697.81,IRC_JOB_AGENCY
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203270,220303,45190,700,IND REFUND
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ANNINGTON PROPERTY LTD,3203230,220287,45175,1881.52,REFUNDS
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,HYDE HOUSING ASSOCIATION,1928821,5048342,45173,3532.56,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5049695,45182,698.8799999999999,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5050639,45190,62.06000000000008,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ALPHABET GB LTD,3112353,5049829,45183,2722.78,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LEX AUTOLEASE LTD,3116780,5050708,45190,4901.17,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LEX AUTOLEASE LTD,3116780,5051303,45196,5585.83,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5051124,45196,3232.69,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5050912,45195,3076.9900000000002,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5050900,45194,2350.7400000000002,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5050809,45191,4043.6099999999997,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5050833,45191,3500.4399999999996,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5050330,45189,4016.29,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5050217,45189,3002.87,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SG FLEET SOLUTIONS UK LTD,3149179,5050059,45187,3012.94,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,VOLKSWAGEN FINANCIAL SERVICES,3147145,5049407,45176,1149.49,TCR SUPPLIER GENERAL
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203331,5050657,45190,1426.97,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,THACKRAY WILLIAMS LLP,3031069,5051560,45197,1705.89,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203330,5050864,45194,839.09,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203328,5050878,45194,2872.32,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203327,5050883,45194,1729.4,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203288,5050139,45188,3796.2,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,GREENWOOD SECURITIES LTD,3203211,5050119,45188,1500,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203216,5048578,45174,536.15,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203223,5048580,45174,624.78,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203212,5048604,45174,4366.84,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203128,5048617,45174,16115.49,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203225,5049552,45180,8072.33,IND REFUND
 IT Stock,Corporate Balance Sheet Total,15511,Consumable Stores,BT GLOBAL SERVICES,3136575,5049839,45183,26093.09,TCR SUPPLIER GENERAL
 Env Serv - Rech Works C Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,JB RINEY & CO LTD (LIGHTING),3144148,5049545,45180,5419.349999999999,SUB-CONTRACTOR
 Env Serv - Rech Works E Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,LONDON HIRE LIMITED,3150929,5051311,45196,949.15,TCR SUPPLIER GENERAL
 Env Serv - Rech Works E Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,LONDON HIRE LIMITED,3150929,5050346,45189,575.1,TCR SUPPLIER GENERAL
 Env Serv - Rech Works E Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,LONDON HIRE LIMITED,3150929,5048587,45174,508.38,TCR SUPPLIER GENERAL
 Env Serv - Rech Works E Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,LONDON HIRE LIMITED,3150929,5050972,45195,585,TCR SUPPLIER GENERAL
 Env Serv - Rech Works H Jobs,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3149151,5050192,45189,4850,IND GRANTS
 Env Serv - Vehicle Crossings,Enviromnent Balance Sheet Total,15753,Other Debtor Entities and Individuals,JB RINEY & CO LTD (MINOR WORKS),3144147,5049549,45180,13183.1,SUB-CONTRACTOR
 Provision for Cemeteries refunds,Enviromnent Balance Sheet Total,21811,Short Term Provisions,REDACTED PERSONAL DATA,3203294,220306,45190,1574,IND REFUND
 Adult Social Care Transport Holding Account,Adults Balance Sheet Total,15753,Other Debtor Entities and Individuals,PG PASSENGER SERVICES LTD,3136328,5049474,45177,6875.000000000002,TCR TRANSPORT
 Adult Social Care Transport Holding Account,Adults Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3148214,5049467,45177,12725,TCR TRANSPORT
 Adult Social Care Transport Holding Account,Adults Balance Sheet Total,15753,Other Debtor Entities and Individuals,CANNON CARS,1664360,5049338,45176,13719.769999999999,TCR TRANSPORT
 Adult Social Care Transport Holding Account,Adults Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3150060,5050104,45188,17642,TCR TRANSPORT
 SS&H - Burial Accounts,Adults Balance Sheet Total,15753,Other Debtor Entities and Individuals,ROWLAND BROTHERS LTD,3132717,5049672,45181,2982,TCR SUPPLIER GENERAL
 Rent Collections Account,Housing Balance Sheet Total,15811,Petty Cash Issued,REDACTED PERSONAL DATA,3203271,220296,45182,888.01,IND REFUND
 Rent Collections Account,Housing Balance Sheet Total,15811,Petty Cash Issued,REDACTED PERSONAL DATA,3203255,5049565,45180,1060,IND REFUND
 Rent Collections Account,Housing Balance Sheet Total,15811,Petty Cash Issued,REDACTED PERSONAL DATA,3202569,5049662,45181,1151.92,IND REFUND
 CEF General Balance Sheet Code,CEF Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,REDACTED PERSONAL DATA,3201295,5048457,45173,1575,IND OTHER
 Supply Teacher (Matrix DPS) Holding Account,CEF Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3138010,5050632,45190,12542.83,IND OTHER
 Supply Teacher (Matrix DPS) Holding Account,CEF Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3138010,5051475,45197,3808.75,IND OTHER
 Supply Teacher (Matrix DPS) Holding Account,CEF Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3138010,5049327,45176,6378.75,IND OTHER
 Supply Teacher (Matrix DPS) Holding Account,CEF Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3138010,5049824,45183,13597.5,IND OTHER
 Security Works - Standards Fund,CEF Capital Total,68155,Consultants Costs,PINNACLE ESP LTD,3127759,5050827,45191,1088.7,TCR CONSULTANT
 Capital Maintenance in Schools,CEF Capital Total,68154,Capital Main Works,RIVERSIDE SCHOOL,3108492,5051547,45197,619,LBB SCHOOL
 Basic Needs,CEF Capital Total,68154,Capital Main Works,BISHOP JUSTUS C. E. SCHOOL (ACADEMY),3123468,5051141,45196,90979.54,TCR IND SCHOOL
