SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5063566,45299,386747.79,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5063565,45299,148507.48,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5065595,45314,377708.97,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5065124,45308,387734.83,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5065123,45308,294386.86,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5067694,45323,385597.35,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5066965,45317,396521.51,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5069047,45334,383475.46,IRC_JOB_AGENCY
 Inland Revenue-Income Tax Acct,Control Balance Sheet Total,21320,Construction Industry Tax CIS,HMRC,3112730,5064910,45307,9469.72,TAX AUTHORITY
 Control - C & Excise -Vat Acct,Control Balance Sheet Total,21322,VAT Creditor Output Tax,ELCOM PROJECTS LTD,3201964,5064694,45303,-3456.1,SUB-CONTRACTOR
 Control - C & Excise -Vat Acct,Control Balance Sheet Total,21322,VAT Creditor Output Tax,SHIRE CONSULTANCY SERVICES,3204105,220485,45321,140,REFUNDS
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,CONNELLS GROUP LTD,3150936,220436,45293,514.04,TCR LANDLORD
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOK AHEAD CARE AND SUPPORT,3204006,220450,45300,810.19,REFUNDS
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,THE PIONEER ACADEMY,3201661,220487,45321,3952,REFUNDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5066762,45316,6028.7699999999995,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ATHLON MOBILITY SERVICES UK LTD,3151133,5066022,45315,7158.26,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LEX AUTOLEASE LTD,3116780,5068929,45331,3919.930000000003,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5065362,45310,4865.92,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5066909,45317,4841.58,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5066012,45315,9647.349999999999,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ATHLON MOBILITY SERVICES UK LTD,3151133,5066021,45315,3691.41,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5065468,45313,4198.21,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5066826,45316,3099.9100000000003,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5068875,45331,4493.15,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5068926,45331,5511.95,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5068080,45327,4065.35,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5068081,45327,7748.33,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5067911,45324,3994.92,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5068997,45334,2980.9900000000002,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5063791,45300,502.88,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,SINCLAIR FINANCE & LEASING COMPANY LIMITED,3202873,5065361,45310,1039.25,TCR TRANSPORT
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5068654,45329,502.88,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,VOLKSWAGEN FINANCIAL SERVICES,3147145,5067890,45323,383.15999999999997,TCR SUPPLIER GENERAL
 Liberata Personal Acct,Control Balance Sheet Total,35113,Deferred Capital Receipts,LIBERATA UK LIMITED,3020486,5065119,45308,47879.36,OTHER CREDS
 Liberata Personal Acct,Control Balance Sheet Total,35113,Deferred Capital Receipts,LIBERATA UK LIMITED,3020486,5068195,45328,31662.88,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203977,5063160,45293,518.86,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203989,5063164,45293,522.42,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ORBIT PROPERTY MANAGEMENT (BIRMINGHAM) LTD,3203997,5063441,45295,9250,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203129,5063572,45299,1165.16,IND DIRECT PAYMENTS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203991,5063569,45299,756.86,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,JUDGE & PRIESTLEY LLP,1925350,5064711,45303,576.07,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204058,5065603,45314,5750,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204066,5066469,45315,725.45,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204072,5065605,45314,1268.37,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204071,5066253,45315,1148.52,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,CRYSTAL PALACE ANGLING ASSOCIATION,3204061,5065533,45314,1775.68,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204124,5066605,45315,506.73,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204029,5066451,45315,1446.62,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204069,5064965,45307,2320.56,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204151,5067447,45322,4251.77,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,MANAK SOLICITORS LLP,3135774,5067688,45323,1868.54,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ORBIT PROPERTY MANAGEMENT (BIRMINGHAM) LTD,3203997,5067418,45322,2025,REFUNDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204203,5069012,45334,6194.58,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3204202,5068942,45331,516,IND REFUND
