SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204366,1001060,45352,15717.16,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204366,1001060,45352,106.58,PAYROLL
 Pension Payrol Holding Acct,Pension Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,REDACTED PERSONAL DATA,3204280,1001061,45352,3975.96,PAYROLL
 Superannuation Fund,Pension Rev Total,61619,Transfer Values Paid Out,LONDON BOROUGH OF SUTTON,2042495,1001062,45352,1982.73,PCS LOCAL AUTH
 Pensions - VAT Acct,Pension Control Balance Sheet Total,15628,VAT Debtor Input Tax,LONDON BOROUGH OF SUTTON,2042495,1001062,45352,0,PCS LOCAL AUTH
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204349,1001064,45352,11316.12,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204349,1001064,45352,59.68,PAYROLL
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204359,1001065,45352,10297.56,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204359,1001065,45352,82.24,PAYROLL
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204354,1001067,45352,3829.08,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204354,1001067,45352,28.27,PAYROLL
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,4 BRICK COURT,3201021,5071778,45352,867,TCR LEGAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ACHIEVE TOGETHER SERVICES LTD,3202247,5071779,45352,2865.52,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,ACHIEVE TOGETHER SERVICES LTD,3202247,5071780,45352,5019.24,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,53237,Fairer Charging Residential Care Income,ACHIEVE TOGETHER SERVICES LTD,3202247,5071781,45352,-483.2,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65542,Long Term Residential Spot Contract,ACHIEVE TOGETHER SERVICES LTD,3202247,5071781,45352,10184.6,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5071782,45352,637.02,TCR SUPPLIER GENERAL
