SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5051681,45201,321483.64,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5055297,45226,371764.36,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5053240,45210,371188.95,IRC_JOB_AGENCY
 Control - Comensura Acct,Control Balance Sheet Total,21444,Other Creditors Other Entities and Individuals,MATRIX SCM LIMITED,3151110,5053478,45212,327541.18,IRC_JOB_AGENCY
 Control - Suspense Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,BROMLEY FAMILY LINK,2055147,220336,45216,3290.88,VOS CHARITY ORG
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5053324,45211,-1480.21,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,VOLKSWAGEN FINANCIAL SERVICES,3147145,5052457,45203,5276.13,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ATHLON MOBILITY SERVICES UK LTD,3151133,5053461,45212,3090.98,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5055238,45225,570,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5055458,45230,6311.57,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5054783,45224,2482.6300000000006,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARVAL UK LTD,3036168,5054580,45222,11319.330000000002,OTHER CREDS
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5052501,45204,7066.299999999999,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ALD AUTOMOTIVE LTD,3145056,5055309,45229,2971.7,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,KINTO UK LIMITED,3149512,5055363,45229,3845.95,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054533,45219,2366.88,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5054784,45224,2534.46,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054534,45219,5287.79,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LEX AUTOLEASE LTD,3116780,5054700,45223,6961.91,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054529,45219,486.65999999999997,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,ARNOLD CLARK FINANCE LTD,3111666,5053457,45212,254.87,VENDOR
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054532,45219,545.64,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054530,45219,502.88,TCR SUPPLIER GENERAL
 Car Leasing Account,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,LOOKERS LEASING LTD,3134166,5054531,45219,502.88,TCR SUPPLIER GENERAL
 Liberata Personal Acct,Control Balance Sheet Total,35113,Deferred Capital Receipts,LIBERATA UK LIMITED,3020486,5051679,45201,54746.37,OTHER CREDS
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203522,5054314,45217,1789.9,IND REFUND
 AR Refunds Holding Acct,Control Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3203521,5054290,45217,757.69,IND REFUND
