SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,P & E CARE LTD,3149554,5040819,45110,10734.329999999998,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,SILVERBIRCH HEALTHCARE,3147936,5040833,45110,548,TCR DOMICILIARY PROVIDER
 Assessment and Care Management,Adult Care and Health,65520,Long Term Support Community Homecare,SURECARE BROMLEY LTD,3143000,5040836,45110,5079.26,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65536,Long Term Nursing Care Spot Contract,OATLEIGH CARE LTD,3124389,5040817,45110,1563.12,TCR RESIDENTIAL HOME
 Learning Disabilities Services,Adult Care and Health,64333,Translators and Interpreters,ADVOCACY FOR ALL,3122641,5040748,45110,131.6,VOS CHARITY ORG
 Learning Disabilities Services,Adult Care and Health,65520,Long Term Support Community Homecare,P & E CARE LTD,3149554,5040819,45110,675.25,TCR DOMICILIARY PROVIDER
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,BRANDON TRUST,3152941,5040753,45110,4974.06,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65539,Long Term Support Community Supported Living,DIAGRAMA HEALTHCARE SERVICES LTD,3151042,5040775,45110,4647.2,ST SUPP LODGE
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,P & E CARE LTD,3149554,5040819,45110,166.06,TCR DOMICILIARY PROVIDER
 Mental Health Services,Adult Care and Health,65520,Long Term Support Community Homecare,SURECARE BROMLEY LTD,3143000,5040836,45110,511.14,TCR SUPPLIER GENERAL
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,ADVOCACY FOR ALL,3122641,5040748,45110,912.06,VOS CHARITY ORG
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,DATASET LTD,3201773,5040773,45110,800,TCR SUPPLIER GENERAL
 Quality Assurance & Safeguarding,Adult Care and Health,64331,Miscellaneous Expenses,REDACTED PERSON,3132295,5040778,45110,2310,TCR CONSULTANT
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,NUTRIX PERSONNEL LTD,3200352,5040814,45110,2184.5,TCR DOMICILIARY PROVIDER
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3149030,5040784,45110,1053.33,IND AGENCY CARERS
 0-25 Children Service,"Children, Education and Families",65520,Long Term Support Community Homecare,REDACTED PERSONAL DATA,3149030,5040785,45110,2503.2799999999997,IND AGENCY CARERS
 Access and Inclusion,"Children, Education and Families",63213,Client Transport,LONDON HIRE COMMUNITY SERVICES LTD,3148086,5040799,45110,10114.4,TCR TRANSPORT
 Access and Inclusion,"Children, Education and Families",63213,Client Transport,REDACTED PERSONAL DATA,3150410,5040755,45110,5518.8,IND AGENCY CARERS
 Access and Inclusion (DSG),"Children, Education and Families",65587,Alternative Programmes,WIZE UP (GREENWICH) LTD,3143497,5040842,45110,1800,TCR SUPPLIER GENERAL
