Portfolio,Supplier_Name,Payment_Date,Transaction_Number,Net Amount,Merchant Category
Insurance Fund Holding Account Total,DEPARTMENT FOR WORK & PENSIONS,45048,220088,744,PCS GOVT DEPT
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032816,3679.5,TCR LEGAL
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032817,1300,SOLETRADER
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032818,1400,SOLETRADER
RRH Capital Total,REDACTED PERSONAL DATA,45048,5032819,795.76,SUB-CONTRACTOR
Adult Care and Health,BARTS HEALTH NHS TRUST,45048,5032820,1065.51,PCS HEALTH AUTH
Environment & Community Services,BUCHANAN COMPUTING LTD,45048,5032821,914,OTHER CREDS
"Children, Education and Families",BURNT ASH PRIMARY SCHOOL (ACADEMY),45048,5032822,1749.99,TCR IND SCHOOL
Adult Care and Health,CHRISTIES CARE LIMITED,45048,5032824,22542.600000000006,TCR DOMICILIARY PROVIDER
"Resources, Commissioning and Contracts Management",CIPFA BUSINESS LTD,45048,5032825,2230,VENDOR
"Resources, Commissioning and Contracts Management",CITY OF LONDON,45048,5032826,161958,OTHER CREDS
Adult Care and Health,DATASET LTD,45048,5032828,640,TCR SUPPLIER GENERAL
RRH Capital Total,REDACTED PERSONAL DATA,45048,5032829,258041.79000000004,SUB-CONTRACTOR
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032831,2470,TCR CONSULTANT
Adult Care and Health,REDACTED PERSONAL DATA,45048,5032832,960,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032833,2579.1500000000024,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032833,1335.17,TCR SUPPLIER GENERAL
"Children, Education and Families",EDF ENERGY CUSTOMERS PLC,45048,5032834,472.99,TCR UTILITY
Adult Care and Health,EKOHRAY LTD,45048,5032835,3125,TCR SUPPLIER GENERAL
Adult Care and Health,EUROPEAN NURSING AGENCY,45048,5032837,1200,OTHER CREDS
Environment & Community Services,REDACTED PERSONAL DATA,45048,5032839,3050,OTHER CREDS
"Resources, Commissioning and Contracts Management",GROVE AUTOS LTD,45048,5032840,1287.22,TCR SUPPLIER GENERAL
RRH Capital Total,GUARDIAN NEWS AND MEDIA LTD,45048,5032841,975,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45048,5032842,3200,IND REFUND
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032843,3308.77,CHILDRENS RES UNITS
"Children, Education and Families",LADYBIRDS 1991 LTD,45048,5032844,9872,TCR SUPPLIER GENERAL
"Children, Education and Families",LADYBIRDS 1991 LTD,45048,5032844,1450,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45048,5032846,1417.52,TCR LEGAL
Environment & Community Services,LONDON BOROUGH OF HARINGEY,45048,5032847,1214.18,LBB SCHOOL
"Renewal, Recreation and Housing",LONDON DISTRICT SURVEYORS ASSOCIATION,45048,5032848,895,PCS GOVT DEPT
Control Balance Sheet Total,MATRIX SCM LIMITED,45048,5032849,317372.15,IRC_JOB_AGENCY
"Resources, Commissioning and Contracts Management",ME LEARNING LTD,45048,5032850,440,TCR SUPPLIER GENERAL
Adult Care and Health,OMEGA NEST VALERIE OWELLE,45048,5032853,720,TCR SUPPLIER GENERAL
"Resources, Commissioning and Contracts Management",OPUS ENERGY LTD,45048,5032855,1731.62,TCR UTILITY
Adult Care and Health,OVO ENERGY LTD,45048,5032857,598.6,TCR UTILITY
"Children, Education and Families",SIGNIS LTD,45048,5032861,9660,TCR SUPPLIER GENERAL
"Children, Education and Families",A SAFE HOUSE LTD,45049,5032863,4125,TCR SUPPLIER GENERAL
"Children, Education and Families",A SAFE HOUSE LTD,45049,5032864,4200,TCR SUPPLIER GENERAL
"Children, Education and Families",A SAFE HOUSE LTD,45049,5032865,27900,TCR SUPPLIER GENERAL
"Children, Education and Families",AFFINITY FOSTERING SERVICES LTD,45049,5032866,3617.1,TCR SUPPLIER GENERAL
"Children, Education and Families",AFFINITY FOSTERING SERVICES LTD,45049,5032867,3835.8,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032869,1226.84,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032874,2065.94,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032876,971.6,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032877,734.52,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032877,658.24,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032878,777.3199999999999,IND FOSTER CARER
Control Balance Sheet Total,ARNOLD CLARK FINANCE LTD,45049,5032879,1271.7199999999998,VENDOR
Non Revenue,ARNOLD CLARK FINANCE LTD,45049,5032879,85,VENDOR
"Children, Education and Families",ASCENT FOSTERING AGENCY,45049,5032880,14871.149999999998,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032881,1049.8799999999999,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032881,979.9599999999999,IND BSAP PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032883,1438.28,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032883,-714.48,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032886,883.44,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032890,1800,IND AGENCY CARERS
Adult Care and Health,BRANDON TRUST,45049,5032891,11012.84,TCR SUPPLIER GENERAL
"Children, Education and Families",BY THE BRIDGE LTD,45049,5032893,2895.44,OTHER CREDS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032894,1352,IND CARERS
"Children, Education and Families",CANNON CARS,45049,5032896,442.29,TCR TRANSPORT
Adult Care and Health,CAPITAL HOMECARE UK LTD,45049,5032897,1337.28,TCR DOMICILIARY PROVIDER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032898,4514.5700000000015,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032898,226.03000000000003,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032898,154.49,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032899,4071.3,IND AGENCY CARERS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032902,986.74,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032902,849.16,IND FOSTER CARER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032903,728,IND FOSTER CARER
"Children, Education and Families",CARTER BROWN THE EXPERT SERVICE LTD,45049,5032904,2023,TCR SUPPLIER GENERAL
Adults Balance Sheet Total,CENTAUR OVERLAND TRAVEL LTD,45049,5032905,3358.8,TCR TRANSPORT
Environment & Community Services,CHARLES DARWIN ACADEMY TRUST,45049,5032907,1500,TCR IND SCHOOL
Adult Care and Health,CHOICE SUPPORT,45049,5032911,5743.01,TCR RESIDENTIAL HOME
Adult Care and Health,CHRISTIES CARE LIMITED,45049,5032912,11074.8,TCR DOMICILIARY PROVIDER
Adult Care and Health,CHRISTIES CARE LIMITED,45049,5032912,39555.32000000001,TCR DOMICILIARY PROVIDER
Public Protection and Enforcement,REDACTED PERSONAL DATA,45049,5032913,844,IND OTHER
"Renewal, Recreation and Housing",CITY OF LONDON,45049,5032914,3000,OTHER CREDS
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032916,1585.68,IND OTHER
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032916,-745.16,IND OTHER
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032917,1500.08,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032917,849.16,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032921,690,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032921,875.54,FOSTER PARENTS
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032922,850.2,IND FOSTER CARER
"Children, Education and Families",DOT,45049,5032924,517,TCR CONSULTANT
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032925,1995,TCR CONSULTANT
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032926,960,TCR CONSULTANT
"Children, Education and Families",DYNAMIC LIVING LTD,45049,5032927,5142.71,TCR SUPPLIER GENERAL
"Children, Education and Families",REDACTED PERSONAL DATA,45049,5032929,512.32,IND FOSTER CARER
"Children, Education and Families",EVOLVE THERAPEUTIC FOSTERING LTD,45049,5032932,7060.5,TCR SUPPLIER GENERAL
"Children, Education and Families",EVOLVE THERAPEUTIC FOSTERING LTD,45049,5032932,7071.3,TCR SUPPLIER GENERAL
"Renewal, Recreation and Housing",FAMILY FUND TRADING LTD,45049,5032933,22668.74,TCR SUPPLIER GENERAL
Adult Care and Health,REDACTED PERSONAL DATA,45049,5032935,1370.85,TCR DOMICILIARY PROVIDER
