SERVICE_AREA,PORTFOLIO,SUBJECTIVE,SUBJ_DESCRIPTION,SUPPLIER_NAME_REDACTED,SUPPLIER_NUMBER,PAYMENT_NUMBER,PAYMENT_DATE,Net Amount,VENDOR_TYPE_LOOKUP_CODE
 Superannuation Fund,Pension Rev Total,61617,Return of Contributions,REDACTED PERSONAL DATA,3204145,1001025,45323,3068.75,PAYROLL
 Superannuation Fund,Pension Rev Total,61621,Return of Contributions - Tax,REDACTED PERSONAL DATA,3204145,1001025,45323,-613.75,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204145,1001025,45323,164.66,PAYROLL
 Superannuation Fund,Pension Rev Total,64331,Miscellaneous Expenses,LONDON LGPS CIV LTD,3139351,1001026,45323,18625,PCS GOVT DEPT
 Pensions - VAT Acct,Pension Control Balance Sheet Total,15628,VAT Debtor Input Tax,LONDON LGPS CIV LTD,3139351,1001026,45323,3725,PCS GOVT DEPT
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204162,1001027,45323,5300.61,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204162,1001027,45323,14.12,PAYROLL
 Superannuation Fund,Pension Rev Total,61614,Lump Sum Retirement Benefit,REDACTED PERSONAL DATA,3204140,1001028,45323,114644.66,PAYROLL
 Superannuation Fund,Pension Rev Total,54113,Cash Deposit Interest Earned Income,REDACTED PERSONAL DATA,3204140,1001028,45323,708.29,PAYROLL
 Superannuation Fund,Pension Rev Total,61619,Transfer Values Paid Out,THE LONDON PENSIONS FUND AUTHORITY,1603345,1001030,45323,78016.97,OTHER CREDS
 Schools & Early Years Commissioning and QA (DSG),"Children, Education and Families",66317,Community Nursery Payment,1ST FOR CHILDREN LTD,3034888,5067479,45323,13570.199999999999,OTHER CREDS
 Schools & Early Years Commissioning and QA (DSG),"Children, Education and Families",66311,Schools Transfer Payment,1ST FOR CHILDREN LTD,3034888,5067479,45323,336.6,OTHER CREDS
 SEN and Inclusion (DSG),"Children, Education and Families",65586,SEN Support,1ST FOR CHILDREN LTD,3034888,5067479,45323,360,OTHER CREDS
 Legal Services,"Resources, Commissioning and Contracts Management",64355,Counsel Fees,6 PUMP COURT CHAMBERS,3200609,5067480,45323,1750,TCR LEGAL
 Schools & Early Years Commissioning and QA (DSG),"Children, Education and Families",66317,Community Nursery Payment,REDACTED PERSONAL DATA,3148393,5067481,45323,1036.8,TCR NURSERY
 Supply Teacher (Matrix DPS) Holding Account,CEF Balance Sheet Total,15753,Other Debtor Entities and Individuals,REDACTED PERSONAL DATA,3138010,5067482,45323,8190.41,IND OTHER
 SEN and Inclusion (DSG),"Children, Education and Families",65513,School Fees,ACORN CARE & EDUCATION LTD,3130485,5067483,45323,22881.67,TCR SUPPLIER GENERAL
 Assessment and Care Management,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5067484,45323,785.9700000000001,TCR SUPPLIER GENERAL
 Learning Disabilities Services,Adult Care and Health,65516,Long Term Support Community Day Services,AGE CONCERN ORPINGTON & DISTRICT,3127729,5067484,45323,971.19,TCR SUPPLIER GENERAL
