LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,Marketing&Advertisng,45078,4100778584,491.4,Newsquest media group
LONDON BOROUGH OF ENFIELD,PLACE,Marketing&Advertisng,45078,4100778586,305.76,Newsquest media group
LONDON BOROUGH OF ENFIELD,PEOPLE,Transport Servcs,45078,4100781556,960,LYNCADE LIMITED T/A CAVENDISH RADIO
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45078,3300306850,815.15,ST MICHAEL'S CE PRIMARY SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Education services,45078,4100780967,411.4,WEST LEA SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Education services,45078,4100780968,1233.8,WEST LEA SCHOOL
LONDON BOROUGH OF ENFIELD,PLACE,Construction Capital,45078,3300306150,6243,ASCENDIT LIFTS LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,BusinessConsult Serv,45078,4100778678,555.75,NOMINET UK
LONDON BOROUGH OF ENFIELD,CEX,Parks/Sport/Recreatn,45078,4100781603,1738.75,W H DARBY LTD T/A VAUGHTONS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781522,1714.2,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781523,2030.03,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781561,1550,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45078,4100778581,1270.32,NEWLINE ANGLIA LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Bio/Chems & Gas Mat,45078,4100779557,1502.7,K-MED LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Bio/Chems & Gas Mat,45078,4100780577,1765.25,K-MED LTD
LONDON BOROUGH OF ENFIELD,PLACE,Transport/Mail Srvcs,45078,4100778764,1528.68,ECON ENGINEERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45078,4100780234,511.94,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45078,4100780235,231.88,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45078,4100781576,1394.48,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45078,4100781577,1679.08,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45078,4100781536,1434,LONDON TEACHING SUPPLY
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45078,3300306851,3533,FOOTSTEPS FOOTBALL ACADEMY CIC
LONDON BOROUGH OF ENFIELD,RESOURCES,IT Equip/Services,45078,4100778716,880,LIGHTING REALITY LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45078,4100781468,4200,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781482,2100,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781485,4200,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781486,2100,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781488,2100,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45078,4100781493,1125,APEX MEDICAL LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Housing Repairs,45078,7003220055,553.64,COMPLETE BUILDING SERVICES (HERTS)
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220070,299.61,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220071,388.36,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220072,490.77,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220073,268.75,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220074,282.49,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220075,395.6,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220076,277.64,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220077,272.86,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220078,218.52,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220080,246.76,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45078,7003220081,215.75,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45078,7003219948,756.22,CARE IN FINANCE LTD
LONDON BOROUGH OF ENFIELD,PLACE,BusinessConsult Serv,45078,4100781456,3000,ALIX SLATER CONSULTANCY & TRAINING
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781283,2722.5,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781285,1656.75,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781469,1062,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781470,677.2,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781471,398.25,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781472,424.8,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781473,723.31,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781474,1975.32,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781475,1131.03,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781476,1805.4,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781477,675,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781478,1656.72,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781479,769.95,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781480,2219.52,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781496,1625.56,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781497,265.5,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781498,1571.76,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781537,254.88,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781538,1354.05,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781539,531,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781540,5862.24,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781541,318.6,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781542,3586,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781543,1262,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781544,318.6,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781546,637.2,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781547,4348.89,SPRINGCARE SUPPORT SERVICES
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45078,4100781550,2378.88,SPRINGCARE SUPPORT SERVICES
