LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PEOPLE,Security/Safety Eqpm,45170,4100791882,4764.32,RGE SERVICES
LONDON BOROUGH OF ENFIELD,PLACE,Marketing&Advertisng,45170,4100794297,349.44,Newsquest media group
LONDON BOROUGH OF ENFIELD,RESOURCES,Heating A/C Distrib,45170,4100794377,332.3,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45170,4100794310,605,SUNRISE MEDICAL LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792707,265,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792708,265,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792794,291,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792706,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792709,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792887,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100793641,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100793640,375,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792795,645,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45170,4100792710,911,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45170,3300314156,1200,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387358,1285.2,CHALLENGE CARE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387436,1117.33,AVON LODGE UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387360,3364,FIVE OAKS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387362,3364,FIVE OAKS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387364,3364,FIVE OAKS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387365,4205,FIVE OAKS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794256,488.33,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794257,488.33,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794259,488.33,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794260,488.33,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794264,488.33,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794255,489,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794254,531.31,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794262,1550,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794265,1550,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794266,1550,OAK TREE CARE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45170,4100794357,2333.4,DAWSONGROUP SWEEPERS
LONDON BOROUGH OF ENFIELD,PLACE,Security/Safety Eqpm,45170,4100792922,425,RUSHTON WORKWEAR LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387350,998.8,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387352,1016.96,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387348,1374,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387346,1543.6,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387367,4358.4,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387369,6356,BROWNCROSS HEALTHCARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45170,4100794271,288,RESTORE COMMUNITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45170,4100793505,1615,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,HRA,Build & Construction,45170,4100794228,15652.25,TRAVIS PERKINS LTD
LONDON BOROUGH OF ENFIELD,HRA,Build & Construction,45170,4100794227,20086.27,TRAVIS PERKINS LTD
LONDON BOROUGH OF ENFIELD,HRD,Cleaning Supps Srvcs,45170,4100794384,1017.54,VEOLIA  ES UK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Parks/Sport/Recreatn,45170,4100792350,1850,EDMONTON EAGLES AMATEUR BOXING CLUB
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45170,4100794390,14305.8,FOOTSTEPS CARE
LONDON BOROUGH OF ENFIELD,PEOPLE,Food beverages,45170,4100794151,631.19,WEST COUNTRY MILK CONSORTIUM
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387375,2834.44,AMELIA MEWS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387371,4008.76,AMELIA MEWS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387373,5540.6,AMELIA MEWS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387377,3012.24,SUPPORTING YOU IN LONDON
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387379,4046.52,SUPPORTING YOU IN LONDON
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387383,4255.96,SUPPORTING YOU IN LONDON
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387381,7269.12,SUPPORTING YOU IN LONDON
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387437,1150,TALLIS HOUSE
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45170,4100794309,916.8,FAIRFIELD CARE PRODUCTS
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45170,4100794248,9689.39,FORTUNA MOBILITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387387,4800,AZALEA COURT
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,7003387385,6400,AZALEA COURT
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794268,1050,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794270,1050,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794272,1050,RIGHT CHOICE SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45170,4100794273,1050,RIGHT CHOICE SERVICES LTD
