LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PEOPLE,Organz/Subs/Licences,45261,4100807786,37157.83,ENFIELD VOLUNTARY ACTION
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,7003454400,4745.8,NORWOOD RAVENSWOOD SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Nursery Education,45261,7003454464,417.45,SOUTHBURY PRIMARY SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Transport/Mail Srvcs,45261,4100807772,520,LYNCADE LIMITED T/A CAVENDISH RADIO
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45261,4100807901,24725,ASHE CONSTRUCTION LTD
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45261,4100807031,285,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45261,3300320969,5500,REDACTED
LONDON BOROUGH OF ENFIELD,PEOPLE,Property/Land Srvcs,45261,4100804654,1666.67,CHRISTIAN ACTION (ENFIELD) HOUSING
LONDON BOROUGH OF ENFIELD,PEOPLE,Nursery Education,45261,7003454461,603.84,CAREY HALL PRE SCHOOL
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,7003454410,6700,EASTBROOK
LONDON BOROUGH OF ENFIELD,PEOPLE,Nursery Education,45261,7003454460,648,ASQUITH NURSERY LTD
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45261,3300320072,5529,ASCENDIT LIFTS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45261,4100807894,1410,RAINBOW FOSTERING SERVICES LTD
LONDON BOROUGH OF ENFIELD,CEX,IT Equip/Services,45261,4100806491,1056.66,THE SPEECH CENTRE
LONDON BOROUGH OF ENFIELD,PLACE,Security/Safety Eqpm,45261,4100807883,804,SAFETY MUNDO LIMITED
LONDON BOROUGH OF ENFIELD,HRD,Housing Repairs,45261,3300320933,9890,TAYLOR DOLMAN LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,4100807828,1221.1,NEO PROPERTIES (UK) LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,4100807829,2624,NEO PROPERTIES (UK) LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,4100807830,2624,NEO PROPERTIES (UK) LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,4100807831,981.88,NEO PROPERTIES (UK) LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45261,4100804514,658.85,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,7003454348,908.46,CYPRIAN CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,7003454349,2106.8,CYPRIAN CARE LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Training Services,45261,4100804903,255,COMMUNITY HEART (LONDON)
LONDON BOROUGH OF ENFIELD,PEOPLE,Food beverages,45261,4100806530,420.79,WEST COUNTRY MILK CONSORTIUM
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,7003454412,1150,TALLIS HOUSE
LONDON BOROUGH OF ENFIELD,PEOPLE,Nursery Education,45261,7003454462,381,WOODPECKER HALL
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45261,4100807787,7135.8,KEY PROPERTY MANAGEMENT SERVICES LT
LONDON BOROUGH OF ENFIELD,PLACE,Accommodation services,45261,3300320974,6000,ASSURED PROPERTY SERVICES LTD
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45261,7003454448,3216.82,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45261,7003454449,2493.82,T BROWN GROUP LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Housing Repairs,45261,7003454450,3351.03,T BROWN GROUP LIMITED
