LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PEOPLE,Nursery Education,45231,7003434303,15120,TARA KINDERGARTENS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45231,4100803417,5620.92,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45231,4100803410,389.48,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45231,4100803399,432.13,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45231,4100803392,476.15,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45231,4100803400,1124.56,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,HRD,Capital,45231,4100799798,1925,BLAKENEY LEIGH LTD
LONDON BOROUGH OF ENFIELD,PLACE,Environ/Waste Srvcs,45231,4100800833,3088.01,KILLGERM CHEMICALS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803386,267.12,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803376,430.47,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803414,462.49,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803393,447.59,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803384,544.01,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45231,4100803373,742.05,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434106,291.8,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434098,323.44,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434030,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434035,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434039,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434049,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434051,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434053,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434061,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434075,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434087,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434094,404.3,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434102,583.6,AGE UK - ENFIELD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45231,7003434110,727.74,AGE UK - ENFIELD
