LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472751,1795.36,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472755,1007.6,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472757,782.94,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472759,256.34,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472761,2563.96,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472763,989.28,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472765,1154.02,TURKISH CYPRIOT COMMUNITY ASS.
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45293,3300323823,400,REDACTED
LONDON BOROUGH OF ENFIELD,PLACE,Adult Social Care,45293,4100811244,5517.46,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Adult Social Care,45293,4100811245,1680,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Travel/Food/Ent srvc,45293,4100811290,5620.92,LOUISIANNA PROPERTIES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45293,4100811282,277.3,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Cleaning Supps Srvcs,45293,4100811310,943.8,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Paper Products,45293,4100811311,329.25,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Transport/Mail Srvcs,45293,4100810084,550,BENJAMIN OSWALD REMOVALS LTD
LONDON BOROUGH OF ENFIELD,HRA,Furniture/Furnishing,45293,4100807030,295,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45293,4100811267,494.86,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45293,4100811269,787.62,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45293,4100811272,1170.99,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472787,17542.5,LEONARD CHESHIRE DISABILITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472705,7158.11,MARCUS & MARCUS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Food beverages,45293,4100808573,410.58,THOMAS RIDLEY & SON LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472789,2685,ALBANY PARK NURSING HOME
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472791,6600,ALBANY PARK NURSING HOME
LONDON BOROUGH OF ENFIELD,HRD,Construction Capital,45293,3300323484,7558,ASCENDIT LIFTS LTD
LONDON BOROUGH OF ENFIELD,PLACE,Storage/Removal,45293,4100809050,399,J A STEEL & SON LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100810073,7285,CREDO CARE LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Telecommunications,45293,4100808928,217.24,DELTA COMMUNICATIONS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472706,2529.5,PERSON CENTRED CARE HOMES (RESIDENT
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811278,3638,JAMMA UMOJA
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,4100809157,825,OCCUPATIONAL THERAPY PARTNERSHIP
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,4100810411,1100,OCCUPATIONAL THERAPY PARTNERSHIP
LONDON BOROUGH OF ENFIELD,PEOPLE,Training Services,45293,4100809145,3450,EDUCATION CHILD PROTECTION
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45293,4100810888,855.7,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45293,4100810889,3094.22,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45293,4100810954,9475.2,NOTTINGHAM REHAB LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472707,6024.2,EDENVALE CARE LTD
LONDON BOROUGH OF ENFIELD,HRA,Build/Constrct Srvcs,45293,4100810900,480,BARNET LOCK & SECURITY
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472713,518.8,CLUB 18-25
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472716,962.08,CLUB 18-25
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472718,660.32,CLUB 18-25
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472720,949.6,CLUB 18-25
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472721,491.6,CLUB 18-25
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472723,927.84,CLUB 18-25
LONDON BOROUGH OF ENFIELD,HRD,Property/Land Srvcs,45293,4100811251,12000,KNIGHT FRANK LLP
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472793,3457.14,AUTUMN GARDENS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472767,1511.4,CYPRIAN CARE LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Property/Land Srvcs,45293,4100809727,250,SPENCER CRAIG PARTNERSHIP LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472709,118029.65,HOLTWHITES LTD PERSON CENTRED CARE
LONDON BOROUGH OF ENFIELD,PEOPLE,BusinessConsult Serv,45293,4100811276,29454,LONDON BOROUGH OF ISLINGTON
LONDON BOROUGH OF ENFIELD,PLACE,Transport/Mail Srvcs,45293,4100810186,232.14,ROYAL MAIL GROUP LTD
LONDON BOROUGH OF ENFIELD,PLACE,Transport/Mail Srvcs,45293,4100810658,426.46,ROYAL MAIL GROUP LTD
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45293,3300323819,2000,ASSURED PROPERTY SERVICES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45293,3300323820,6000,ASSURED PROPERTY SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472414,5897.14,CARE IN FINANCE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472795,20435.79,CARE IN FINANCE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45293,4100809152,6070,DALESIDE T/A M K MEMORIALS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472777,3539.6,NTEC SUPPORT SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472725,858.3,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472727,1174.75,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472729,1287.45,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472731,794.8,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472733,1287.45,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472735,1716.6,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472737,1716.6,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472739,858.3,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472741,515.04,VIPS (VERY IMPORTANT PEOPLE SERVS)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472743,6430.48,THE PAVILION
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472745,7533.4,THE PAVILION
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472747,3948.16,THE PAVILION
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45293,4100808739,4583.89,BARTS HEALTH NHS TRUST
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45293,4100809432,5296.59,BARTS HEALTH NHS TRUST
LONDON BOROUGH OF ENFIELD,PLACE,BusinessConsult Serv,45293,4100808929,5000,WSP UK LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Finance / Ins Srvcs,45293,4100810646,15622.7,WILKIN CHAPMAN LLP
LONDON BOROUGH OF ENFIELD,RESOURCES,Finance / Ins Srvcs,45293,4100810649,13988.12,WILKIN CHAPMAN LLP
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45293,4100810943,2872.12,CHILDREN SERVICES NETWORK LTD TA
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45293,4100810944,2872.12,CHILDREN SERVICES NETWORK LTD TA
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472749,604.56,WINLIGHT CONSULTING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811003,22507.14,CAMBIAN CHILDCARE
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809153,7656,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809154,4341,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809417,2202,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809418,3212,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809419,7656,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Transport Servcs,45293,4100809530,2200,AIRPORT TRANSFER CARS LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100808821,211.09,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100808854,700,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100809037,1395,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100809038,445.64,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100809354,260.63,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100811202,225,LEA VALLEY TRUCK PARTS
LONDON BOROUGH OF ENFIELD,PLACE,Environ/Waste Srvcs,45293,4100810775,390.35,C.P DAVIDSON & SONS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808743,4050,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808746,4050,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808747,3621.3,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808748,3521.4,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808749,3548.7,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808781,3968.7,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100808782,4028.7,CHOICE FOSTERING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472779,6280,CACHET CLEANING & ENVIRONMENTAL SVS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100810968,17249.33,ACORN HOMES UK LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811075,20349.33,ACORN HOMES UK LIMITED
LONDON BOROUGH OF ENFIELD,PEOPLE,Food beverages,45293,4100810874,690,PAUL NEWMAN CATERERS
LONDON BOROUGH OF ENFIELD,PEOPLE,Education services,45293,4100808842,7485.67,CAPITAL CITY COLLEGE GROUP
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472781,2816.76,RIBBLE VALLEY CARE HOME T/A
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100809543,1500,A STAR CARE
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100809544,1500,A STAR CARE
LONDON BOROUGH OF ENFIELD,PLACE,Vehicles & Parts,45293,4100808906,641,G&S TYRE SERVICES LTD
LONDON BOROUGH OF ENFIELD,HRA,Utils/Pub Sect Srvcs,45293,4100808507,2030,HUB TELECOMS CONSULTANCY LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Politic/Civil Srvcs,45293,4100811145,3059.4,ISWP ASSESSMENT SERVICES LTD
LONDON BOROUGH OF ENFIELD,PLACE,Security/Safety Eqpm,45293,4100808750,2070,LAST MILE SERVICES LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Marketing&Advertisng,45293,4100811288,985,NORTH LONDON PROMOTIONS
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811301,18214.2,COMPASS CHILDREN'S HOMES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811253,25328.46,BRYN MELYN CARE LYD
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45293,4100811254,24511.42,BRYN MELYN CARE LYD
LONDON BOROUGH OF ENFIELD,HRD,Capital,45293,4100809912,1000,FLAMINGO AND OAK LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,BusinessConsult Serv,45293,4100808705,950,KMDIMENSIONS
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45293,7003472783,3829,CARTIGO LTD
