LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45110,4100785589,817.41,DENNIS EAGLE LTD
LONDON BOROUGH OF ENFIELD,PLACE,Build/Constrct Srvcs,45110,4100785590,1165.44,DENNIS EAGLE LTD
LONDON BOROUGH OF ENFIELD,HRA,Utilities,45110,3300309624,4665.36,THAMES WATER UTILITIES LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Finance / Ins Srvcs,45110,4100785754,8098.82,ZURICH INSURANCE COMPANY
LONDON BOROUGH OF ENFIELD,PEOPLE,Paper Products,45110,4100785458,650.66,GREENHAM TRADING LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45110,4100785749,426,SUNRISE MEDICAL LIMITED
LONDON BOROUGH OF ENFIELD,HRA,Furniture/Furnishing,45110,4100783012,781,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45110,4100783013,802,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Furniture/Furnishing,45110,4100783014,265,MYERS IDEAL SUPPLIES
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45110,4100782544,910.68,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45110,7003241665,2994.71,NORTH LONDON ADULT CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45110,7003241667,952.64,NORTH LONDON ADULT CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45110,7003241668,274.8,NORTH LONDON ADULT CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45110,7003241669,421.36,NORTH LONDON ADULT CARE LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45110,7003241673,1154.16,NORTH LONDON ADULT CARE LTD
