LONDON BOROUGH OF ENFIELD,Service Area Categorisation ,Expenses Type,Payment Date,Transaction Number,Net Amount,Supplier Name
LONDON BOROUGH OF ENFIELD,RESOURCES,Library services,45139,3300312181,2779.06,ASKEWS & HOLTS LIBRARY SERVICES LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Library services,45139,3300312189,5472.17,ASKEWS & HOLTS LIBRARY SERVICES LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,Library services,45139,3300312190,477.3,ASKEWS & HOLTS LIBRARY SERVICES LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45139,4100789721,2880,SUNRISE MEDICAL LIMITED
LONDON BOROUGH OF ENFIELD,PLACE,Cleaning Supps Srvcs,45139,4100786700,1517.25,THE BELL BRUSH COMPANY
LONDON BOROUGH OF ENFIELD,PLACE,Food beverages,45139,4100787316,679.32,BIDVEST FOOD SERVICE
LONDON BOROUGH OF ENFIELD,RESOURCES,Library services,45139,3300312188,524.4,ULVERSCROFT LTD -( Incorp- MAGNA)
LONDON BOROUGH OF ENFIELD,PEOPLE,Adult Social Care,45139,7003307532,49149.48,THE SOUTHGATE BEAUMONT
LONDON BOROUGH OF ENFIELD,PEOPLE,Child Social Care,45139,4100789945,2139.94,JORDAN XAVIER LTD
LONDON BOROUGH OF ENFIELD,PLACE,Capital,45139,4100789821,3500,MOTT MACDONALD LTD
LONDON BOROUGH OF ENFIELD,PLACE,Housing Repairs,45139,3300312173,4885,TAYLOR DOLMAN LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Bio/Chems & Gas Mat,45139,4100787523,1187,K-MED LTD
LONDON BOROUGH OF ENFIELD,PLACE,Rents Payable,45139,3300312159,2134,MARTIN BROOKES LETTING & EST. AGENT
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45139,4100790356,239.8,SW RETAIL LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45139,4100790357,650,SW RETAIL LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Build & Construction,45139,4100790313,2041.8,TRAVIS PERKINS LTD
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45139,4100789825,2835,BLUEBIRD CARE (ENFIELD)
LONDON BOROUGH OF ENFIELD,PEOPLE,Hlth/Medic Supp Srvc,45139,4100789826,3486,BLUEBIRD CARE (ENFIELD)
LONDON BOROUGH OF ENFIELD,RESOURCES,Politic/Civil Srvcs,45139,4100787808,27058.5,DATATANK LTD
LONDON BOROUGH OF ENFIELD,RESOURCES,IT Equip/Services,45139,4100783453,1656,INSIGHT DIRECT (UK) LTD
